""
Country,Research Budget (% GDP),Number of Researchers (per Million),Population (Millions)
United States,3.5,5000,331
China,2.1,1500,1438
Japan,3.2,5500,126
Germany,2.9,4000,83
India,0.8,1200,1367
United Kingdom,1.7,4300,66
France,2.2,4500,65
Brazil,1.1,900,213
Italy,1.4,3500,60
Canada,1.9,4800,38
Russia,1.0,1300,145
South Korea,4.3,6100,51
Spain,1.2,3000,47
Australia,2.0,3200,25
Mexico,0.4,500,128
Indonesia,0.2,400,273
Netherlands,2.3,4700,17
Saudi Arabia,0.9,800,34
Turkey,0.6,700,84
Switzerland,3.4,6000,8
""
