POINTS,AGE
6820,19
5820,36
5350,24
5020,23
4065,26
3995,22
3530,25
3320,35
2955,25
2911,19
2905,25
2700,25
2495,31
2445,27
2410,21
2375,26
2105,34
2075,23
2000,24
1990,26
1940,34
1870,27
1865,20
1790,23
1700,30
1685,25
1585,32
1460,31
1425,24
1420,23
1280,23
1223,25
1210,25
1175,22
1160,27
1134,27
1130,25
1095,25
1075,34
1047,21
1011,23
1005,37
997,20
955,24
952,27
950,27
946,34
927,21
920,22
920,35
892,23
880,36
870,31
849,27
845,30
843,35
830,25
818,26
795,29
781,26
776,29
776,25
775,27
770,28
767,23
767,26
761,29
760,30
755,30
741,26
740,36
739,24
738,27
712,25
706,21
705,28
695,29
686,33
666,32
666,23
664,24
653,26
630,24
630,28
626,28
615,26
615,25
613,24
611,21
606,25
603,28
599,25
595,30
594,29
592,26
584,26
577,30
572,23
569,26
566,32
562,30
561,29
556,32
548,30
538,29
526,22
524,29
523,20
516,25
514,32
510,30
509,22
507,32
495,29
490,32
490,20
488,23
486,24
479,27
473,21
469,23
469,23
467,36
460,38
456,32
456,23
452,19
444,26
438,26
428,30
419,21
414,27
414,27
413,24
410,23
408,25
405,24
404,30
403,29
402,31
397,26
395,21
394,21
388,26
385,37
385,20
381,24
380,21
380,26
377,37
