taxon,sample_id,abundance,growth_rate
Actinomyces,Healthy4,0.0010528396,1.1673064342
Alistipes,Healthy4,0.000464488,0.4795337578
Anaerococcus,Healthy4,0.002368889,0.7572440779
Dialister,Healthy4,0.0434296326,11.7337867618
Dorea,Healthy4,0.0973876609,0.0161377531
Faecalibacterium,Healthy4,0.0462920402,3.4947143286
Odoribacter,Healthy4,0.0319800022,8.6407340939
Parabacteroides,Healthy4,0.0022372841,1.1456701617
Pseudomonas,Healthy4,0.0011844445,1.4902864068
Streptococcus,Healthy4,0.0037902225,4.1558569958
Veillonella,Healthy4,0.0002632099,0.1726266063
Acinetobacter,Cancer2,0.0032464071,1.3507124769
Actinomyces,Cancer2,0.0018035595,0.6605223028
Alistipes,Cancer2,0.0058244362,1.939119031
Enterococcus,Cancer2,0.0037874749,0.3783297656
Haemophilus,Cancer2,0.068715616,19.0683893265
Lachnoclostridium,Cancer2,0.0014264516,0.3761889576
Methanobrevibacter,Cancer2,0.6341315111,0.2255754064
Neisseria,Cancer2,0.0043285427,1.6010233784
Odoribacter,Cancer2,0.0113624247,0.0091985319
Parabacteroides,Cancer2,0.006808437,0.7210492512
Porphyromonas,Cancer2,0.0270533921,10.0064330389
Pseudomonas,Cancer2,0.0010821357,0.4669428334
Staphylococcus,Cancer2,0.0113624247,5.384503622
Streptococcus,Cancer2,0.0242398393,8.7478147852
Veillonella,Cancer2,0.0009919577,0.1674964304
Acinetobacter,Healthy7,0.0398367058,1.9887263592
Actinomyces,Healthy7,0.0143412141,0.6793310848
Alistipes,Healthy7,0.0007967341,0.0393216882
Anaerostipes,Healthy7,0.266109195,0.6500895939
Bacillus,Healthy7,0.0589583246,2.7927961033
Blautia,Healthy7,0.0871504549,1.7894067312
Dorea,Healthy7,0.0509909835,0.6928891168
Eggerthella,Healthy7,0.0031869365,0.122202813
Enterococcus,Healthy7,0.0318693647,1.0747822605
Erysipelatoclostridium,Healthy7,0.0116095543,0.1722627612
Faecalibacterium,Healthy7,0.0363509941,0.8823844087
Granulicatella,Healthy7,0.0159346823,0.2165251749
Lactobacillus,Healthy7,0.002708896,0.0021082219
Lactococcus,Healthy7,0.0015934682,0.0451002929
Methanobrevibacter,Healthy7,0.0015934682,0.0482800841
Neisseria,Healthy7,0.0661289317,3.144813381
Porphyromonas,Healthy7,0.0191216188,0.909344966
Pseudomonas,Healthy7,0.0187232517,0.9494688618
Roseburia,Healthy7,0.0098595847,0.0113737754
Rothia,Healthy7,0.0023902024,0.0918165132
Staphylococcus,Healthy7,0.1418186728,7.499964857
Streptococcus,Healthy7,0.0258141854,1.2157251718
Acidaminococcus,Healthy3,0.0203684995,0.1853710893
Actinomyces,Healthy3,0.0051919705,0.0544478523
Alistipes,Healthy3,0.0034534826,0.0364228199
Anaerostipes,Healthy3,0.0702912924,0.3037735628
Bacteroides,Healthy3,0.0254089801,0.0941415238
Barnesiella,Healthy3,0.0067894998,0.0275847394
Bifidobacterium,Healthy3,0.0196496113,0.115283368
Bilophila,Healthy3,0.001198147,0.0026476838
Blautia,Healthy3,0.1005982679,0.6787191666
Butyricicoccus,Healthy3,0.0071888822,0.0016694936
Collinsella,Healthy3,0.1473720847,0.9018868246
Dialister,Healthy3,0.2659886406,2.0831891623
Dorea,Healthy3,0.0726875865,0.4227422798
Erysipelatoclostridium,Healthy3,0.0015404748,0.0103394818
Faecalibacterium,Healthy3,0.0546654582,0.3962400759
Haemophilus,Healthy3,0.040736999,0.3965866649
Holdemanella,Healthy3,0.0806752333,0.0534972786
Lachnoclostridium,Healthy3,0.0008713797,0.0085612484
Lachnospira,Healthy3,0.0041935146,0.0008483219
Lactobacillus,Healthy3,0.0014377764,0.0065094754
Leuconostoc,Healthy3,0.0143777644,0.1394440286
Marvinbryantia,Healthy3,0.0017972205,0.0018747151
Methanobrevibacter,Healthy3,0.0023962941,0.0209275791
Odoribacter,Healthy3,0.0029953676,0.0246495277
Parasutterella,Healthy3,0.0035944411,0.0169365351
Roseburia,Healthy3,0.0035944411,0.015352865
Streptococcus,Healthy3,0.0083870292,0.0869373673
Subdoligranulum,Healthy3,0.0317508963,0.0210634814
Veillonella,Healthy3,0.0007987647,0.007572368
Acidaminococcus,Cancer8,0.0191451344,1.8456477504
Actinomyces,Cancer8,0.0020512644,0.2725928759
Alistipes,Cancer8,0.0002815461,0.0389685768
Bifidobacterium,Cancer8,0.132101427,0.2105949236
Blautia,Cancer8,0.0288491928,0.7901659955
Collinsella,Cancer8,0.1849556729,1.6658511112
Dialister,Cancer8,0.084785595,5.0192961957
Dorea,Cancer8,0.0692871529,0.0097916346
Eggerthella,Cancer8,0.0044444062,0.4284531305
Erysipelatoclostridium,Cancer8,0.0006837548,0.0079019628
Faecalibacterium,Cancer8,0.0094016285,0.3957686704
Hungatella,Cancer8,0.0054700384,0.0052724118
Lachnoclostridium,Cancer8,0.0033566145,0.3767102948
Odoribacter,Cancer8,0.0044444062,0.2631131568
Parabacteroides,Cancer8,0.0049572223,0.398818637
Paraprevotella,Cancer8,0.0003418774,0.0217392405
Streptococcus,Cancer8,0.0128545902,1.6941469541
Acinetobacter,Cancer1,0.0184756793,5.6654764579
Actinomyces,Cancer1,0.0056453465,1.6187482086
Alistipes,Cancer1,0.0234568673,6.4139753984
Atopobium,Cancer1,0.0061585598,0.8389609638
Bacillus,Cancer1,0.0138567595,3.9732737113
Bifidobacterium,Cancer1,0.0243263111,0.6401551888
Blautia,Cancer1,0.0273582174,2.1199402587
Butyricimonas,Cancer1,0.0021170049,0.2976375758
Collinsella,Cancer1,0.0169360394,0.694723483
Desulfovibrio,Cancer1,0.0076981997,0.0204280149
Dorea,Cancer1,0.0405438518,0.9464955948
Enterococcus,Cancer1,0.0138567595,2.4990799255
Erysipelatoclostridium,Cancer1,0.0006598457,0.027341816
Faecalibacterium,Cancer1,0.0150114894,1.6011630455
Gemella,Cancer1,0.0030792799,0.5932770131
Haemophilus,Cancer1,0.0461891982,11.6071311492
Lachnoclostridium,Cancer1,0.0025194108,0.6192550155
Neisseria,Cancer1,0.0277135189,7.9869127388
Odoribacter,Cancer1,0.0315626188,4.4375744378
Parabacteroides,Cancer1,0.0075698964,1.3834276418
Pseudomonas,Cancer1,0.0061585598,1.9263663629
Staphylococcus,Cancer1,0.0354117186,11.6767384966
Streptococcus,Cancer1,0.0209391032,5.9593638281
Veillonella,Cancer1,0.0169360394,3.5150442345
Acidaminococcus,Cancer4,0.0169460635,0.1694343957
Actinomyces,Cancer4,0.0025419095,0.0359696763
Alistipes,Cancer4,0.0119120858,0.1521004181
