Country,CAF_2021,2021
Indonesia,68,Islam
Australia,55,Christianity
New Zealand,54,Christianity
United States of America,59,Christianity
Ireland,49,Christianity
United Kingdom of Great Britain and Northern Ireland,47,Christianity
Singapore,45,Buddhism
Kenya,61,Christianity
Myanmar,52,Buddhism
Netherlands,46,Christianity
United Arab Emirates,47,Islam
Norway,45,Christianity
Canada,51,Christianity
Nigeria,48,Islam
Iceland,46,Christianity
Malta,45,Christianity
Sierra Leone,51,Islam
Zambia,50,Christianity
Germany,41,Christianity
Denmark,46,Christianity
Mauritius,37,Hinduism
Switzerland,37,Christianity
Sri Lanka,44,Buddhism
Iran (Islamic Republic of),43,Islam
Austria,45,Christianity
Iraq,37,Islam
Cyprus,40,Christianity
Tajikistan,39,Islam
Ghana,43,Christianity
Israel,37,Judaism
South Africa,35,Christianity
Sweden,42,Christianity
Finland,37,Christianity
Mongolia,46,Buddhism
Honduras,46,Christianity
Slovenia,39,Christianity
Dominican Republic,44,Christianity
Uganda,46,Christianity
Saudi Arabia,36,Islam
Nepal,40,Hinduism
Uzbekistan,38,Islam
Spain,32,Christianity
Kyrgyzstan,44,Islam
Jamaica,46,Christianity
Malawi,39,Christianity
Paraguay,44,Christianity
Chile,38,Christianity
Thailand,48,Buddhism
Costa Rica,44,Christianity
Cameroon,37,Christianity
Nicaragua,40,Christianity
Italy,29,Christianity
Guinea,47,Islam
France,32,Christianity
Namibia,35,Christianity
Jordan,32,Islam
Zimbabwe,31,Christianity
Uruguay,40,Christianity
Panama,36,Christianity
Mozambique,34,Christianity
Colombia,42,Christianity
Ukraine,49,Christianity
Burkina Faso,39,Islam
Portugal,26,Christianity
Lebanon,24,Islam
Bolivia (Plurinational State of),43,Christianity
Senegal,40,Islam
Slovakia,41,Christianity
Philippines,47,Christianity
Bosnia and Herzegovina,44,Islam
Pakistan,29,Islam
Algeria,30,Islam
Mali,38,Islam
Argentina,47,Christianity
Kazakhstan,34,Islam
Peru,39,Christianity
Romania,30,Christianity
Morocco,31,Islam
Benin,32,Christianity
Egypt,23,Islam
Venezuela (Bolivarian Republic of),45,Christianity
Albania,34,Islam
Estonia,40,Christianity
Russian Federation,46,Christianity
Poland,47,Christianity
Gabon,34,Christianity
Mexico,44,Christianity
Togo,34,Christianity
Georgia,31,Christianity
Ecuador,42,Christianity
Hungary,40,Christianity
Brazil,47,Christianity
Armenia,29,Christianity
India,40,Hinduism
Czechia,48,Christianity
Bulgaria,41,Christianity
El Salvador,36,Christianity
Japan,20,Shintoism
Serbia,46,Christianity
Croatia,37,Christianity
Tunisia,28,Islam
Afghanistan,21,Islam
Latvia,29,Christianity
Lithuania,37,Christianity
Cambodia,19,Buddhism
China,42,Buddhism
Greece,32,Christianity
