Continent,Height,Weight
Europe,185.0,82.0
Europe,186.0,96.0
Europe,182.0,76.5
Europe,172.0,70.0
Europe,159.0,55.5
Europe,171.0,65.0
Europe,184.0,85.0
Europe,175.0,64.0
Europe,189.0,130.0
Europe,176.0,85.0
Europe,170.0,125.0
Europe,187.0,89.0
Europe,169.0,65.0
Europe,170.0,77.0
Europe,189.0,72.0
Europe,174.0,70.0
Europe,187.0,76.0
Europe,187.0,76.0
Europe,190.0,98.0
Europe,194.0,78.0
Europe,182.0,64.0
Europe,185.0,75.0
Europe,182.0,73.0
Europe,194.0,93.0
Europe,177.0,74.0
Europe,168.0,65.0
Europe,185.0,106.0
Europe,167.0,64.0
Europe,189.0,80.0
Europe,170.0,65.0
Europe,176.0,66.0
Europe,164.0,71.0
Europe,172.0,75.0
Europe,175.0,72.0
Europe,198.0,90.0
Europe,194.0,87.0
Europe,179.0,80.0
Europe,185.0,72.0
Europe,180.0,83.0
Europe,182.0,86.0
Europe,178.0,70.0
Europe,186.0,83.0
Europe,190.0,77.0
Europe,181.0,82.0
Europe,182.0,67.0
Europe,163.0,60.0
Europe,190.0,80.0
Europe,180.0,73.0
Europe,190.0,85.0
Europe,155.0,43.0
Europe,181.0,79.0
Europe,188.0,96.0
Europe,182.0,90.0
Europe,187.0,97.0
Europe,171.0,64.0
Europe,192.0,90.0
Europe,178.0,72.0
Europe,195.0,85.0
Europe,175.0,64.0
Europe,167.0,58.0
Europe,176.0,56.0
Europe,172.0,60.0
Europe,169.0,48.0
Europe,165.0,55.0
Europe,163.0,46.0
Europe,184.0,85.0
Europe,174.0,63.0
Europe,181.0,76.0
Europe,181.0,78.0
Europe,190.0,73.0
Europe,170.0,60.0
Europe,181.0,78.0
Europe,173.0,66.0
Europe,177.0,68.0
Europe,179.0,63.0
Europe,172.0,82.0
Europe,168.0,60.0
Europe,150.0,43.0
Europe,164.0,58.0
Europe,169.0,68.0
Europe,161.0,62.0
Europe,174.0,62.0
Europe,169.0,60.0
Europe,166.0,60.0
Europe,186.0,84.0
Europe,192.0,88.0
Europe,175.0,64.0
Europe,178.0,61.0
Europe,180.0,70.0
Europe,191.0,84.0
Europe,183.0,75.0
Europe,183.0,87.0
Europe,187.0,77.0
Europe,172.0,61.0
Europe,180.0,72.0
Europe,185.0,81.0
Europe,182.0,95.0
Europe,180.0,82.0
Europe,181.0,80.0
Europe,175.0,70.0
Europe,176.0,70.0
Europe,198.0,89.0
Europe,180.0,94.0
Europe,167.0,65.0
Europe,180.0,72.0
Europe,182.0,96.0
Europe,176.0,68.0
Europe,183.0,72.0
Europe,174.0,68.0
Europe,187.0,81.0
Europe,172.0,70.0
Europe,184.0,73.0
