Country,Average_happiness,Democratic_quality ,democracy_edited,edit_l_dq,edit_line_ah,line_dq,line_ah
Albania,4.74,-0.19,1.81,0.25,4.12,-1.75,4.12
Algeria,5.91,-0.97,1.03,3.5,6.73,1.5,6.73
Angola,4.46,-0.82,1.18,,,,
Argentina,6.27,0.19,2.19,,,,
Armenia,4.21,-0.47,1.53,,,,
Australia,7.42,1.12,3.12,,,,
Austria,7.12,1.22,3.22,,,,
Azerbaijan,4.8,-1.09,0.91,,,,
Bangladesh,4.31,-0.98,1.02,,,,
Belarus,5.66,-0.84,1.16,,,,
Belgium,7.39,1.09,3.09,,,,
Benin,3.52,0.33,2.33,,,,
Bolivia,5.36,-0.43,1.57,,,,
Bosnia & H.,5.06,-0.16,1.84,,,,
Botswana,4.63,0.9,2.9,,,,
Brazil,6.51,0.15,2.15,,,,
Bulgaria,3.77,0.51,2.51,,,,
Burkina F.,3.8,-0.18,1.82,,,,
Burma/My.,5.32,-1.51,0.49,,,,
Burundi,4.38,-1.22,0.78,,,,
Cambodia,3.63,-0.64,1.36,,,,
Cameroon,3.92,-0.64,1.36,,,,
Canada,7.4,1.21,3.21,,,,
Chad,3.44,-1.64,0.36,,,,
Chile,6.24,0.84,2.84,,,,
China,4.77,-1.02,0.98,,,,
Colombia,5.95,-0.95,1.05,,,,
Costa Rica,7.04,0.9,2.9,,,,
Croatia,5.77,0.49,2.49,,,,
Cuba,5.45,-0.9,1.1,,,,
Cyprus,6.19,0.8,2.8,,,,
Czech R.,6.42,0.92,2.92,,,,
Denmark,8.0,1.23,3.23,,,,
Dom. R.,5.13,0.14,2.14,,,,
Ecuador,5.1,-0.62,1.38,,,,
Egypt,5.23,-1.1,0.9,,,,
El Salvador,5.6,-0.04,1.96,,,,
Estonia,5.36,0.92,2.92,,,,
Ethiopia,3.83,-1.45,0.55,,,,
Finland,7.61,1.51,3.51,,,,
France,7.01,0.91,2.91,,,,
Georgia,3.62,-0.53,1.47,,,,
Germany,6.58,1.16,3.16,,,,
Ghana,4.86,0.36,2.36,,,,
Greece,6.35,0.75,2.75,,,,
Guatemala,6.01,-0.5,1.5,,,,
Haiti,3.76,-1.16,0.84,,,,
Honduras,5.34,-0.37,1.63,,,,
Hong Kong,5.67,0.89,2.89,,,,
Hungary,5.23,0.96,2.96,,,,
India,5.97,-0.27,1.73,,,,
Indonesia,4.98,-0.73,1.27,,,,
Iran,5.29,-1.43,0.57,,,,
Ireland,7.24,1.24,3.24,,,,
Israel,7.16,-0.23,1.77,,,,
Italy,6.97,0.75,2.75,,,,
Jamaica,6.21,0.18,2.18,,,,
Japan,6.49,0.99,2.99,,,,
Jordan,6.3,-0.63,1.37,,,,
Kazakhstan,5.49,-0.49,1.51,,,,
Kenya,4.36,-0.57,1.43,,,,
Korea. R.,5.68,0.5,2.5,,,,
Kuwait,6.03,-0.02,1.98,,,,
Kyrgyzstan,4.58,-1.0,1.0,,,,
Laos,5.11,-0.82,1.18,,,,
Latvia,4.73,0.86,2.86,,,,
Lebanon,5.51,-1.18,0.82,,,,
Lithuania,5.93,0.91,2.91,,,,
Macedonia,4.51,-0.26,1.74,,,,
Madagascar,4.01,0.0,2.0,,,,
Malawi,4.13,-0.15,1.85,,,,
Malaysia,6.08,-0.11,1.89,,,,
Mali,4.01,0.14,2.14,,,,
Mauritania,5.2,-0.44,1.56,,,,
Mexico,6.74,-0.22,1.78,,,,
Moldova. R.,4.93,-0.48,1.52,,,,
Montenegro,5.22,-0.13,1.87,,,,
Morocco,4.59,-0.47,1.53,,,,
Mozambique,4.61,0.23,2.23,,,,
Nepal,4.55,-1.61,0.39,,,,
The Netherlands,7.56,1.17,3.17,,,,
New Zealand,7.44,1.4,3.4,,,,
Nicaragua,4.8,-0.28,1.72,,,,
Niger,3.8,-0.33,1.67,,,,
Nigeria,4.73,-1.27,0.73,,,,
