State,State2,Gini,Death Rate,"Firearms, vs average",Med income,"Income, vs median",Imprisonment rates,Prison rate,Imprisonment rate,Firearm deaths,Division
Alabama,AL,0.472,21.5,1.64700475,47221,0.799827233,736,1.264604811,0.736,0.215,South
Alaska,AK,0.422,23.3,1.784893519,75723,1.282592862,376,0.64604811,0.376,0.233,West
Arizona,AZ,0.455,15.2,1.164394055,57100,0.967157303,764,1.312714777,0.764,0.152,West
Arkansas,AR,0.458,17.8,1.363566723,45907,0.777570758,763,1.310996564,0.763,0.178,South
California,CA,0.471,7.9,0.605178489,66637,1.128694592,430,0.738831615,0.43,0.079,West
Colorado,CO,0.457,14.3,1.095449671,70566,1.195243822,460,0.790378007,0.46,0.143,West
Connecticut,CT,0.486,4.6,0.352382412,75923,1.285980454,367,0.630584192,0.367,0.046,Northeast
Delaware,DE,0.44,11.0,0.842653593,58046,0.983180609,544,0.934707904,0.544,0.11,South
Florida,FL,0.474,12.6,0.965221388,51176,0.86681685,601,1.032646048,0.601,0.126,South
Georgia,GA,0.468,15.0,1.149073081,53527,0.906637985,676,1.161512027,0.676,0.15,South
Hawaii,HI,0.433,4.5,0.344721924,72133,1.221785599,323,0.554982818,0.323,0.045,West
Idaho,ID,0.433,14.6,1.118431132,56564,0.958078558,587,1.008591065,0.587,0.146,West
Illinois,IL,0.465,11.7,0.896277003,61386,1.039753383,442,0.759450172,0.442,0.117,Midwest
Indiana,IN,0.44,15.0,1.149073081,56094,0.950117719,503,0.864261168,0.503,0.15,Midwest
Iowa,IA,0.427,9.2,0.704764823,59094,1.000931588,373,0.640893471,0.373,0.092,Midwest
Kansas,KS,0.445,13.4,1.026505286,56810,0.962245295,438,0.75257732,0.438,0.134,Midwest
Kentucky,KY,0.466,17.5,1.340585261,45369,0.768458138,670,1.151202749,0.67,0.175,South
Louisiana,LA,0.475,21.3,1.631683775,42196,0.714714003,997,1.713058419,0.997,0.213,South
Maine,ME,0.437,8.3,0.635820438,50856,0.861396704,169,0.290378007,0.169,0.083,Northeast
Maryland,MD,0.443,11.9,0.911597978,73760,1.249343654,424,0.728522337,0.424,0.119,South
Massachusetts,MA,0.475,3.4,0.260456565,72266,1.224038348,195,0.335051546,0.195,0.034,Northeast
Michigan,MI,0.451,12.3,0.942239926,57091,0.967004861,530,0.910652921,0.53,0.123,Midwest
Minnesota,MN,0.44,7.6,0.582197028,70218,1.189349413,249,0.427835052,0.249,0.076,Midwest
Mississippi,MS,0.468,19.9,1.524436954,41099,0.696133065,822,1.412371134,0.822,0.199,South
Missouri,MO,0.455,19.0,1.455492569,55016,0.931858602,688,1.182130584,0.688,0.19,Midwest
Montana,MT,0.435,18.9,1.447832082,57075,0.966733854,466,0.800687285,0.466,0.189,West
Nebraska,NE,0.432,9.1,0.697104336,59374,1.005674215,364,0.625429553,0.364,0.091,Midwest
Nevada,NV,0.448,16.8,1.286961851,55431,0.938887854,597,1.025773196,0.597,0.168,West
New Hampshire,NH,0.425,9.3,0.71242531,76260,1.291688545,262,0.450171821,0.262,0.093,Northeast
New Jersey,NJ,0.464,5.5,0.421326796,68468,1.15970799,284,0.487972509,0.284,0.055,Northeast
New Mexico,NM,0.464,18.1,1.386548184,48451,0.820660919,438,0.75257732,0.438,0.181,West
New York,NY,0.499,4.4,0.337061437,61437,1.040617219,325,0.558419244,0.325,0.044,Northeast
North Carolina,NC,0.464,13.7,1.049486747,53764,0.910652281,438,0.75257732,0.438,0.137,South
North Dakota,ND,0.433,11.9,0.911597978,60184,1.01939396,306,0.525773196,0.306,0.119,Midwest
Ohio,OH,0.452,12.9,0.98820285,53985,0.914395569,578,0.993127148,0.578,0.129,Midwest
Oklahoma,OK,0.454,19.6,1.501455493,50943,0.862870306,891,1.530927835,0.891,0.196,South
Oregon,OR,0.449,11.9,0.911597978,59135,1.001626044,466,0.800687285,0.466,0.119,West
Pennsylvania,PA,0.461,12.0,0.919258465,60979,1.032859635,484,0.83161512,0.484,0.12,Northeast
Rhode Island,RI,0.467,4.1,0.314079975,61528,1.042158573,239,0.410652921,0.239,0.041,Northeast
South Carolina,SC,0.461,17.7,1.355906236,54336,0.920340792,524,0.900343643,0.524,0.177,South
South Dakota,SD,0.442,13.4,1.026505286,57450,0.973085587,583,1.001718213,0.583,0.134,Midwest
Tennessee,TN,0.468,17.1,1.309943312,51344,0.869662427,545,0.936426117,0.545,0.171,South
Texas,TX,0.469,12.1,0.926918952,58146,0.984874405,761,1.307560137,0.761,0.121,South
Utah,UT,0.419,12.9,0.98820285,67481,1.142990227,287,0.493127148,0.287,0.129,West
Vermont,VT,0.444,11.1,0.85031408,60837,1.030454445,243,0.417525773,0.243,0.111,Northeast
Virginia,VA,0.459,12.1,0.926918952,66451,1.125544132,576,0.989690722,0.576,0.121,South
Washington,WA,0.441,9.0,0.689443849,70310,1.190907705,333,0.572164948,0.333,0.09,West
West Virginia,WV,0.451,17.5,1.340585261,44354,0.751266112,492,0.845360825,0.492,0.175,South
Wisconsin,WI,0.43,11.4,0.873295542,59817,1.01317773,492,0.845360825,0.492,0.114,Midwest
Wyoming,WY,0.423,17.4,1.332924774,57829,0.979505073,532,0.914089347,0.532,0.174,West
