Country,Life Expectancy,Income,Infant Mortality,Fertility,Gini Coefficient,Reduced Dimension 1,Reduced Dimension 2,Continent
Afghanistan,64.3,1990,54.2,3.77,39.5,2.058474218,-0.617822572,Asia
Albania,78.8,14700,8.19,1.7,35.0,-1.157379988,-0.112652165,Europe
Algeria,76.7,11200,20.9,2.46,29.2,-0.586465683,-1.102610909,Africa
Angola,66.1,5980,68.6,5.28,53.8,3.256044504,0.515964466,Africa
Antigua and Barbuda,76.7,18600,5.82,1.99,37.0,-0.931834983,0.03571615,North America
Argentina,77.0,22100,8.94,2.2,45.3,-0.577840682,0.906656774,South America
Armenia,76.1,13600,11.2,1.58,31.7,-1.045308058,-0.507170359,Europe
Australia,83.3,51900,3.33,1.8,34.4,-2.283758184,-0.233534842,Oceania
Austria,82.6,55000,2.87,1.56,32.7,-2.459721401,-0.376828105,Europe
Azerbaijan,71.3,14600,19.5,1.99,28.8,-0.484789443,-1.063789058,Europe
Bahamas,73.7,33700,9.26,1.72,44.0,-0.793713415,0.822758823,North America
Bahrain,77.4,44500,6.34,1.9,36.9,-1.514242654,-0.022353718,Asia
Bangladesh,75.4,5280,25.4,1.95,34.5,-0.307647512,-0.38706184,Asia
Barbados,76.6,15100,11.2,1.81,43.9,-0.57941618,0.84422477,North America
Belarus,74.4,18600,3.04,1.75,27.1,-1.268045833,-1.040693629,Europe
Belgium,81.9,52400,3.15,1.81,29.2,-2.375437615,-0.84893546,Europe
Belize,74.9,6500,11.8,2.33,53.0,0.263814934,1.76539781,North America
Benin,65.5,3550,84.5,4.57,50.2,3.23350971,0.150641813,Africa
Bhutan,74.1,11300,25.3,1.88,37.3,-0.25742209,-0.070175943,Asia
Bolivia,72.8,8410,23.9,2.66,43.5,0.409758224,0.451268795,South America
Bosnia and Herzegovina,77.4,15700,5.18,1.44,34.4,-1.258580364,-0.100779924,Europe
Botswana,62.6,16500,33.3,2.49,54.6,1.520560262,1.597860743,Africa
Brazil,76.4,14700,12.7,1.65,57.1,-0.119766101,2.401305368,South America
Brunei,74.8,65500,10.5,1.81,35.0,-1.751596427,-0.332733078,Asia
Bulgaria,73.7,24300,6.19,1.64,43.4,-0.725573659,0.827033922,Europe
