Country,year,GDPpc,WGI
Albania,2017,4531.02,26
Argentina,2017,14613.04,28
Australia,2017,53936.14,59
Austria,2017,47429.16,44
Benin,2017,1095.27,26
Bolivia (Plurinational State of),2017,3280.01,28
Brazil,2017,9896.68,23
Bulgaria,2017,8366.29,22
Cambodia,2017,1400.9,18
Cameroon,2017,1479.86,34
Canada,2017,45129.43,49
Chile,2017,15045.53,34
China,2017,8816.99,17
Colombia,2017,6450.32,29
Costa Rica,2017,12118.13,34
Croatia,2017,13655.82,20
Cyprus,2017,26697.17,43
Czechia,2017,20636.2,22
Denmark,2017,57610.1,46
Dominican Republic,2017,7513.49,39
Ecuador,2017,6246.4,24
El Salvador,2017,3986.05,22
Estonia,2017,20437.77,26
Finland,2017,46412.14,40
France,2017,38781.05,32
Gabon,2017,6975.7,24
Georgia,2017,4357.0,24
Germany,2017,44652.59,46
Ghana,2017,1998.74,42
Greece,2017,18582.09,17
Hungary,2017,14621.24,23
India,2017,1957.97,22
Indonesia,2017,3839.79,59
Iraq,2017,4725.19,43
Ireland,2017,69970.95,56
Israel,2017,41114.78,42
Italy,2017,32406.72,33
Japan,2017,38834.05,22
Jordan,2017,4073.12,30
Kazakhstan,2017,9247.58,28
Kenya,2017,1675.97,54
Latvia,2017,15695.12,19
Lebanon,2017,8679.9,28
Lithuania,2017,16885.41,19
Mali,2017,795.68,28
Malta,2017,28823.53,47
Mexico,2017,9434.39,24
Mongolia,2017,3708.25,39
Morocco,2017,3288.5,26
Myanmar,2017,1175.2,54
Nepal,2017,1027.97,37
Netherlands,2017,48675.22,51
New Zealand,2017,42925.0,58
Nicaragua,2017,2127.28,33
Nigeria,2017,1941.88,48
Pakistan,2017,1567.64,28
Paraguay,2017,6136.06,34
Peru,2017,6676.28,27
Philippines,2017,3077.44,28
Poland,2017,13815.62,24
Portugal,2017,21490.43,28
Romania,2017,10727.95,27
Russian Federation,2017,10720.33,25
Saudi Arabia,2017,20138.15,37
Senegal,2017,1385.2,28
Serbia,2017,6292.54,21
Slovakia,2017,17585.2,28
Slovenia,2017,23514.03,39
South Africa,2017,6734.48,41
Spain,2017,28185.32,36
Sri Lanka,2017,4401.06,45
Sweden,2017,53791.51,41
Switzerland,2017,82254.38,45
Tajikistan,2017,844.37,42
Thailand,2017,6436.79,34
Tunisia,2017,3569.76,20
Uganda,2017,766.18,39
Ukraine,2017,2638.33,29
United Arab Emirates,2017,43063.97,51
United Kingdom of Great Britain and Northern Ireland,2017,40621.33,55
Uruguay,2017,18769.79,30
Uzbekistan,2017,1916.76,36
Zambia,2017,1495.75,46
Zimbabwe,2017,1192.11,30
Albania,2018,5287.66,23
Argentina,2018,11795.16,28
Australia,2018,57207.87,56
Austria,2018,51466.56,45
Benin,2018,1194.44,23
Bolivia (Plurinational State of),2018,3471.01,31
Brazil,2018,9121.08,28
Bulgaria,2018,9446.72,19
Cambodia,2018,1533.32,24
Cameroon,2018,1594.06,33
Canada,2018,46548.64,55
Chile,2018,15795.71,37
China,2018,9905.34,16
Colombia,2018,6782.04,35
Costa Rica,2018,12383.15,38
Croatia,2018,15244.43,21
Cyprus,2018,29418.94,41
Czechia,2018,23424.48,22
Denmark,2018,61591.93,44
Dominican Republic,2018,7947.16,39
Ecuador,2018,6321.35,24
El Salvador,2018,4145.86,25
Estonia,2018,23165.85,25
Finland,2018,49987.63,41
France,2018,41557.85,30
Gabon,2018,7694.91,27
Georgia,2018,4722.04,21
Germany,2018,47939.28,43
Ghana,2018,2180.04,38
Greece,2018,19756.99,16
Hungary,2018,16425.1,23
India,2018,1974.38,26
Indonesia,2018,3902.66,50
Iraq,2018,5601.47,34
Ireland,2018,79250.39,56
Israel,2018,42406.85,39
Italy,2018,34622.17,33
Japan,2018,39727.12,23
Jordan,2018,4146.41,25
Kazakhstan,2018,9812.63,26
Kenya,2018,1845.78,47
Latvia,2018,17865.03,22
Lebanon,2018,9225.85,30
Lithuania,2018,19186.36,19
Mali,2018,856.36,24
Malta,2018,31567.94,47
Mexico,2018,9857.03,28
Mongolia,2018,4165.02,38
Morocco,2018,3492.67,26
Myanmar,2018,1274.92,58
Nepal,2018,1161.53,33
Netherlands,2018,53044.53,53
New Zealand,2018,43250.44,57
Nicaragua,2018,1981.86,30
Nigeria,2018,2125.83,42
Pakistan,2018,1620.74,29
Paraguay,2018,6242.96,32
Peru,2018,6912.11,28
Philippines,2018,3194.67,39
Poland,2018,15504.58,25
Portugal,2018,23562.55,25
Romania,2018,12494.48,24
Russian Federation,2018,11287.36,21
Saudi Arabia,2018,23318.74,34
Senegal,2018,1484.24,28
Serbia,2018,7252.4,19
Slovakia,2018,19486.39,25
Slovenia,2018,26123.75,38
South Africa,2018,7048.52,36
Spain,2018,30379.72,32
Sri Lanka,2018,4360.58,51
Sweden,2018,54589.06,40
Switzerland,2018,85217.37,45
Tajikistan,2018,850.67,36
Thailand,2018,7124.56,42
Tunisia,2018,3577.12,24
Uganda,2018,793.13,38
Ukraine,2018,3096.56,24
United Arab Emirates,2018,46722.27,45
United Kingdom of Great Britain and Northern Ireland,2018,43306.31,54
Uruguay,2018,18825.28,30
Uzbekistan,2018,1597.07,41
Zambia,2018,1475.2,39
Zimbabwe,2018,2269.18,29
Albania,2020,5332.16,33
Argentina,2020,8496.42,32
Australia,2020,51720.37,49
Austria,2020,48809.23,34
Benin,2020,1237.95,29
Bolivia (Plurinational State of),2020,3068.81,35
Brazil,2020,6794.49,35
Bulgaria,2020,10129.81,37
Cambodia,2020,1577.91,28
Cameroon,2020,1539.13,43
Canada,2020,43258.26,38
Chile,2020,13094.46,39
China,2020,10408.67,28
Colombia,2020,5307.22,35
Costa Rica,2020,12132.88,30
Croatia,2020,14198.75,30
Cyprus,2020,28036.19,32
Czechia,2020,22992.88,30
Denmark,2020,60915.42,37
Dominican Republic,2020,7167.92,39
Ecuador,2020,5645.2,29
El Salvador,2020,3903.4,31
Estonia,2020,23595.24,30
Finland,2020,49170.75,31
France,2020,39055.28,25
Gabon,2020,6680.08,26
Georgia,2020,4255.74,40
Germany,2020,46772.83,30
Ghana,2020,2176.58,47
Greece,2020,17658.95,26
Hungary,2020,16120.99,31
India,2020,1910.42,44
Indonesia,2020,3894.27,69
Iraq,2020,4332.3,39
Ireland,2020,85420.19,40
Israel,2020,44846.79,28
Italy,2020,31911.04,22
Japan,2020,39918.17,12
Jordan,2020,4042.77,26
Kazakhstan,2020,9121.64,28
Kenya,2020,1936.42,58
Latvia,2020,18207.14,25
Lebanon,2020,5599.96,24
Lithuania,2020,20339.52,28
Mali,2020,822.91,31
Malta,2020,28977.57,31
Mexico,2020,8655.0,32
Mongolia,2020,4041.17,44
Morocco,2020,3258.12,23
Myanmar,2020,1477.45,51
Nepal,2020,1139.19,40
Netherlands,2020,52162.57,37
New Zealand,2020,41596.51,47
Nicaragua,2020,1863.11,37
Nigeria,2020,2074.61,52
Pakistan,2020,1322.32,25
Paraguay,2020,5353.35,41
Peru,2020,6056.34,34
Philippines,2020,3224.42,33
Poland,2020,15816.99,38
Portugal,2020,22242.41,20
Romania,2020,13047.43,28
Russian Federation,2020,10169.09,33
Saudi Arabia,2020,19539.57,35
Senegal,2020,1490.2,35
Serbia,2020,7733.8,35
Slovakia,2020,19545.74,32
Slovenia,2020,25545.24,28
South Africa,2020,5741.64,41
Spain,2020,26959.68,27
Sri Lanka,2020,3893.84,34
Sweden,2020,52837.9,34
Switzerland,2020,85656.32,28
Tajikistan,2020,852.33,45
Thailand,2020,6990.94,46
Tunisia,2020,3497.68,29
Uganda,2020,846.77,46
Ukraine,2020,3751.74,43
United Arab Emirates,2020,37629.17,44
United Kingdom of Great Britain and Northern Ireland,2020,40318.56,41
Uruguay,2020,15619.54,32
Uzbekistan,2020,1749.66,40
Zambia,2020,956.83,43
Zimbabwe,2020,1372.7,37
Albania,2021,6492.87,34
Argentina,2021,10636.12,47
Australia,2021,60443.11,55
Austria,2021,53637.71,45
Benin,2021,1319.15,32
Bolivia (Plurinational State of),2021,3345.2,43
Brazil,2021,7507.16,47
Bulgaria,2021,12221.5,41
Cambodia,2021,1625.24,19
Cameroon,2021,1666.93,37
Canada,2021,51987.94,51
Chile,2021,16265.1,38
China,2021,12556.33,42
Colombia,2021,6104.14,42
Costa Rica,2021,12472.44,44
Croatia,2021,17685.33,37
Cyprus,2021,31551.82,40
Czechia,2021,26821.25,48
Denmark,2021,68007.76,46
Dominican Republic,2021,8476.75,44
Ecuador,2021,5965.13,42
El Salvador,2021,4551.18,36
Estonia,2021,27943.7,40
Finland,2021,53654.75,37
France,2021,43658.98,32
Gabon,2021,8635.33,34
Georgia,2021,5023.27,31
Germany,2021,51203.55,41
Ghana,2021,2363.3,43
Greece,2021,20192.6,32
Hungary,2021,18728.12,40
India,2021,2256.59,40
Indonesia,2021,4332.71,68
Iraq,2021,4775.38,37
Ireland,2021,100172.08,49
Israel,2021,52170.71,37
Italy,2021,35657.5,29
Japan,2021,39312.66,20
Jordan,2021,4103.26,32
Kazakhstan,2021,10373.79,34
Kenya,2021,2081.8,61
Latvia,2021,21148.16,29
Lebanon,2021,4136.15,24
Lithuania,2021,23723.34,37
Mali,2021,873.79,38
Malta,2021,33486.67,45
Mexico,2021,10045.68,44
Mongolia,2021,4566.14,46
Morocco,2021,3795.38,31
Myanmar,2021,1209.93,52
Nepal,2021,1208.22,40
Netherlands,2021,57767.88,46
New Zealand,2021,48781.03,54
Nicaragua,2021,2045.54,40
Nigeria,2021,2065.75,48
Pakistan,2021,1505.01,29
Paraguay,2021,5891.5,44
Peru,2021,6621.57,39
Philippines,2021,3460.53,47
Poland,2021,17999.91,47
Portugal,2021,24567.51,26
Romania,2021,14858.23,30
Russian Federation,2021,12194.78,46
Saudi Arabia,2021,23185.87,36
Senegal,2021,1636.89,40
Serbia,2021,9230.18,46
Slovakia,2021,21391.93,41
Slovenia,2021,29291.4,39
South Africa,2021,7055.04,35
Spain,2021,30103.51,32
Sri Lanka,2021,4013.69,44
Sweden,2021,61028.74,42
Switzerland,2021,91991.6,37
Tajikistan,2021,897.05,39
Thailand,2021,7066.19,48
Tunisia,2021,3807.14,28
Uganda,2021,883.89,46
Ukraine,2021,4835.57,49
United Arab Emirates,2021,44315.55,47
United Kingdom of Great Britain and Northern Ireland,2021,46510.28,47
Uruguay,2021,17313.19,40
Uzbekistan,2021,1983.06,38
Zambia,2021,1137.34,50
Zimbabwe,2021,1773.92,31
