sample_id,taxon,TSNE 1,TSNE 2
chepang1,Catenibacterium,13.4146986008,-6.234266758
chepang1,Phascolarctobacterium,-2.6052286625,18.3274898529
chepang1,Prevotella,-32.4132385254,20.8175582886
chepang1,Succinivibrio,2.6342918873,21.3403778076
chepang2,Faecalibacterium,18.2911834717,-10.23848629
chepang2,Prevotella,-32.8959159851,20.0635967255
chepang2,Roseburia,38.5032730103,-3.7860336304
chepang2,Succinivibrio,1.7814667225,21.1946659088
chepang3,Bacteroides,35.1690864563,-8.6732769012
chepang3,Clostridium,30.9089012146,-18.5617733002
chepang3,Faecalibacterium,13.8356266022,-9.3089151382
chepang3,Holdemanella,-1.3971928358,-1.6690751314
chepang3,Phocaeicola,17.3012504578,-7.1303086281
chepang3,Prevotella,-2.6297533512,10.0322036743
chepang3,Roseburia,28.9104061127,-11.8465137482
chepang3,Ruminococcus,8.7286396027,-25.7835426331
hadza1,Anaerobutyricum,-5.7571773529,9.6128807068
hadza1,Blautia,-10.6580944061,1.984038353
hadza1,Bulleidia,-30.8506259918,13.6282215118
hadza1,Clostridium,-31.1968975067,22.4600772858
hadza1,Dorea,-5.9706468582,5.9250950813
hadza1,Faecalibacterium,-16.1888141632,-4.4753036499
hadza1,Holdemanella,3.9047195911,-6.3813323975
hadza1,Mediterraneibacter,-16.7189865112,-3.8135340214
hadza1,Prevotella,31.5690479279,-8.6525096893
hadza2,Anaerobutyricum,-26.2183418274,12.0444374084
hadza2,Anaerostipes,-3.6471705437,-5.0761213303
hadza2,Blautia,-26.9637737274,9.0193719864
hadza2,Catenibacterium,-0.2746160626,-6.1234540939
hadza2,Clostridium,30.4783287048,-16.0524940491
hadza2,Collinsella,32.0947914124,-11.5048999786
hadza2,Dorea,-6.1469435692,4.0418958664
hadza2,Faecalibacterium,-36.0856933594,14.1261701584
hadza2,Holdemanella,0.5657349825,-2.6478028297
hadza2,Intestinibacter,-5.5134143829,12.6206922531
hadza2,Lachnospira,-24.7462863922,11.0280542374
hadza2,Mediterraneibacter,-13.4887514114,6.1291007996
hadza2,Prevotella,-9.4874105453,-12.3080348969
hadza2,Roseburia,30.6214847565,-10.6548624039
hadza2,Ruminococcus,36.3807640076,-6.9002389908
hadza2,Terrisporobacter,-23.3736534119,10.8350334167
hadza3,Anaerobutyricum,-26.0970840454,13.2561941147
hadza3,Blautia,-28.5634002686,7.9836668968
hadza3,Bulleidia,-31.875459671,13.7251567841
hadza3,Butyrivibrio,-7.3074808121,8.1356163025
hadza3,Clostridium,-22.4853610992,21.8166255951
hadza3,Faecalibacterium,-37.1740493774,14.9449214935
hadza3,Holdemanella,2.5915446281,-5.0945119858
hadza3,Mediterraneibacter,-20.4526672363,10.0822610855
hadza3,Prevotella,-19.9625873566,12.9273042679
hadza3,Roseburia,-8.6217184067,-12.3658838272
hadza3,Ruminococcus,39.5741348267,-4.324701786
mephaa1,Blautia,-10.3162488937,3.7065346241
mephaa1,Catenibacterium,-1.6207842827,-4.6314725876
mephaa1,Clostridium,-21.6433963776,22.0570240021
mephaa1,Dialister,0.4726665318,7.276992321
mephaa1,Faecalibacterium,-34.8741722107,13.4338331223
mephaa1,Holdemanella,-0.7461584806,-2.7865667343
mephaa1,Mediterraneibacter,-12.1456680298,5.2805862427
mephaa1,Methanobrevibacter,-6.7900114059,14.259926796
mephaa1,Phascolarctobacterium,-2.7490928173,17.3361740112
mephaa1,Prevotella,-17.6881523132,14.4533863068
mephaa1,Streptococcus,36.8626785278,-6.0233435631
mephaa2,Dialister,-0.6874821782,5.5607151985
mephaa2,Faecalibacterium,16.4714736938,-9.059709549
mephaa2,Haemophilus,7.6659340858,-25.3543357849
mephaa2,Prevotella,-13.177031517,15.248090744
mephaa2,Roseburia,30.5023555756,-12.5589036942
mephaa2,Streptococcus,10.9654541016,-26.0003814697
mephaa2,Succinivibrio,-5.2990221977,7.504878521
mephaa3,Clostridium,31.5142631531,-19.6478118896
mephaa3,Dialister,0.0381179042,3.9585952759
mephaa3,Faecalibacterium,15.2045965195,-8.4697761536
mephaa3,Prevotella,-14.0482378006,15.1860074997
mephaa3,Roseburia,29.5951347351,-13.4013118744
mephaa3,Streptococcus,10.5812625885,-26.9542198181
mephaa3,Succinivibrio,-4.6515250206,8.4908571243
