sample_id,taxon,TSNE 1,TSNE 2
Cancer1,Acinetobacter,-11.3987998962,-6.4407081604
Cancer1,Actinomyces,-1.1402101517,-13.7225036621
Cancer1,Akkermansia,26.4970340729,2.5245139599
Cancer1,Alistipes,9.7163820267,13.5225124359
Cancer1,Anaerostipes,-13.2587404251,9.0331382751
Cancer1,Atopobium,-16.0257415771,-12.6168880463
Cancer1,Bacillus,-9.1511096954,-7.355533123
Cancer1,Bacteroides,21.4098396301,27.7617092133
Cancer1,Bifidobacterium,8.5405368805,20.2235851288
Cancer1,Bilophila,-19.6148490906,-20.8905792236
Cancer1,Blautia,23.1675662994,19.6410045624
Cancer1,Butyricicoccus,-8.4381246567,6.0232439041
Cancer1,Butyricimonas,-5.1250529289,-11.9668684006
Cancer1,Collinsella,0.6608954072,-8.8959970474
Cancer1,Desulfovibrio,2.8295338154,-11.3888492584
Cancer1,Dorea,3.015557766,6.9306902885
Cancer1,Enterococcus,-7.321223259,-7.4787988663
Cancer1,Erysipelatoclostridium,-13.6724443436,-14.7508707047
Cancer1,Faecalibacterium,16.8760147095,8.2634134293
Cancer1,Gemella,-17.5043849945,-15.8045806885
Cancer1,Haemophilus,7.1550951004,-8.8157339096
Cancer1,Lachnoclostridium,2.8753516674,-2.4007351398
Cancer1,Lachnospira,-6.837334156,0.3457968533
Cancer1,Listeria,-6.5033445358,-15.2336492538
Cancer1,Mogibacterium,-18.3598995209,-17.3083267212
Cancer1,Neisseria,-13.5470867157,-5.7500166893
Cancer1,Odoribacter,-0.8249305487,-0.0343724415
Cancer1,Parabacteroides,0.1660395563,12.1119966507
Cancer1,Parasutterella,-27.6303157806,-18.7334461212
Cancer1,Phascolarctobacterium,12.3268995285,4.1939706802
Cancer1,Pseudomonas,-9.3328151703,-8.2107210159
Cancer1,Roseburia,21.4722480774,0.9755710959
Cancer1,Staphylococcus,4.1464452744,-5.7838730812
Cancer1,Streptococcus,15.1399803162,16.4811515808
Cancer1,Subdoligranulum,23.455499649,-1.8377249241
Cancer1,Veillonella,5.5807108879,4.8030881882
Cancer2,Acinetobacter,-11.7567272186,-7.3207702637
Cancer2,Actinomyces,-1.6290252209,-14.0070390701
Cancer2,Alistipes,8.9415884018,12.3604335785
Cancer2,Anaerostipes,-14.1881246567,7.7952370644
Cancer2,Bacteroides,17.9997615814,27.3543872833
Cancer2,Bilophila,-18.924779892,-20.0029640198
Cancer2,Blautia,25.3455162048,20.7623615265
Cancer2,Butyricicoccus,-10.0477056503,5.031211853
Cancer2,Collinsella,2.2499742508,-8.232588768
Cancer2,Dorea,13.8506937027,10.067404747
Cancer2,Enterococcus,-7.5331406593,-7.6923556328
Cancer2,Erysipelatoclostridium,-15.4217176437,-15.5471801758
Cancer2,Faecalibacterium,21.1641159058,13.7092447281
Cancer2,Haemophilus,9.1703224182,-9.4152269363
Cancer2,Lachnoclostridium,4.2590460777,-1.8970432281
Cancer2,Lachnospira,-7.0337204933,-0.2354365736
Cancer2,Lactobacillus,-13.9518404007,-11.6754560471
Cancer2,Listeria,-6.9352474213,-15.3170795441
Cancer2,Methanobrevibacter,3.5222189426,20.7910957336
Cancer2,Neisseria,-13.6194562912,-6.7861537933
Cancer2,Odoribacter,-0.7136881948,0.2501642108
Cancer2,Parabacteroides,1.1416262388,14.0215148926
Cancer2,Phascolarctobacterium,5.2119660378,-15.0095081329
Cancer2,Porphyromonas,-2.7356200218,1.2610896826
Cancer2,Pseudomonas,-10.8239002228,-8.7335147858
Cancer2,Roseburia,18.7584991455,0.3230383694
Cancer2,Staphylococcus,4.10394907,-5.816775322
Cancer2,Streptococcus,15.5063686371,19.695268631
Cancer2,Subdoligranulum,25.9797229767,-2.2652564049
Cancer2,Veillonella,-4.3571362495,-7.646876812
Cancer3,Acidaminococcus,-13.5891695023,-8.1679973602
Cancer3,Actinomyces,-2.7866547108,-13.7428407669
Cancer3,Akkermansia,26.5354804993,2.5041115284
Cancer3,Alistipes,7.481306076,10.3190069199
Cancer3,Anaerostipes,-13.7962169647,11.2865457535
Cancer3,Bacteroides,15.2417507172,25.6706314087
Cancer3,Barnesiella,-15.6417627335,-18.229101181
Cancer3,Bifidobacterium,10.112033844,20.8873558044
Cancer3,Blautia,25.2721595764,24.9751300812
Cancer3,Butyricicoccus,-6.721429348,7.2286424637
Cancer3,Collinsella,29.6114578247,14.8559122086
Cancer3,Dorea,13.2873163223,10.3978996277
Cancer3,Erysipelatoclostridium,-12.5492238998,-14.1475486755
Cancer3,Faecalibacterium,23.3174819946,11.9659957886
Cancer3,Faecalitalea,-17.8047466278,-8.5908613205
Cancer3,Fusobacterium,-8.0877809525,-10.6493520737
Cancer3,Haemophilus,-17.5368385315,-14.9584217072
Cancer3,Holdemanella,20.128742218,6.8281588554
Cancer3,Lachnoclostridium,3.499833107,-1.4577344656
Cancer3,Lachnospira,-12.7715988159,-19.1844558716
Cancer3,Lactobacillus,-14.0790328979,-11.9866189957
Cancer3,Marvinbryantia,-25.6099529266,-5.6888012886
Cancer3,Megamonas,1.1802732944,3.0027441978
Cancer3,Megasphaera,8.5266456604,5.7995548248
Cancer3,Mogibacterium,-19.040802002,-11.3566884995
Cancer3,Parabacteroides,0.6488868594,11.3802089691
Cancer3,Paraprevotella,-0.7524102926,19.0202999115
Cancer3,Phascolarctobacterium,5.9939641953,-14.2255392075
Cancer3,Pseudomonas,-10.9108991623,-9.4610099792
Cancer3,Roseburia,21.1575222015,2.813416481
Cancer3,Streptococcus,8.1832876205,-1.5581941605
Cancer3,Subdoligranulum,21.9093437195,-6.4503135681
Cancer3,Sutterella,-17.1333885193,-22.2017498016
Cancer4,Acidaminococcus,-11.1417264938,-2.7373790741
Cancer4,Actinomyces,-1.6749529839,-12.9747409821
Cancer4,Akkermansia,-20.8624305725,-14.5011577606
Cancer4,Alistipes,10.4215145111,13.3144807816
Cancer4,Anaerostipes,26.1595973969,6.947514534
Cancer4,Bacteroides,14.9526977539,25.8618526459
Cancer4,Bifidobacterium,10.7532644272,21.3419189453
Cancer4,Bilophila,-19.9633216858,-20.1252765656
Cancer4,Blautia,25.6401386261,24.1892642975
Cancer4,Butyricicoccus,-6.665681839,6.6165032387
Cancer4,Collinsella,31.1564655304,13.8022384644
Cancer4,Desulfovibrio,2.8421828747,-11.350725174
Cancer4,Dorea,1.6813462973,5.8193020821
Cancer4,Erysipelatoclostridium,3.1832616329,1.170345068
Cancer4,Eubacterium,-12.3009195328,-11.1501588821
Cancer4,Faecalibacterium,-4.6911373138,7.0378937721
Cancer4,Faecalitalea,-16.321313858,-6.2495474815
Cancer4,Flavonifractor,-20.6381893158,-1.6247911453
Cancer4,Intestinibacter,-6.3286886215,14.0736656189
Cancer4,Lachnoclostridium,8.098859787,2.3772873878
Cancer4,Lachnospira,-7.5847001076,0.4570797384
Cancer4,Marvinbryantia,-25.6436843872,-7.2089691162
Cancer4,Methanobrevibacter,3.9019284248,17.4785118103
Cancer4,Odoribacter,-4.3393950462,-2.7667369843
Cancer4,Parabacteroides,2.5646390915,13.9181232452
Cancer4,Phascolarctobacterium,4.704931736,-15.5319948196
Cancer4,Roseburia,22.0093765259,3.7373461723
Cancer4,Slackia,-16.8130722046,2.3635327816
Cancer4,Streptococcus,7.8382663727,-1.729952693
Cancer4,Subdoligranulum,21.9857730865,-6.3702583313
Cancer4,Terrisporobacter,18.4863872528,9.8343906403
Cancer4,Tyzzerella,-17.6730213165,-4.2606678009
Cancer4,Veillonella,-11.3073234558,-12.7745771408
Cancer5,Akkermansia,-13.7936344147,-0.3939412832
Cancer5,Alistipes,8.1223363876,11.4673709869
Cancer5,Anaerostipes,17.9033679962,4.5705580711
Cancer5,Bacteroides,18.1068706512,28.6116428375
Cancer5,Bifidobacterium,11.4022006989,21.3921146393
Cancer5,Bilophila,-5.0957436562,-24.2076511383
Cancer5,Blautia,24.8321552277,21.3121852875
Cancer5,Butyricimonas,-12.4357633591,-16.4824752808
Cancer5,Collinsella,12.6638259888,-6.2225284576
Cancer5,Desulfovibrio,6.0585699081,0.296628803
Cancer5,Faecalibacterium,20.4038829803,11.6483125687
Cancer5,Flavonifractor,-21.1510257721,-9.0384454727
Cancer5,Gemella,-17.8264198303,-16.2894363403
Cancer5,Holdemania,-17.3717212677,-18.4711914062
Cancer5,Lachnoclostridium,2.2350149155,-2.8382947445
Cancer5,Odoribacter,-13.920589447,-16.6924114227
Cancer5,Parabacteroides,1.5876333714,15.5126104355
Cancer5,Paraprevotella,8.800450325,15.1388750076
Cancer5,Parasutterella,-23.7856769562,-19.2485485077
Cancer5,Phascolarctobacterium,12.6830072403,5.6808876991
Cancer5,Roseburia,21.2758712769,1.2920614481
Cancer5,Slackia,-9.6706876755,-17.9737148285
Cancer5,Sutterella,-16.6278953552,-23.0618247986
Cancer6,Akkermansia,7.4643177986,27.8613109589
Cancer6,Alistipes,10.409781456,14.4832229614
Cancer6,Anaerostipes,-13.4317798615,5.0422048569
Cancer6,Bacteroides,16.8958244324,27.7525291443
Cancer6,Barnesiella,-9.5042791367,-23.5101470947
Cancer6,Bifidobacterium,8.037563324,19.4748897552
Cancer6,Bilophila,-20.5743045807,-21.3845214844
Cancer6,Blautia,25.0249996185,19.6584434509
Cancer6,Butyricimonas,-0.3864996135,-3.644061327
Cancer6,Catenibacterium,-18.6496105194,-6.124648571
Cancer6,Cloacibacillus,-19.2243118286,-0.3877259493
Cancer6,Collinsella,-7.7011957169,-13.059548378
Cancer6,Dorea,-0.8196454644,4.0152020454
Cancer6,Faecalibacterium,20.9747886658,11.7292881012
Cancer6,Intestinibacter,-19.0160446167,-12.7079639435
Cancer6,Lachnospira,-7.1223015785,1.0457361937
Cancer6,Methanobrevibacter,3.5226886272,20.7873840332
Cancer6,Neisseria,-17.6575775146,-13.4062395096
Cancer6,Odoribacter,-2.9087088108,-1.6317675114
Cancer6,Parabacteroides,3.0311203003,15.5119285583
Cancer6,Paraprevotella,-0.7538090944,19.0356502533
Cancer6,Phascolarctobacterium,12.0876836777,3.3738148212
Cancer6,Roseburia,18.6828174591,0.9568016529
