Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,Gender Inequality Index
Albania,1361.81,1346.01,ALB,1.160220589,0.144
Algeria,1480.59,1288.27,DZA,12.98941638,0.499
Angola,1149.08,1041.91,AGO,9.326591708,0.537
Argentina,1770.65,1660.37,ARG,6.228221275,0.287
Armenia,1242.42,1072.97,ARM,13.63870511,0.216
Australia,1483.73,1906.2,AUS,-28.47350933,0.073
Austria,1502.47,1813.37,AUT,-20.69259286,0.053
Azerbaijan,1127.17,1274.5,AZE,-13.0707879,0.294
Bahrain,1289.25,1254.12,BHR,2.724840023,0.181
Bangladesh,883.18,1017.16,BGD,-15.17018048,0.53
Barbados,982.27,966.8,BRB,1.574923392,0.268
Belarus,1226.55,1457.75,BLR,-18.84961885,0.104
Belgium,1821.92,1823.83,BEL,-0.10483446,0.048
Belize,950.88,839.85,BLZ,11.67655225,0.364
Benin,1258.71,1020.94,BEN,18.88997466,0.602
Bhutan,910.96,769.0,BTN,15.5835602,0.415
Bolivia,1298.81,1213.1,BOL,6.599117654,0.418
Bosnia and Herzegovina,1403.98,1385.2,BIH,1.337625892,0.136
Botswana,1060.17,979.35,BWA,7.623305696,0.468
Brazil,1837.56,1975.82,BRA,-7.524108056,0.39
Bulgaria,1325.16,1229.79,BGR,7.196866793,0.21
Burkina Faso,1425.64,1050.87,BFA,26.28784265,0.621
Burundi,1076.26,799.08,BDI,25.75399996,0.505
Cambodia,954.3,1142.14,KHM,-19.68353767,0.461
Cameroon,1484.95,1417.44,CMR,4.54628102,0.565
Canada,1473.82,1986.51,CAN,-34.78647325,0.069
Chile,1514.86,1580.9,CHL,-4.359478764,0.187
China PR,1305.06,1862.87,CHN,-42.74209615,0.192
Colombia,1604.07,1700.4,COL,-6.005348894,0.424
Congo,1215.09,1161.46,COG,4.413664831,0.564
Congo DR,1332.84,1159.0,COD,13.04282585,0.601
Costa Rica,1500.06,1612.44,CRI,-7.491700332,0.256
Cote d'Ivoire,1435.91,1379.39,CIV,3.936179844,0.613
Croatia,1632.15,1404.39,HRV,13.95459976,0.093
Cuba,978.65,1217.56,CUB,-24.41220048,0.303
Cyprus,1180.52,1123.46,CYP,4.83346322,0.123
Czechia,1502.9,1675.21,CZE,-11.46516734,0.12
Denmark,1665.47,1855.49,DNK,-11.40939194,0.013
Dominican Republic,1031.86,1173.44,DOM,-13.7208536,0.429
Ecuador,1463.74,1377.83,ECU,5.869211745,0.362
Egypt,1482.63,1228.15,EGY,17.16409354,0.443
El Salvador,1333.48,1148.88,SLV,13.84347722,0.376
Estonia,1177.4,1180.34,EST,-0.249702735,0.1
Eswatini,1070.89,807.89,SWZ,24.55901166,0.54
Ethiopia,1088.27,1117.66,ETH,-2.700616575,0.52
Fiji,993.37,1345.58,FJI,-35.45607377,0.318
Finland,1398.41,1669.24,FIN,-19.36699537,0.033
France,1764.85,2037.69,FRA,-15.45967079,0.083
Gabon,1301.84,1079.87,GAB,17.05048239,0.541
Gambia,1137.47,1124.04,GMB,1.18069048,0.611
Georgia,1296.46,1118.09,GEO,13.75823396,0.28
Germany,1658.96,2059.75,DEU,-24.15911173,0.073
Ghana,1393.47,1416.77,GHA,-1.672084796,0.529
Greece,1441.45,1409.31,GRC,2.229699261,0.119
Guatemala,1161.96,1259.69,GTM,-8.410788667,0.481
Guinea,1294.89,1078.56,GIN,16.70643838,0.621
Guinea-Bissau,1165.53,835.18,GNB,28.34332879,0.627
Guyana,968.74,1247.77,GUY,-28.8033941,0.454
Haiti,1269.07,1445.71,HTI,-13.91885396,0.635
Honduras,1299.69,1145.7,HND,11.84820996,0.431
Hungary,1486.76,1538.35,HUN,-3.469961527,0.221
Iceland,1379.61,1870.66,ISL,-35.59339234,0.043
India,1198.65,1425.51,IND,-18.92629208,0.49
Indonesia,1019.19,1209.02,IDN,-18.62557521,0.444
IR Iran,1558.64,1364.73,IRN,12.44097418,0.459
Israel,1316.35,1365.34,ISR,-3.721654575,0.083
Italy,1713.86,1868.29,ITA,-9.010654312,0.056
Jamaica,1382.06,1543.93,JAM,-11.71222668,0.335
Japan,1554.69,1917.07,JPN,-23.30882684,0.083
Jordan,1279.74,1377.44,JOR,-7.63436323,0.471
Kazakhstan,1166.28,1234.3,KAZ,-5.832218678,0.161
Kenya,1202.26,991.78,KEN,17.50702843,0.506
Korea Republic,1526.02,1850.09,KOR,-21.23628786,0.067
Kyrgyz Republic,1232.91,1120.59,KGZ,9.110154026,0.37
Laos,914.66,1257.98,LAO,-37.535259,0.478
Latvia,1125.36,1168.47,LVA,-3.830774152,0.151
Lebanon,1211.71,1032.23,LBN,14.81212501,0.432
Lesotho,1061.4,842.0,LSO,20.67081213,0.557
Liberia,1051.25,891.31,LBR,15.21426873,0.648
Lithuania,1074.08,1219.51,LTU,-13.53995978,0.105
