m_probability,u_probability,bayes_factor,log2_bayes_factor,gamma_column_name,level_name,gamma_index,column_name,max_gamma_index,num_levels,level_proportion,estimate_name
0.12140211638205875,0.9818284974810112,0.12364900458025939,-3.0156774693358472,gamma_surname_std,level_0,0,surname_std,3,4,,True value
0.040466007404380305,0.016813986572795682,2.4066872677210647,1.2670486858006302,gamma_surname_std,level_1,1,surname_std,3,4,,True value
0.18294854463667662,0.0008840694926999293,206.9390994116941,7.693062445886409,gamma_surname_std,level_2,2,surname_std,3,4,,True value
0.6551833315768844,0.0004734464534932169,1383.8594137579091,10.434481671728973,gamma_surname_std,level_3,3,surname_std,3,4,,True value
0.05795912179180747,0.9820516333168352,0.05901840577979912,-4.082691238924177,gamma_surname_std,level_0,0,surname_std,3,4,,Estimated value
0.024484383508049917,0.01659065866650371,1.4757933364926323,0.5614907069726965,gamma_surname_std,level_1,1,surname_std,3,4,,Estimated value
0.12565547670907048,0.0008820697958122001,142.45525388766805,7.154365020407412,gamma_surname_std,level_2,2,surname_std,3,4,,Estimated value
0.7919010179910723,0.000475638220848905,1664.9230092941455,10.701239749239297,gamma_surname_std,level_3,3,surname_std,3,4,,Estimated value
0.1544114219741055,0.9687964029396311,0.15938480108469952,-2.6494140342239385,gamma_forename1_std,level_0,0,forename1_std,3,4,,True value
0.1726021061236783,0.024027036447125914,7.183661892864226,2.8447194496103827,gamma_forename1_std,level_1,1,forename1_std,3,4,,True value
0.18588889964539387,0.0025600203820343383,72.61227330451015,6.182141515546872,gamma_forename1_std,level_2,2,forename1_std,3,4,,True value
0.4870975722568223,0.004616540231208702,105.51138901897764,6.721254923251107,gamma_forename1_std,level_3,3,forename1_std,3,4,,True value
0.0915090143321037,0.9691152531061201,0.09442531632724521,-3.404682478035583,gamma_forename1_std,level_0,0,forename1_std,3,4,,Estimated value
0.11394010315439385,0.02368098871296429,4.811458868354458,2.266474395664287,gamma_forename1_std,level_1,1,forename1_std,3,4,,Estimated value
0.12661290712347356,0.0026105033457058213,48.501338767386365,5.599952664999758,gamma_forename1_std,level_2,2,forename1_std,3,4,,Estimated value
0.667937975390029,0.0045932548352097475,145.4171386856066,7.184053503321041,gamma_forename1_std,level_3,3,forename1_std,3,4,,Estimated value
0.39095170388214284,0.9740488151893613,0.40136767047567257,-1.3170036802865484,gamma_forename2_std,level_0,0,forename2_std,3,4,,True value
0.07177189894738198,0.022203193208746468,3.2325034634706955,1.6926519158141282,gamma_forename2_std,level_1,1,forename2_std,3,4,,True value
