dataset,x,y
slant_up,47.6952008891,95.2411869282
slant_up,44.6099759113,93.075835032
slant_up,43.8563814822,94.08587177129999
slant_up,41.5789293984,90.30356653870001
slant_up,49.177418555900005,96.61053245379999
slant_up,42.6522509813,90.5606397307
slant_up,30.1233318217,81.1442953304
slant_up,31.915519986,79.7904134869
slant_up,27.887719357399998,75.4455759934
slant_up,27.548234452600003,75.1647590544
slant_up,20.209778163699998,67.5166420988
slant_up,24.4434528292,54.4736551228
slant_up,24.630830133099998,53.395738899799994
slant_up,21.0379688969,49.829299645
slant_up,27.106242931999997,54.7195531488
slant_up,28.089617655300003,60.512212549
slant_up,31.1357349152,61.4319127116
slant_up,37.700837521,68.4184052804
slant_up,43.3926884016,43.5975940692
slant_up,51.2623974761,49.6665051258
slant_up,43.2867129203,43.0568603208
slant_up,55.9059162338,54.2526725342
slant_up,50.198958948999994,52.2250295948
slant_up,55.761587372,54.0305172396
slant_up,58.3231396505,60.0310591646
slant_up,70.171457528,70.2822212385
slant_up,60.600276471,59.7533088802
slant_up,63.7602750188,61.185641169600004
slant_up,54.389495261899995,53.811901225
slant_up,55.2412969947,52.593574626700004
slant_up,49.070126750200004,48.896944681099995
slant_up,46.0181190216,46.257723371800004
slant_up,44.759587435600004,41.9746066134
slant_up,51.6006241332,50.032466885299996
slant_up,36.4658820182,35.5241876075
slant_up,33.394798732699996,35.0168013145
slant_up,37.580071574899996,38.8315722007
slant_up,36.619722059000004,36.8114141094
slant_up,36.1634664356,33.819314199000004
slant_up,33.1677570349,31.247741167199997
slant_up,42.6449829318,40.1543216386
slant_up,47.2250252695,44.5756466185
slant_up,48.392363003199996,50.3315285645
slant_up,27.2451932001,29.8195074488
slant_up,30.404314338800003,29.079539924099997
slant_up,30.0807992865,27.5880255173
slant_up,33.9806339675,35.0330581489
slant_up,34.2506117649,34.4415865654
slant_up,51.141183571400006,20.6183237784
slant_up,49.899592066000004,19.5640835356
slant_up,55.5898773424,26.2992451143
slant_up,55.4820563581,22.8274662445
slant_up,63.5729393821,32.9386176053
slant_up,59.025077084799996,28.3220858801
slant_up,62.4237785929,33.4865952868
slant_up,47.849907703,48.556624645
slant_up,52.2685616825,52.805240196099994
slant_up,68.8510215758,39.573434273000004
slant_up,65.6763960251,35.109315430100004
slant_up,77.7468851148,47.371824113900004
slant_up,80.352934115,47.80029888520001
slant_up,60.337586485799996,63.0349593272
slant_up,61.6587233282,64.1000234779
slant_up,71.5450389858,72.657716331
slant_up,49.0409566406,77.36258326779999
slant_up,51.886888022200004,80.1136076892
slant_up,57.968981435,85.35604573260001
slant_up,54.855664646,83.7833976656
slant_up,54.1331954613,83.7939960824
slant_up,51.308825256800006,80.1363911553
slant_up,61.120394384399994,88.7040529069
slant_up,55.5638650304,85.81037514409999
slant_up,55.044123361000004,83.5414106324
slant_up,50.4441853247,78.1958883115
slant_up,43.82770899810001,71.0470522123
slant_up,37.7914323802,66.8546410275
slant_up,29.292783111,59.79199693
slant_up,32.1920969515,60.200650914700006
slant_up,51.4339355233,99.2568672885
slant_up,67.46413981180001,95.999963905
slant_up,65.15070527569999,92.50263373680001
slant_up,65.5834276962,93.5170609365
slant_up,69.2889731377,99.57959112540001
slant_up,81.26944055109999,80.635944933
slant_up,78.5757448361,76.8157030942
slant_up,74.1867734997,74.3442041467
slant_up,72.622209414,74.5269656511
slant_up,75.1415195918,73.81966846479999
slant_up,75.168667839,73.9004448762
slant_up,85.3242028911,55.38857882520001
slant_up,84.090507598,56.301968006
slant_up,86.2562238205,55.8309303793
slant_up,92.5487933153,42.9019079116
slant_up,90.34263450889999,37.7803861004
slant_up,85.8191629042,37.5713861819
slant_up,90.44181811370001,40.1331134204
slant_up,92.0175590822,39.9179311324
slant_up,95.2605278366,46.008830272
slant_up,41.2902998033,42.3115524113
slant_up,66.4313243161,36.5361097353
slant_up,63.986346885799996,32.7134316129
slant_up,61.269682090500005,29.3857240482
slant_up,60.749389190900004,28.0517363383
slant_up,64.6552305634,16.612276508599997
slant_up,68.6382807138,18.508012896300002
slant_up,65.77666515680001,16.7876560655
slant_up,71.1341263421,19.3859575313
slant_up,63.7231835039,14.521421195699999
slant_up,73.00149407010001,24.0738125371
slant_up,72.436657497,20.578345113599998
slant_up,68.4127671225,19.9131265443
slant_up,52.8583150204,20.2350610035
slant_up,53.529952673400004,24.2419155845
slant_up,50.759741052799995,18.0893946004
slant_up,42.53480844,10.1698684594
slant_up,41.5303978512,13.3962907452
slant_up,46.714517991499996,15.6132744651
slant_up,48.4506176492,16.2122782224
slant_up,59.6326101247,7.05803719901
slant_up,61.6185682473,13.410822718399999
slant_up,48.8339891275,17.7259558674
slant_up,45.3426531889,13.9088123935
slant_up,42.4150122932,11.693781096099999
slant_up,58.9347650647,9.36920121911
slant_up,60.6836260407,10.632641556900001
slant_up,54.811798368299996,6.56964870325
slant_up,61.5868424253,11.0275858356
slant_up,59.7160077628,11.519096861700001
slant_up,58.416384011400005,5.645777483280001
slant_up,59.243809528,10.5401420943
slant_up,56.594364638500004,8.91734404523
slant_up,68.4925132247,17.9873634289
slant_up,65.0059431717,15.9126686464
slant_up,63.9210367078,15.620961033199999
slant_up,53.5129705438,5.8751095283599994
slant_up,57.832806274300005,9.22238462333
slant_up,31.032917439499997,28.9281418896
slant_up,31.3332440932,32.5385694785
slant_up,86.4015498466,38.7469331743
slant_up,47.442111635399996,98.1843018589
slant_up,46.2647413368,94.11619216129999
slant_up,40.1638157437,87.44867234690001
