id,OpponentName,start,end,PersonId,Time (seconds),id.1,Gender,Age Group,Favorite Activity,Height,zipcode,state,Event
20,Fast person,2018-08-25 15:07:29.106 +00:00,2018-08-25 15:07:32.662 +00:00,20,4.0,20,male,Teen,Gaming,71.0,35242,AL,Makevention 2018
84,Fast animal,2018-08-25 18:09:09.094 +00:00,2018-08-25 18:09:16.522 +00:00,84,7.0,84,female,Teen,Cooking,44.0,46106,IN,Makevention 2018
87,Fast animal,2018-08-25 18:40:16.144 +00:00,2018-08-25 18:40:24.444 +00:00,87,8.0,87,female,Pre-Teen,Sports,11.0,46106,IN,Makevention 2018
56,Cartoon character,2018-08-25 17:05:20.488 +00:00,2018-08-25 17:05:23.374 +00:00,56,3.0,56,female,Kid,Cooking,56.0,47265,IN,Makevention 2018
57,Fast animal,2018-08-25 17:06:55.816 +00:00,2018-08-25 17:07:05.060 +00:00,57,9.0,57,female,Pre-Teen,Gaming,58.0,47265,IN,Makevention 2018
58,Fast person,2018-08-25 17:07:49.084 +00:00,2018-08-25 17:07:53.014 +00:00,58,4.0,58,male,Teen,Art,56.0,47265,IN,Makevention 2018
59,Fast animal,2018-08-25 17:09:57.142 +00:00,2018-08-25 17:10:02.668 +00:00,59,6.0,59,female,Teen,Other,58.0,47265,IN,Makevention 2018
60,Cartoon character,2018-08-25 17:10:23.800 +00:00,2018-08-25 17:10:27.776 +00:00,60,4.0,60,male,Pre-Teen,Gaming,56.0,47265,IN,Makevention 2018
61,Fast animal,2018-08-25 17:11:24.640 +00:00,2018-08-25 17:11:28.256 +00:00,61,4.0,61,other,Pre-Teen,Gaming,58.0,47265,IN,Makevention 2018
62,Fast animal,2018-08-25 17:12:18.504 +00:00,2018-08-25 17:12:22.598 +00:00,62,4.0,62,male,Retired,Cooking,62.0,47265,IN,Makevention 2018
63,Fast animal,2018-08-25 17:13:06.512 +00:00,2018-08-25 17:13:08.118 +00:00,63,2.0,63,male,Retired,Gaming,30.0,47265,IN,Makevention 2018
64,Fast animal,2018-08-25 17:13:47.284 +00:00,2018-08-25 17:13:49.192 +00:00,64,2.0,64,male,Adult,Gaming,678.0,47265,IN,Makevention 2018
70,Fast animal,2018-08-25 17:21:08.220 +00:00,2018-08-25 17:21:15.138 +00:00,70,7.0,70,other,Retired,Other,56.0,47265,IN,Makevention 2018
71,Fast animal,2018-08-25 17:22:18.726 +00:00,2018-08-25 17:22:27.276 +00:00,71,9.0,71,male,Teen,Gaming,72.0,47265,IN,Makevention 2018
72,Slow animal,2018-08-25 17:22:59.360 +00:00,2018-08-25 17:23:05.606 +00:00,72,6.0,72,female,Teen,Gaming,56.0,47265,IN,Makevention 2018
73,Fast animal,2018-08-25 17:24:00.084 +00:00,2018-08-25 17:24:04.420 +00:00,73,4.0,73,female,Kid,Other,56.0,47265,IN,Makevention 2018
74,Slow person,2018-08-25 17:24:51.940 +00:00,2018-08-25 17:24:56.068 +00:00,74,4.0,74,other,Kid,Art,56.0,47265,IN,Makevention 2018
75,Cartoon character,2018-08-25 17:25:47.838 +00:00,2018-08-25 17:25:51.942 +00:00,75,4.0,75,other,Adult,Other,56.0,47265,IN,Makevention 2018
76,Fast animal,2018-08-25 17:42:18.718 +00:00,2018-08-25 17:42:22.998 +00:00,76,4.0,76,other,Pre-Teen,Gaming,58.0,47265,IN,Makevention 2018
77,Cartoon character,2018-08-25 17:47:13.908 +00:00,2018-08-25 17:47:17.492 +00:00,77,4.0,77,other,Pre-Teen,Gaming,56.0,47265,IN,Makevention 2018
78,Cartoon character,2018-08-25 17:49:18.318 +00:00,2018-08-25 17:49:22.422 +00:00,78,4.0,78,male,Pre-Teen,Cooking,56.0,47265,IN,Makevention 2018
79,Slow animal,2018-08-25 17:52:03.252 +00:00,2018-08-25 17:52:07.170 +00:00,79,4.0,79,male,Pre-Teen,Other,56.0,47265,IN,Makevention 2018
83,Fast animal,2018-08-25 18:02:37.348 +00:00,2018-08-25 18:02:41.134 +00:00,83,4.0,83,other,Pre-Teen,Gaming,58.0,47265,IN,Makevention 2018
7,Fast animal,2018-08-25 14:43:02.750 +00:00,2018-08-25 14:43:05.494 +00:00,7,3.0,7,other,Adult,Gaming,70.0,47401,IN,Makevention 2018
14,Cartoon character,2018-08-25 14:56:05.012 +00:00,2018-08-25 14:56:19.186 +00:00,14,14.0,14,other,Teen,Art,5.0,47401,IN,Makevention 2018
15,Cartoon character,2018-08-25 14:57:10.242 +00:00,2018-08-25 14:57:14.290 +00:00,15,4.0,15,female,Teen,Gaming,5.0,47401,IN,Makevention 2018
18,Fast animal,2018-08-25 15:02:25.556 +00:00,2018-08-25 15:02:28.958 +00:00,18,3.0,18,male,Adult,Gaming,70.0,47401,IN,Makevention 2018
22,Fast person,2018-08-25 15:18:14.894 +00:00,2018-08-25 15:18:18.276 +00:00,22,3.0,22,other,Adult,Gaming,70.0,47401,IN,Makevention 2018
30,Fast animal,2018-08-25 15:52:28.266 +00:00,2018-08-25 15:52:35.580 +00:00,30,7.0,30,male,Teen,Cooking,66.0,47401,IN,Makevention 2018
32,Slow animal,2018-08-25 15:53:33.056 +00:00,2018-08-25 15:53:36.476 +00:00,32,3.0,32,male,Teen,Cooking,66.0,47401,IN,Makevention 2018
33,Fast animal,2018-08-25 15:54:57.584 +00:00,2018-08-25 15:55:01.428 +00:00,33,4.0,33,male,Adult,Gaming,70.0,47401,IN,Makevention 2018
37,Fast person,2018-08-25 16:03:59.952 +00:00,2018-08-25 16:04:05.512 +00:00,37,6.0,37,male,Adult,Cooking,67.0,47401,IN,Makevention 2018
50,Fast animal,2018-08-25 16:23:22.300 +00:00,2018-08-25 16:23:26.258 +00:00,50,4.0,50,other,Adult,Other,81.0,47401,IN,Makevention 2018
89,Fast animal,2018-08-25 19:15:37.808 +00:00,,89,,89,male,Teen,Art,57.0,47401,IN,Makevention 2018
90,Fast animal,2018-08-25 19:16:54.558 +00:00,2018-08-25 19:17:09.510 +00:00,90,15.0,90,male,Retired,Sports,57.0,47401,IN,Makevention 2018
91,Fast animal,2018-08-25 19:18:08.762 +00:00,2018-08-25 19:18:16.950 +00:00,91,8.0,91,male,Kid,Gaming,45.0,47401,IN,Makevention 2018
92,Fast animal,2018-08-25 19:18:58.072 +00:00,2018-08-25 19:19:02.680 +00:00,92,5.0,92,female,Teen,Gaming,45.0,47401,IN,Makevention 2018
93,Slow person,2018-08-25 19:22:40.274 +00:00,2018-08-25 19:22:45.000 +00:00,93,5.0,93,other,Retired,Sports,45.0,47401,IN,Makevention 2018
34,Fast animal,2018-08-25 15:58:51.120 +00:00,2018-08-25 15:58:55.820 +00:00,34,5.0,34,other,Adult,Other,48.0,47403,IN,Makevention 2018
35,Cartoon character,2018-08-25 15:59:51.696 +00:00,2018-08-25 15:59:55.822 +00:00,35,4.0,35,male,Teen,Sports,47.0,47403,IN,Makevention 2018
36,Cartoon character,2018-08-25 16:03:04.492 +00:00,2018-08-25 16:03:10.202 +00:00,36,6.0,36,male,Teen,Gaming,68.0,47403,IN,Makevention 2018
46,Slow person,2018-08-25 16:15:03.726 +00:00,2018-08-25 16:15:09.188 +00:00,46,5.0,46,female,Adult,Art,68.0,47403,IN,Makevention 2018
82,Fast person,2018-08-25 18:00:13.998 +00:00,2018-08-25 18:00:22.146 +00:00,82,8.0,82,other,Kid,Sports,7894.0,47403,IN,Makevention 2018
85,Fast animal,2018-08-25 18:33:25.388 +00:00,2018-08-25 18:33:29.618 +00:00,85,4.0,85,female,Teen,Gaming,68.0,47403,IN,Makevention 2018
10,Fast animal,2018-08-25 14:47:04.596 +00:00,2018-08-25 14:47:12.520 +00:00,10,8.0,10,other,Adult,Sports,73.0,47404,IN,Makevention 2018
19,Fast animal,2018-08-25 15:03:47.074 +00:00,2018-08-25 15:03:53.404 +00:00,19,6.0,19,female,Adult,Other,73.0,47404,IN,Makevention 2018
28,Slow person,2018-08-25 15:38:19.632 +00:00,2018-08-25 15:38:34.516 +00:00,28,15.0,28,other,Kid,Gaming,48.0,47404,IN,Makevention 2018
29,Fast animal,2018-08-25 15:39:07.102 +00:00,2018-08-25 15:39:13.436 +00:00,29,6.0,29,other,Adult,Gaming,49.0,47404,IN,Makevention 2018
47,Cartoon character,2018-08-25 16:18:27.432 +00:00,2018-08-25 16:18:29.750 +00:00,47,2.0,47,female,Adult,Art,73.0,47404,IN,Makevention 2018
