page type,referrer channel,purchase count
blog,typed_bookmarked,0
home,typed_bookmarked,0
home,internal,1
product section,internal,1
product section,internal,1
home,typed_bookmarked,0
hero-page,internal,0
product,internal,0
hero-page,internal,0
product,internal,0
product,typed_bookmarked,0
home,typed_bookmarked,1
product section,internal,0
product section,internal,0
product,internal,0
product section,internal,1
product,internal,1
product,typed_bookmarked,0
cart,internal,0
signin,internal,0
home,typed_bookmarked,0
hero-page,internal,1
home,typed_bookmarked,0
home,typed_bookmarked,0
signin,internal,0
signin,internal,0
sign up,internal,0
home,internal,0
signin,internal,1
home,internal,0
product section,internal,0
product,internal,0
product,typed_bookmarked,0
hero-page,internal,0
product section,internal,0
product section,internal,0
product,internal,0
product,typed_bookmarked,0
hero-page,internal,0
product section,internal,0
product section,internal,0
product,internal,0
product,typed_bookmarked,0
order confirmation,internal,0
home,typed_bookmarked,0
product section,internal,0
product,internal,0
home,typed_bookmarked,0
blog,internal,0
blog,internal,0
home,internal,0
product,internal,0
product,typed_bookmarked,0
cart,internal,0
cart,internal,0
cart,internal,0
order confirmation,internal,0
home,internal,0
product section,internal,0
hero-page,internal,0
home,typed_bookmarked,0
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,typed_bookmarked,1
product,typed_bookmarked,0
product section,internal,0
product section,internal,0
product,internal,1
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,internal,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
hero-page,internal,0
hero-page,internal,0
product,internal,1
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,1
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
product,typed_bookmarked,0
