sample_id,taxon,TSNE 1,TSNE 2
chepang1,Catenibacterium,23.2918682098,-7.8224072456
chepang1,Phascolarctobacterium,-38.3420944214,3.9719934464
chepang1,Prevotella,-32.3648300171,21.9739170074
chepang1,Succinivibrio,-36.2704124451,-8.7494516373
chepang2,Faecalibacterium,24.4209518433,-5.4250788689
chepang2,Prevotella,-33.4076042175,21.1057682037
chepang2,Roseburia,24.6328392029,-8.021987915
chepang2,Succinivibrio,-36.6257858276,-7.3068060875
chepang3,Bacteroides,52.1803665161,-7.0583925247
chepang3,Clostridium,50.8484992981,-11.7984771729
chepang3,Faecalibacterium,18.9173355103,-16.0235099792
chepang3,Holdemanella,-8.2138299942,-5.0140705109
chepang3,Phocaeicola,53.0044288635,-17.3362503052
chepang3,Prevotella,-32.6487998962,-10.3534765244
chepang3,Roseburia,48.3211593628,-9.9306707382
chepang3,Ruminococcus,18.3186340332,-19.8996391296
hadza1,Anaerobutyricum,-28.0613174438,0.3754112124
hadza1,Blautia,-25.4205493927,5.143661499
hadza1,Bulleidia,-36.9163742065,5.7631325722
hadza1,Clostridium,-34.1382446289,17.3757324219
hadza1,Dorea,-28.000207901,5.5182952881
hadza1,Faecalibacterium,8.0668087006,15.5591039658
hadza1,Holdemanella,-15.5501823425,0.9733758569
hadza1,Mediterraneibacter,7.6147794724,14.3106040955
hadza1,Prevotella,-0.8150144815,21.7100639343
hadza2,Anaerobutyricum,-33.1609535217,8.7709007263
hadza2,Anaerostipes,-11.709148407,-1.5755445957
hadza2,Blautia,-31.9482936859,11.5458698273
hadza2,Catenibacterium,-12.3618984222,0.6733494997
hadza2,Clostridium,11.2000303268,-18.4494094849
hadza2,Collinsella,12.9760456085,-15.9722032547
hadza2,Dorea,-10.6223220825,14.2515830994
hadza2,Faecalibacterium,-33.2235488892,14.2113237381
hadza2,Holdemanella,-10.7206230164,3.4021663666
hadza2,Intestinibacter,-28.0366039276,-1.5623477697
hadza2,Lachnospira,-30.8577041626,8.3881530762
hadza2,Mediterraneibacter,12.3579950333,-13.7954187393
hadza2,Prevotella,-26.4143867493,-5.8102960587
hadza2,Roseburia,14.4889917374,-16.1399974823
hadza2,Ruminococcus,16.8694343567,-17.6435165405
hadza2,Terrisporobacter,-29.4772663116,7.2792134285
hadza3,Anaerobutyricum,-7.1208634377,11.0700817108
hadza3,Blautia,-2.6444280148,7.8186192513
hadza3,Bulleidia,-7.6652131081,13.5261125565
hadza3,Butyrivibrio,-5.6975660324,12.1569261551
hadza3,Clostridium,-1.9817162752,19.5685691833
hadza3,Faecalibacterium,-4.8562493324,9.18704319
hadza3,Holdemanella,-8.3867368698,7.3160114288
hadza3,Mediterraneibacter,-3.3953478336,12.847114563
hadza3,Prevotella,-8.4464101791,18.5061016083
hadza3,Roseburia,-3.4009985924,17.2851047516
hadza3,Ruminococcus,-5.5050969124,15.5417900085
mephaa1,Blautia,-6.1507344246,0.5294446349
mephaa1,Catenibacterium,-11.200214386,-4.1509380341
mephaa1,Clostridium,48.293182373,-16.8016662598
mephaa1,Dialister,-45.794921875,0.4633229375
mephaa1,Faecalibacterium,-9.9374370575,-7.373087883
mephaa1,Holdemanella,-12.8290672302,4.6548709869
mephaa1,Mediterraneibacter,11.1678590775,-11.6687135696
mephaa1,Methanobrevibacter,-47.8910140991,2.451351881
mephaa1,Phascolarctobacterium,-40.8509864807,2.5043625832
mephaa1,Prevotella,-27.6998672485,-11.4473590851
mephaa1,Streptococcus,50.2446746826,-14.7642717361
mephaa2,Dialister,-46.6562652588,-2.052959919
mephaa2,Faecalibacterium,45.4863395691,-10.7625827789
mephaa2,Haemophilus,11.7417154312,-21.1822090149
mephaa2,Prevotella,-35.9198303223,22.1947212219
mephaa2,Roseburia,45.540058136,-4.5997419357
mephaa2,Streptococcus,54.8456878662,-13.941113472
mephaa2,Succinivibrio,-33.9769325256,-7.8021945953
mephaa3,Clostridium,54.4875793457,-5.9901847839
mephaa3,Dialister,-43.8014144897,1.5810213089
mephaa3,Faecalibacterium,47.4539871216,-6.179186821
mephaa3,Prevotella,-27.4871368408,-8.968460083
mephaa3,Roseburia,48.8683013916,-8.454823494
mephaa3,Streptococcus,52.0400848389,-14.5587005615
mephaa3,Succinivibrio,-30.5769824982,-2.8927409649
