Continent,Height,Weight
Asia,180.0,80.0
Asia,170.0,60.0
Asia,165.0,49.0
Asia,176.0,64.0
Asia,175.0,66.0
Asia,190.0,88.0
Asia,169.0,67.0
Asia,175.0,80.0
Asia,160.0,65.0
Asia,181.0,74.0
Asia,170.0,70.0
Asia,168.0,55.0
Asia,173.0,77.0
Asia,178.0,80.0
Asia,170.0,62.0
Asia,164.0,58.0
Asia,165.0,60.0
Asia,173.0,60.0
Asia,181.0,74.0
Asia,182.0,76.0
Asia,159.0,53.0
Asia,180.0,104.0
Asia,169.0,68.0
Asia,158.0,49.0
Asia,170.0,80.0
Asia,177.0,65.0
Asia,183.0,75.0
Asia,165.0,60.0
Asia,147.0,50.0
Asia,184.0,70.0
Asia,180.0,73.0
Asia,163.0,61.0
Asia,172.0,90.0
Asia,180.0,117.5
Asia,169.0,65.0
Asia,169.0,60.0
Asia,156.0,59.0
Asia,176.0,68.0
Asia,168.0,54.0
Asia,172.0,70.0
Asia,178.0,74.0
Asia,175.0,80.0
Asia,175.0,85.0
Asia,173.0,64.0
Asia,169.0,91.0
Asia,181.0,72.0
Asia,163.0,56.0
Asia,178.0,70.0
Asia,177.0,68.0
Asia,160.0,52.0
Asia,180.0,72.0
Asia,158.0,58.0
Asia,185.0,80.0
Asia,175.0,75.0
Asia,181.0,73.0
Asia,164.0,55.0
Asia,176.0,66.0
Asia,165.0,65.0
Asia,188.0,77.0
Asia,188.0,91.0
Asia,164.0,60.0
Asia,169.0,63.0
Asia,190.0,130.0
Asia,167.0,55.0
Asia,170.0,47.0
Asia,175.0,74.0
Asia,168.0,68.0
Asia,168.0,62.0
Asia,150.0,60.0
Asia,181.0,66.0
Asia,178.0,74.0
Asia,178.0,73.0
Asia,183.0,74.0
Asia,172.0,74.0
Asia,192.0,117.0
Asia,170.0,84.0
Asia,190.0,125.0
Asia,174.0,72.0
Asia,162.0,54.0
Asia,177.0,75.0
Asia,178.0,67.0
Asia,166.0,69.0
Asia,168.0,68.0
Asia,167.0,62.0
Asia,175.0,64.0
Asia,173.0,68.0
Asia,178.0,70.0
Asia,179.0,91.0
Asia,166.0,57.0
Asia,190.0,80.0
Asia,170.0,60.0
Asia,168.0,60.0
Asia,175.0,67.0
Asia,177.0,75.0
Asia,180.0,83.0
Asia,153.0,48.0
Asia,159.0,40.0
Asia,160.0,53.0
Asia,180.0,74.0
Asia,166.0,52.0
Asia,160.0,78.0
Asia,169.0,62.0
Asia,173.0,53.0
Asia,163.0,48.0
Asia,168.0,59.0
Asia,182.0,79.0
Asia,170.0,48.0
Asia,190.0,65.0
Asia,170.0,51.0
Asia,167.0,53.0
Asia,176.0,82.0
Asia,167.0,43.0
Asia,181.0,84.0
Asia,186.0,115.0
Asia,160.0,57.0
Asia,173.0,74.0
Asia,180.0,79.0
Asia,168.0,67.0
Asia,180.0,76.0
Asia,172.0,72.0
Asia,178.0,69.0
Asia,165.0,54.0
Asia,157.0,52.0
Asia,182.0,75.0
Asia,178.0,68.0
Asia,148.0,46.0
Asia,170.0,67.0
Asia,183.0,68.0
Asia,180.0,70.0
Asia,163.0,65.0
Asia,163.0,51.0
Asia,168.0,56.0
Asia,181.0,77.0
Asia,185.0,80.0
Asia,170.0,78.0
Asia,165.0,68.0
Asia,178.0,78.0
Asia,186.0,85.0
Asia,177.0,75.0
Asia,156.0,56.0
Asia,179.0,60.0
Asia,162.0,51.0
Asia,165.0,58.0
Asia,172.0,67.0
Asia,168.0,67.0
Asia,156.0,51.0
Asia,186.0,100.0
Asia,190.0,80.0
Asia,160.0,49.0
Asia,180.0,75.0
Asia,166.0,63.0
Asia,185.0,90.0
Asia,163.0,69.0
Asia,168.0,66.0
Asia,165.0,58.0
Asia,165.0,65.0
Asia,173.0,81.0
Asia,187.0,77.0
Asia,151.0,52.0
Asia,185.0,82.0
Asia,154.0,52.0
Asia,160.0,55.0
Asia,190.0,80.0
Asia,192.0,65.0
Asia,188.0,82.0
Asia,182.0,70.0
Asia,180.0,82.0
Asia,184.0,77.0
Asia,172.0,69.0
Asia,169.0,78.0
Asia,173.0,76.0
Asia,190.0,86.0
Asia,158.0,51.0
Asia,186.0,96.0
Asia,168.0,62.0
Asia,163.0,61.0
Asia,166.0,72.0
Asia,170.0,67.0
Asia,177.0,84.0
Asia,160.0,51.0
Asia,193.0,75.0
Asia,168.0,70.0
Asia,170.0,59.0
Asia,147.0,47.0
Asia,168.0,68.0
Asia,179.0,69.0
Asia,175.0,65.0
Asia,177.0,70.0
Asia,178.0,60.0
Asia,178.0,73.0
Asia,175.0,67.0
Asia,179.0,72.0
Asia,165.0,64.0
Asia,146.0,57.0
Asia,160.0,62.0
Asia,170.0,69.0
Asia,162.0,62.0
Asia,169.0,65.0
Asia,171.0,67.0
Asia,184.0,75.0
Asia,170.0,62.0
Asia,169.0,75.0
Asia,170.0,61.0
Asia,177.0,74.0
Asia,178.0,79.0
Asia,170.0,70.0
Asia,165.0,65.0
Asia,150.0,70.0
Asia,175.0,61.0
Asia,150.0,42.0
Asia,174.0,57.0
Asia,178.0,70.0
Asia,173.0,72.0
Asia,162.0,54.0
Asia,160.0,62.0
Asia,168.0,54.0
Asia,175.0,71.0
Asia,154.0,53.0
Asia,156.0,55.0
Asia,183.0,85.0
Asia,173.0,68.0
Asia,177.0,58.0
Asia,169.0,63.0
Asia,172.0,91.0
Asia,175.0,90.0
Asia,163.0,60.0
Asia,158.0,43.0
Asia,165.0,59.0
Asia,170.0,65.0
Asia,172.0,74.0
Asia,162.0,56.0
Asia,150.0,52.0
Asia,169.0,64.0
Asia,167.0,65.0
Asia,180.0,77.0
Asia,178.0,58.0
Asia,180.0,85.0
Asia,172.0,58.0
Asia,178.0,75.0
Asia,170.0,72.0
Asia,172.0,73.0
Asia,167.0,57.0
Asia,178.0,61.0
Asia,171.0,51.0
Asia,176.0,60.0
Asia,168.0,62.0
Asia,178.0,67.0
Asia,170.0,58.0
Asia,187.0,85.0
Asia,167.0,59.0
Asia,163.0,57.0
Asia,160.0,55.0
Asia,192.0,125.0
Asia,172.0,75.0
Asia,169.0,54.0
Asia,160.0,55.0
Asia,175.0,90.0
Asia,168.0,67.0
Asia,165.0,56.0
Asia,180.0,72.0
Asia,170.0,70.0
Asia,163.0,59.0
Asia,175.0,105.0
Asia,158.0,53.0
Asia,172.0,61.0
Asia,185.0,85.0
Asia,167.0,62.0
Asia,173.0,65.0
Asia,160.0,51.0
Asia,173.0,68.0
Asia,172.0,70.0
Asia,175.0,63.0
Asia,156.0,44.0
Asia,168.0,65.0
Asia,185.0,102.0
Asia,175.0,58.0
Asia,171.0,57.0
Asia,174.0,69.0
Asia,180.0,72.0
Asia,182.0,75.0
Asia,179.0,60.0
Asia,186.0,97.0
Asia,184.0,75.0
Asia,172.0,52.0
Asia,168.0,60.0
Asia,156.0,48.0
Asia,175.0,63.0
Asia,165.0,46.0
Asia,159.0,50.0
Asia,155.0,51.0
Asia,162.0,51.0
Asia,187.0,81.0
Asia,177.0,80.0
Asia,183.0,77.0
Asia,178.0,65.0
Asia,170.0,65.0
Asia,174.0,65.0
Asia,177.0,62.0
Asia,171.0,64.0
Asia,185.0,75.0
Asia,177.0,70.0
Asia,168.0,67.0
Asia,183.0,70.0
Asia,180.0,75.0
Asia,170.0,65.0
Asia,177.0,125.0
Asia,172.0,65.0
Asia,155.0,51.0
Asia,165.0,49.0
Asia,174.0,74.0
Asia,170.0,60.0
Asia,163.0,57.0
Asia,155.0,75.0
Asia,175.0,61.0
Asia,187.0,83.0
Asia,165.0,69.0
Asia,182.0,73.0
Asia,175.0,65.0
Asia,179.0,68.0
Asia,180.0,72.0
Asia,180.0,80.0
Asia,176.0,63.0
Asia,175.0,90.0
Asia,170.0,57.0
Asia,178.0,82.0
Asia,193.0,89.0
Asia,170.0,63.0
Asia,170.0,61.0
Asia,180.0,70.0
Asia,178.0,64.0
Asia,171.0,68.0
Asia,173.0,65.0
Asia,158.0,69.0
Asia,167.0,69.0
Asia,175.0,74.0
Asia,180.0,60.0
Asia,160.0,57.0
Asia,175.0,65.0
Asia,160.0,75.0
Asia,161.0,65.0
Asia,162.0,53.0
Asia,190.0,98.0
Asia,170.0,62.0
Asia,180.0,70.0
Asia,170.0,70.0
Asia,173.0,69.0
Asia,160.0,52.0
Asia,170.0,65.0
Asia,195.0,122.0
Asia,168.0,64.0
Asia,183.0,69.0
Asia,173.0,58.0
Asia,176.0,72.0
Asia,169.0,69.0
Asia,172.0,86.0
Asia,180.0,68.0
Asia,170.0,58.0
Asia,176.0,74.0
Asia,176.0,64.0
Asia,172.0,65.0
Asia,192.0,86.0
Asia,180.0,75.0
Asia,178.0,95.0
Asia,160.0,86.0
Asia,165.0,54.0
Asia,179.0,73.0
Asia,189.0,90.0
Asia,160.0,59.0
Asia,167.0,60.0
Asia,175.0,62.0
Asia,174.0,73.0
Asia,198.0,130.0
Asia,174.0,72.0
Asia,164.0,63.0
Asia,180.0,73.0
Asia,167.0,69.0
Asia,160.0,51.0
Asia,190.0,69.0
Asia,155.0,70.0
Asia,188.0,75.0
Asia,162.0,70.0
Asia,163.0,69.0
Asia,175.0,57.0
Asia,160.0,87.0
Asia,180.0,94.0
Asia,172.0,65.0
Asia,155.0,65.0
Asia,178.0,70.0
Asia,175.0,77.0
Asia,168.0,68.0
Asia,175.0,65.0
Asia,170.0,72.0
Asia,168.0,52.0
Asia,175.0,65.0
Asia,179.0,55.0
Asia,170.0,65.0
Asia,170.0,70.0
Asia,153.0,65.0
Asia,178.0,72.0
Asia,182.0,95.0
Asia,190.0,92.0
Asia,180.0,60.0
Asia,162.0,60.0
Asia,165.0,60.0
Asia,165.0,57.0
Asia,166.0,69.0
Asia,171.0,57.0
Asia,177.0,68.0
Asia,175.0,70.0
Asia,180.0,86.0
Asia,169.0,68.0
Asia,173.0,68.0
Asia,171.0,70.0
Asia,162.0,54.0
Asia,177.0,70.0
Asia,175.0,73.0
Asia,178.0,72.0
Asia,160.0,55.0
Asia,167.0,67.0
Asia,167.0,65.0
Asia,173.0,67.0
Asia,166.0,68.0
Asia,150.0,63.0
Asia,170.0,63.0
Asia,179.0,73.0
Asia,182.0,75.0
Asia,170.0,60.0
Asia,185.0,67.0
Asia,170.0,70.0
Asia,172.0,69.0
Asia,140.0,56.0
Asia,163.0,55.0
Asia,171.0,70.0
Asia,163.0,65.0
Asia,175.0,75.0
Asia,178.0,68.0
Asia,170.0,64.0
Asia,180.0,85.0
Asia,175.0,65.0
Asia,178.0,68.0
Asia,165.0,75.0
Asia,178.0,71.0
Asia,171.0,61.0
Asia,178.0,60.0
Asia,175.0,62.0
Asia,168.0,85.0
Asia,170.0,64.0
Asia,173.0,65.0
Asia,183.0,74.0
Asia,176.0,64.0
Asia,160.0,63.0
Asia,171.0,60.0
Asia,165.0,63.0
Asia,166.0,64.0
Asia,181.0,75.0
Asia,160.0,45.0
Asia,170.0,66.0
Asia,195.0,110.0
Asia,175.0,65.0
Asia,167.0,65.0
Asia,170.0,75.0
Asia,189.0,97.0
Asia,170.0,68.0
Asia,173.0,68.0
Asia,172.0,67.0
Asia,132.0,66.0
Asia,166.0,57.0
Asia,175.0,68.0
Asia,175.0,70.0
Asia,190.0,86.0
Asia,180.0,75.0
Asia,168.0,58.0
Asia,170.0,70.0
Asia,170.0,63.0
Asia,183.0,76.0
Asia,175.0,70.0
Asia,167.0,55.0
Asia,180.0,72.0
Asia,167.0,60.0
Asia,170.0,85.0
Asia,175.0,67.0
Asia,160.0,46.0
Asia,166.0,68.0
Asia,176.0,88.0
Asia,155.0,43.0
Asia,176.0,62.0
Asia,173.0,65.0
Asia,186.0,86.0
Asia,180.0,67.0
Asia,160.0,50.0
Asia,185.0,85.0
Asia,157.0,45.0
Asia,164.0,60.0
Asia,165.0,68.0
Asia,171.0,70.0
Asia,160.0,58.0
Asia,178.0,61.0
Asia,176.0,120.0
Asia,170.0,62.0
Asia,170.0,69.0
Asia,175.0,70.0
Asia,165.0,65.0
Asia,164.0,105.0
Asia,183.0,82.0
Asia,160.0,61.0
Asia,171.0,64.0
Asia,172.0,77.0
Asia,170.0,52.0
Asia,176.0,65.0
Asia,167.0,80.0
Asia,172.0,65.0
Asia,169.0,64.0
Asia,168.0,65.0
Asia,185.0,75.0
Asia,174.0,75.0
Asia,175.0,70.0
Asia,173.0,71.0
Asia,160.0,60.0
Asia,149.0,45.0
Asia,160.0,60.0
Asia,170.0,72.0
Asia,160.0,54.0
Asia,192.0,77.0
Asia,185.0,72.0
Asia,152.0,45.0
Asia,163.0,60.0
Asia,173.0,73.0
Asia,172.0,66.0
Asia,163.0,60.0
Asia,175.0,98.0
Asia,163.0,60.0
Asia,172.0,67.0
Asia,172.0,70.0
Asia,165.0,58.0
Asia,174.0,69.0
Asia,173.0,63.0
Asia,173.0,94.0
Asia,168.0,78.0
Asia,175.0,74.0
Asia,170.0,87.0
Asia,176.0,73.0
Asia,174.0,66.0
Asia,177.0,94.0
Asia,153.0,57.0
Asia,175.0,74.0
Asia,175.0,77.0
Asia,183.0,83.0
Asia,176.0,70.0
Asia,180.0,95.0
Asia,177.0,86.0
Asia,179.0,60.0
Asia,170.0,60.0
Asia,175.0,62.0
Asia,187.0,85.0
Asia,173.0,71.0
Asia,175.0,70.0
Asia,171.0,59.0
Asia,170.0,67.0
Asia,182.0,55.0
Asia,167.0,60.0
Asia,178.0,69.0
Asia,170.0,70.0
Asia,180.0,70.0
Asia,165.0,59.0
Asia,172.0,65.0
Asia,184.0,69.0
Asia,178.0,66.0
Asia,177.0,59.0
Asia,182.0,76.0
Asia,185.0,65.0
Asia,178.0,68.0
Asia,177.0,71.0
Asia,171.0,80.0
Asia,180.0,90.0
Asia,172.0,78.0
Asia,186.0,68.0
Asia,178.0,60.0
Asia,178.0,60.0
Asia,172.0,71.0
Asia,181.0,77.0
Asia,174.0,68.0
Asia,162.0,60.0
Asia,170.0,83.0
Asia,191.0,72.0
Asia,172.0,73.0
Asia,168.0,65.0
Asia,132.0,58.0
Asia,175.0,65.0
Asia,188.0,105.0
Asia,170.0,68.0
Asia,168.0,60.0
Asia,165.0,65.0
Asia,170.0,75.0
Asia,182.0,75.0
Asia,194.0,73.0
Asia,175.0,75.0
Asia,173.0,70.0
Asia,178.0,78.0
Asia,170.0,70.0
Asia,170.0,82.0
Asia,180.0,73.0
Asia,185.0,65.0
Asia,170.0,65.0
Asia,170.0,65.0
Asia,155.0,45.0
Asia,182.0,72.0
Asia,186.0,100.0
Asia,195.0,102.5
Asia,180.0,113.0
Asia,178.0,68.0
Asia,168.0,55.0
Asia,170.0,62.0
Asia,172.0,70.0
Asia,170.0,80.0
Asia,168.0,63.0
Asia,172.0,73.0
Asia,174.0,70.0
Asia,170.0,67.0
Asia,160.0,52.0
Asia,158.0,50.0
Asia,170.0,68.0
Asia,175.0,72.0
Asia,172.0,62.0
Asia,183.0,91.0
Asia,168.0,57.0
Asia,160.0,56.0
Asia,189.0,93.0
Asia,185.0,75.0
Asia,172.0,100.0
Asia,176.0,95.0
Asia,186.0,87.0
Asia,190.0,98.0
Asia,170.0,77.0
Asia,180.0,150.0
Asia,169.0,60.0
Asia,183.0,80.0
Asia,186.0,93.0
Asia,154.0,47.0
Asia,190.0,110.0
Asia,176.0,75.0
Asia,167.0,68.0
Asia,182.0,78.0
Asia,175.0,80.0
Asia,171.0,72.0
Asia,170.0,58.0
Asia,190.0,81.0
Asia,170.0,61.0
Asia,175.0,72.0
Asia,170.0,57.0
Asia,168.0,63.0
Asia,183.0,80.0
Asia,160.0,56.0
Asia,150.0,48.0
Asia,176.0,69.0
Asia,153.0,52.0
Asia,169.0,60.0
Asia,165.0,61.0
Asia,170.0,60.0
Asia,180.0,64.0
Asia,185.0,71.0
Asia,163.0,54.0
Asia,180.0,75.0
Asia,178.0,75.0
Asia,182.0,75.0
Asia,158.0,48.0
Asia,175.0,73.0
Asia,168.0,62.0
Asia,187.0,88.0
Asia,182.0,75.0
Asia,185.0,72.0
Asia,173.0,67.0
Asia,170.0,63.0
Asia,173.0,84.0
Asia,167.0,57.0
Asia,185.0,57.0
Asia,172.0,68.0
Asia,180.0,60.0
Asia,190.0,60.0
Asia,175.0,60.0
Asia,171.0,52.0
Asia,176.0,76.0
Asia,178.0,78.0
Asia,183.0,85.0
Asia,175.0,69.0
Asia,173.0,67.0
Asia,173.0,55.0
Asia,180.0,105.0
Asia,159.0,73.0
Asia,186.0,90.0
Asia,171.0,69.0
Asia,177.0,75.0
Asia,169.0,69.0
Asia,158.0,56.0
Asia,168.0,53.0
Asia,168.0,57.0
Asia,178.0,74.0
Asia,171.0,63.0
Asia,162.0,42.0
Asia,190.0,85.0
Asia,161.0,53.0
Asia,174.0,62.0
Asia,168.0,62.0
Asia,170.0,70.0
Asia,148.0,43.0
Asia,193.0,70.0
Asia,175.0,64.0
Asia,170.0,68.0
Asia,152.0,46.0
Asia,185.0,68.0
Asia,170.0,64.0
Asia,177.0,68.0
Asia,165.0,69.0
Asia,180.0,85.0
Asia,190.0,83.0
Asia,190.0,94.0
Asia,168.0,64.0
Asia,170.0,62.0
Asia,166.0,85.0
Asia,164.0,60.0
Asia,175.0,68.0
Asia,162.0,47.0
Asia,167.0,58.0
Asia,164.0,56.0
Asia,173.0,70.0
Asia,165.0,60.0
Asia,158.0,55.0
Asia,185.0,77.0
Asia,193.0,75.0
Asia,169.0,66.0
Asia,172.0,78.0
Asia,178.0,64.0
Asia,186.0,95.0
Asia,170.0,73.0
Asia,163.0,57.0
Asia,166.0,67.0
Asia,183.0,75.0
Asia,173.0,58.0
Asia,174.0,74.0
Asia,169.0,59.0
Asia,159.0,48.0
Asia,163.0,62.0
Asia,165.0,57.0
Asia,188.0,100.0
Asia,168.0,54.0
Asia,183.0,74.0
Asia,161.0,63.0
Asia,162.0,57.0
Asia,174.0,72.0
Asia,162.0,62.0
Asia,163.0,52.0
Asia,185.0,83.0
Asia,183.0,79.0
Asia,160.0,52.0
Asia,155.0,48.0
Asia,168.0,57.0
Asia,168.0,69.0
Asia,175.0,62.0
Asia,161.0,46.0
Asia,160.0,65.0
Asia,178.0,74.0
Asia,183.0,93.0
Asia,170.0,65.0
Asia,178.0,72.0
Asia,174.0,70.0
Asia,188.0,138.0
Asia,173.0,70.0
Asia,170.0,65.0
Asia,165.0,66.0
Asia,187.0,100.0
Asia,173.0,65.0
Asia,165.0,67.0
Asia,183.0,97.0
Asia,170.0,60.0
Asia,154.0,59.0
Asia,164.0,57.0
Asia,188.0,105.0
Asia,162.0,50.0
Asia,155.0,58.0
Asia,163.0,60.0
Asia,178.0,74.0
Asia,175.0,68.0
Asia,183.0,89.0
Asia,175.0,64.0
Asia,189.0,76.0
Asia,162.0,55.0
Asia,198.0,93.0
Asia,196.0,94.0
Asia,181.0,58.0
Asia,179.0,72.0
Asia,178.0,74.0
Asia,158.0,60.0
Asia,175.0,70.0
Asia,164.0,52.0
Asia,180.0,55.0
Asia,180.0,75.0
Asia,165.0,63.0
Asia,178.0,78.0
Asia,170.0,60.0
Asia,169.0,67.0
Asia,172.0,68.0
Asia,169.0,60.0
Asia,162.0,76.0
Asia,180.0,78.0
Asia,192.0,105.0
Asia,168.0,59.0
Asia,182.0,92.0
Asia,187.0,92.0
Asia,167.0,60.0
Asia,197.0,104.0
Asia,171.0,75.0
Asia,195.0,105.0
Asia,183.0,74.0
Asia,170.0,71.0
Asia,170.0,55.0
Asia,173.0,71.0
Asia,181.0,90.0
Asia,168.0,51.0
Asia,172.0,60.0
Asia,167.0,66.0
Asia,173.0,59.0
Asia,158.0,54.0
Asia,158.0,52.0
Asia,165.0,60.0
Asia,168.0,60.0
Asia,164.0,63.0
Asia,175.0,80.0
Asia,162.0,50.0
Asia,164.0,55.0
Asia,180.0,80.0
Asia,166.0,60.0
Asia,181.0,73.0
Asia,178.0,73.0
Asia,175.0,69.0
Asia,152.0,42.0
Asia,187.0,71.0
Asia,167.0,65.0
Asia,184.0,120.0
Asia,172.0,104.0
Asia,170.0,71.0
Asia,178.0,72.0
Asia,170.0,77.0
Asia,173.0,63.0
Asia,165.0,57.0
Asia,155.0,48.0
Asia,169.0,62.0
Asia,180.0,62.0
Asia,154.0,45.0
Asia,164.0,64.0
Asia,183.0,96.0
Asia,171.0,67.0
Asia,168.0,65.0
