Country,Median_Age_2022,Total_Population_2022,CAF_2018,CAF_2019,CAF_2021,CAF_2022
China,38,1439323776,17,16,28,42
India,28,1380004385,22,26,44,40
Indonesia,30,273523615,59,50,69,68
Pakistan,23,220892340,28,29,25,29
Brazil,33,212559417,23,28,35,47
Nigeria,18,206139589,48,42,52,48
Russian Federation,40,145934462,25,21,33,46
Mexico,29,128932753,24,28,32,44
Japan,48,126476461,22,23,12,20
Philippines,26,109581078,28,39,33,47
Egypt,25,102334404,26,23,33,23
Iran (Islamic Republic of),32,83992949,45,41,39,43
Germany,46,83783942,46,43,30,41
Thailand,40,69799978,34,42,46,48
United Kingdom of Great Britain and Northern Ireland,40,67886011,55,54,41,47
France,42,65273511,32,30,25,32
Italy,47,60461826,33,33,22,29
South Africa,28,59308690,41,36,41,35
Myanmar,29,54409800,54,58,51,52
Kenya,20,53771296,54,47,58,61
Colombia,31,50882891,29,35,35,42
Spain,45,46754778,36,32,27,32
Uganda,17,45741007,39,38,46,46
Argentina,32,45195774,28,28,32,47
Ukraine,41,43733762,29,24,43,49
Iraq,21,40222493,43,34,39,37
Poland,42,37846611,24,25,38,47
Canada,41,37742154,49,55,38,51
Morocco,30,36910560,26,26,23,31
Saudi Arabia,32,34813871,37,34,35,36
Uzbekistan,28,33469203,36,41,40,38
Peru,31,32971854,27,28,34,39
Ghana,22,31072940,42,38,47,43
Nepal,25,29136808,37,33,40,40
Venezuela (Bolivarian Republic of),30,28435940,26,23,35,45
Cameroon,19,26545863,34,33,43,37
Australia,38,25499884,59,56,49,55
Sri Lanka,34,21413249,45,51,34,44
Mali,16,20250833,28,24,31,38
Romania,43,19237691,27,24,28,30
Chile,35,19116201,34,37,39,38
Kazakhstan,31,18776707,28,26,28,34
Zambia,18,18383955,46,39,43,50
Ecuador,28,17643054,24,24,29,42
Netherlands,43,17134872,51,53,37,46
Senegal,19,16743927,28,28,35,40
Cambodia,26,16718965,18,24,28,19
Zimbabwe,19,14862924,30,29,37,31
Benin,19,12123200,26,23,29,32
Tunisia,33,11818619,20,24,29,28
Bolivia (Plurinational State of),26,11673021,28,31,35,43
Dominican Republic,28,10847910,39,39,39,44
Czechia,43,10708981,22,22,30,48
Greece,46,10423054,17,16,26,32
Jordan,24,10203134,30,25,26,32
Portugal,46,10196709,28,25,20,26
Sweden,41,10099265,41,40,34,42
United Arab Emirates,33,9890402,51,45,44,47
Hungary,43,9660351,23,23,31,40
Tajikistan,22,9537645,42,36,45,39
Austria,43,9006398,44,45,34,45
Serbia,42,8737371,21,19,35,46
Israel,30,8655535,42,39,28,37
Switzerland,43,8654622,45,45,28,37
Paraguay,26,7132538,34,32,41,44
Bulgaria,45,6948445,22,19,37,41
Lebanon,30,6825445,28,30,24,24
Nicaragua,26,6624554,33,30,37,40
Kyrgyzstan,26,6524195,36,33,38,44
El Salvador,28,6486205,22,25,31,36
Denmark,42,5792202,46,44,37,46
Finland,43,5540720,40,41,31,37
Slovakia,41,5459642,28,25,32,41
Costa Rica,33,5094118,34,38,30,44
Ireland,38,4937786,56,56,40,49
New Zealand,38,4822233,58,57,47,54
Croatia,44,4105267,20,21,30,37
Georgia,38,3989167,24,21,40,31
Uruguay,36,3473730,30,30,32,40
Mongolia,28,3278290,39,38,44,46
Albania,36,2877797,26,23,33,34
Lithuania,45,2722289,19,19,28,37
Gabon,23,2225734,24,27,26,34
Slovenia,45,2078938,39,38,28,39
Latvia,44,1886198,19,22,25,29
Estonia,42,1326535,26,25,30,40
Cyprus,37,1207359,43,41,32,40
Malta,43,441543,47,47,31,45
