rowid,Season,Team,Jersey Number,Full Name,First Name,Last Name,Year,Position,Games Played,Games Started,Goals,Assists,Points,Shots,Shooting Percentage,Shots on Goal,Shots on Goal Percentage,Game Winning Goals,Powerplay Goals,Penalty Kill Goals,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,Faceoff Percentage,pen,Penalties,Goalie Games Played,Goalie Games Started,Goalie Minutes,Goals Allowed,GAA,Saves,Save Percentage,otg,NCAA id
1,2023,Air Force Falcons,56,Wes Peene,Wes,Peene,So,M,17,16,19,9,28,58,0.328,31,0.534,1,1,0,13,16,1,0,0,0.0,2,60,0,0,,0,0.0,0,0.0,0,2663465
2,2023,Air Force Falcons,25,James Chastain,James,Chastain,Jr,D,17,17,0,0,0,6,0.0,1,0.167,0,0,0,21,7,13,0,0,0.0,4,240,0,0,,0,0.0,0,0.0,0,2473183
3,2023,Air Force Falcons,40,Ethan Grandolfo,Ethan,Grandolfo,Sr,ATT,17,15,33,11,44,95,0.347,58,0.611,2,5,0,18,18,6,0,0,0.0,2,60,0,0,,0,0.0,0,0.0,0,2319161
4,2023,Air Force Falcons,33,Jason Rose,Jason,Rose,Sr,GK,17,17,0,0,0,2,0.0,2,1.0,0,0,0,47,12,18,0,0,0.0,1,30,17,17,928:44,156,10.078,182,0.538,0,2319159
5,2023,Air Force Falcons,24,Gavin Peene,Gavin,Peene,Sr,M,17,12,15,4,19,40,0.375,27,0.675,0,0,0,7,9,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2319155
6,2023,Air Force Falcons,44,Daniel Enoch,Daniel,Enoch,So,D,17,16,0,1,1,0,0.0,0,0.0,0,0,0,17,5,7,0,0,0.0,7,330,0,0,,0,0.0,0,0.0,0,2663460
7,2023,Air Force Falcons,5,Aidan Tolen,Aidan,Tolen,Jr,M,16,12,26,7,33,64,0.406,38,0.594,0,2,0,16,20,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2473179
8,2023,Air Force Falcons,12,Tommy Hellman,Tommy,Hellman,Sr,M,16,1,4,0,4,12,0.333,8,0.667,0,1,0,36,14,9,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2319136
9,2023,Air Force Falcons,45,Brandon Dodd,Brandon,Dodd,Sr,ATT,16,16,41,34,75,126,0.325,75,0.595,2,2,0,21,36,6,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2319163
10,2023,Air Force Falcons,14,Luke Vrsansky,Luke,Vrsansky,Fr,M,16,0,8,3,11,27,0.296,15,0.556,0,0,0,5,7,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810581
11,2023,Air Force Falcons,15,Sam Ewing,Sam,Ewing,Jr,D,15,0,0,2,2,3,0.0,1,0.333,0,0,0,17,5,6,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2473181
12,2023,Air Force Falcons,10,Josh Yago,Josh,Yago,So,ATT,15,9,18,12,30,80,0.225,37,0.462,2,0,0,16,24,4,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2663449
13,2023,Air Force Falcons,26,Quinn Richards,Quinn,Richards,Jr,GK,14,0,0,0,0,0,0.0,0,0.0,0,0,0,3,1,1,0,1,0.0,0,0,12,0,85:24,11,7.728,17,0.607,0,2473189
14,2023,Air Force Falcons,16,Jake Knapp,Jake,Knapp,So,FO,14,0,1,1,2,4,0.25,3,0.75,0,0,0,30,3,1,61,147,0.415,1,60,0,0,,0,0.0,0,0.0,0,2663459
15,2023,Air Force Falcons,17,Chris Bardak,Chris,Bardak,Jr,D,14,2,1,4,5,11,0.091,5,0.455,1,0,0,44,2,22,17,37,0.459,10,420,0,0,,0,0.0,0,0.0,0,2473182
16,2023,Air Force Falcons,27,Mitchell Gruenewald,Mitchell,Gruenewald,Sr,D,14,4,1,0,1,3,0.333,2,0.667,0,0,0,24,4,5,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2319156
17,2023,Air Force Falcons,42,Hunter Panzik,Hunter,Panzik,Fr,M,14,0,3,1,4,9,0.333,4,0.444,0,0,0,3,6,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2810589
18,2023,Air Force Falcons,29,Braden Gaab,Braden,Gaab,Jr,FO,13,0,1,0,1,3,0.333,1,0.333,0,0,0,17,3,0,39,105,0.371,1,30,0,0,,0,0.0,0,0.0,0,2473184
19,2023,Air Force Falcons,1,Caelen Driggs,Caelen,Driggs,Fr,ATT,13,8,4,2,6,33,0.121,19,0.576,0,1,0,5,7,4,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2810577
20,2023,Air Force Falcons,34,Matt Rosato,Matt,Rosato,Fr,D,13,8,0,0,0,0,0.0,0,0.0,0,0,0,6,3,5,0,0,0.0,7,390,0,0,,0,0.0,0,0.0,0,2810585
21,2023,Air Force Falcons,11,Dylan Frankhouser,Dylan,Frankhouser,Sr,FO,12,1,0,0,0,0,0.0,0,0.0,0,0,0,10,2,0,25,82,0.305,0,0,0,0,,0,0.0,0,0.0,0,2319154
22,2023,Air Force Falcons,30,Blake Boyd,Blake,Boyd,Fr,FO,12,0,0,0,0,1,0.0,0,0.0,0,0,0,7,1,4,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810584
23,2023,Air Force Falcons,0,Shad Bruce,Shad,Bruce,Sr,SSDM,12,0,7,3,10,11,0.636,8,0.727,0,1,0,15,2,5,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2319132
24,2023,Air Force Falcons,6,Matt Rubino,Matt,Rubino,So,ATT,11,6,10,1,11,31,0.323,18,0.581,2,2,0,7,7,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2663464
25,2023,Air Force Falcons,4,Cooper Rich,Cooper,Rich,Jr,M,10,0,2,3,5,13,0.154,6,0.462,0,0,0,5,3,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2473188
26,2023,Air Force Falcons,8,Alexander Stepney,Alexander,Stepney,So,M,9,2,1,1,2,10,0.1,4,0.4,0,1,0,3,4,1,1,1,1.0,1,30,0,0,,0,0.0,0,0.0,0,2663450
27,2023,Air Force Falcons,28,Cole Cunningham,Cole,Cunningham,Fr,D,9,0,0,0,0,0,0.0,0,0.0,0,0,0,5,1,2,0,1,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810544
28,2023,Air Force Falcons,13,Cole Rassas,Cole,Rassas,Fr,M,8,0,1,0,1,5,0.2,2,0.4,0,0,0,1,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810579
29,2023,Air Force Falcons,32,Maxwell Kane,Maxwell,Kane,Sr,M,8,2,1,2,3,8,0.125,5,0.625,0,0,0,5,3,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2319138
30,2023,Air Force Falcons,21,Cody Gross,Cody,Gross,So,D,8,5,0,0,0,0,0.0,0,0.0,0,0,0,11,2,4,0,0,0.0,2,60,0,0,,0,0.0,0,0.0,0,2663461
31,2023,Air Force Falcons,36,Daniel Haimes,Daniel,Haimes,So,FO,7,0,0,1,1,0,0.0,0,0.0,0,0,0,11,2,2,23,54,0.426,1,30,0,0,,0,0.0,0,0.0,0,2663455
32,2023,Air Force Falcons,9,Josh Tauss,Josh,Tauss,Sr,M,7,0,5,0,5,11,0.455,7,0.636,0,0,0,3,3,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2518908
33,2023,Air Force Falcons,31,Kyle Griffith,Kyle,Griffith,So,ATT,6,1,2,1,3,5,0.4,3,0.6,1,1,0,3,3,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2663453
34,2023,Air Force Falcons,41,Connor Albertson,Connor,Albertson,Fr,D,6,0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810588
35,2023,Air Force Falcons,18,Ethan Howell,Ethan,Howell,So,ATT,6,0,2,1,3,6,0.333,3,0.5,0,0,0,1,3,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2663463
36,2023,Air Force Falcons,20,Joey Matheson,Joey,Matheson,Sr,M,4,0,0,0,0,3,0.0,1,0.333,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2319166
37,2023,Air Force Falcons,22,Ollie Lovell,Ollie,Lovell,So,SSDM,4,0,0,0,0,1,0.0,1,1.0,0,0,0,1,0,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2663452
