Team,Points per Game,Expected Goal Difference per Game,Country
Real Madrid,2.82,1.14,La Liga (Spain)
Paris S-G,2.67,1.66,Ligue 1 (France)
Napoli,2.64,1.19,Serie A (Italy)
Barcelona,2.55,1.64,La Liga (Spain)
Arsenal,2.55,0.82,Premier League (England)
Manchester City,2.36,1.53,Premier League (England)
Milan,2.36,0.78,Serie A (Italy)
Lens,2.25,0.67,Ligue 1 (France)
Lorient,2.25,-0.05,Ligue 1 (France)
Lazio,2.18,0.1,Serie A (Italy)
Atalanta,2.18,0.58,Serie A (Italy)
Union Berlin,2.09,0.06,Bundesliga (Germany)
Atlético Madrid,2.09,0.19,La Liga (Spain)
Bayern Munich,2.0,1.4,Bundesliga (Germany)
Rennes,2.0,0.79,Ligue 1 (France)
Real Sociedad,2.0,0.42,La Liga (Spain)
Roma,2.0,1.13,Serie A (Italy)
Marseille,1.92,0.41,Ligue 1 (France)
Tottenham,1.92,0.43,Premier League (England)
Udinese,1.91,0.31,Serie A (Italy)
Chelsea,1.91,0.14,Premier League (England)
Inter,1.91,0.8,Serie A (Italy)
Freiburg,1.91,0.34,Bundesliga (Germany)
Lille,1.83,0.54,Ligue 1 (France)
Betis,1.82,0.13,La Liga (Spain)
Eint Frankfurt,1.82,0.4,Bundesliga (Germany)
Manchester Utd,1.82,0.04,Premier League (England)
Newcastle Utd,1.75,0.6,Premier League (England)
Monaco,1.75,-0.22,Ligue 1 (France)
Juventus,1.73,0.37,Serie A (Italy)
Dortmund,1.73,0.52,Bundesliga (Germany)
Athletic Club,1.64,0.77,La Liga (Spain)
Villarreal,1.64,0.52,La Liga (Spain)
Mainz 05,1.64,-0.13,Bundesliga (Germany)
Hoffenheim,1.55,0.42,Bundesliga (Germany)
Osasuna,1.55,0.14,La Liga (Spain)
Fulham,1.5,-0.57,Premier League (England)
Liverpool,1.45,0.45,Premier League (England)
RB Leipzig,1.45,0.67,Bundesliga (Germany)
M'Gladbach,1.45,0.26,Bundesliga (Germany)
Köln,1.45,0.17,Bundesliga (Germany)
Lyon,1.42,0.39,Ligue 1 (France)
Clermont Foot,1.42,-0.9,Ligue 1 (France)
Valencia,1.36,0.43,La Liga (Spain)
Werder Bremen,1.36,-0.13,Bundesliga (Germany)
Rayo Vallecano,1.36,0.06,La Liga (Spain)
Brighton,1.36,0.23,Premier League (England)
Toulouse,1.33,-0.14,Ligue 1 (France)
Torino,1.27,0.02,Serie A (Italy)
Valladolid,1.27,-0.56,La Liga (Spain)
Augsburg,1.27,-1.02,Bundesliga (Germany)
Sassuolo,1.2,0.07,Serie A (Italy)
Salernitana,1.18,-0.51,Serie A (Italy)
Crystal Palace,1.18,-0.39,Premier League (England)
Bournemouth,1.18,-0.93,Premier League (England)
Brentford,1.17,0.01,Premier League (England)
Mallorca,1.09,-0.11,La Liga (Spain)
Everton,1.08,-0.55,Premier League (England)
Troyes,1.08,-0.25,Ligue 1 (France)
Nice,1.08,0.25,Ligue 1 (France)
Montpellier,1.0,-0.49,Ligue 1 (France)
Hertha BSC,1.0,-0.45,Bundesliga (Germany)
West Ham,1.0,0.22,Premier League (England)
Aston Villa,1.0,-0.18,Premier League (England)
Empoli,1.0,-0.59,Serie A (Italy)
Wolfsburg,1.0,-0.41,Bundesliga (Germany)
Reims,1.0,-0.16,Ligue 1 (France)
Southampton,1.0,-0.38,Premier League (England)
Celta Vigo,1.0,-0.27,La Liga (Spain)
Leicester City,0.92,-0.36,Premier League (England)
Nantes,0.92,-0.35,Ligue 1 (France)
Fiorentina,0.91,0.09,Serie A (Italy)
Bologna,0.91,-0.4,Serie A (Italy)
Espanyol,0.91,0.0,La Liga (Spain)
Almería,0.91,-0.54,La Liga (Spain)
Sevilla,0.91,-0.78,La Liga (Spain)
Monza,0.91,-0.46,Serie A (Italy)
Getafe,0.9,-0.31,La Liga (Spain)
Girona,0.82,-0.08,La Liga (Spain)
Leeds United,0.82,0.12,Premier League (England)
Leverkusen,0.82,-0.15,Bundesliga (Germany)
Spezia,0.82,-1.02,Serie A (Italy)
Strasbourg,0.75,-0.55,Ligue 1 (France)
Brest,0.75,-0.48,Ligue 1 (France)
Auxerre,0.75,-0.75,Ligue 1 (France)
Wolves,0.75,-0.25,Premier League (England)
Nott'ham Forest,0.75,-0.79,Premier League (England)
Lecce,0.73,-0.47,Serie A (Italy)
Stuttgart,0.73,-0.23,Bundesliga (Germany)
Ajaccio,0.67,-0.3,Ligue 1 (France)
Angers,0.67,-0.18,Ligue 1 (France)
Cádiz,0.64,-1.16,La Liga (Spain)
Bochum,0.64,-1.29,Bundesliga (Germany)
Schalke 04,0.55,-0.5,Bundesliga (Germany)
Hellas Verona,0.5,-0.47,Serie A (Italy)
Cremonese,0.4,-1.1,Serie A (Italy)
Elche,0.36,-1.63,La Liga (Spain)
Sampdoria,0.3,-0.67,Serie A (Italy)
