Unnamed: 0,Country ,Thousand tonnes of CO2e,Tonnes of CO2e per head
0,Luxembourg,9938.80145,19.41778964
1,Denmark,80444.71352,14.46683963
2,Ireland,64658.19722,14.14567503
3,Netherlands,179423.9076,10.77245874
4,Belgium,110307.4271,10.02736633
5,Germany,794997.0409,9.559077561
6,Finland,50877.78695,9.465148757
7,Greece,87440.92872,7.860994984
8,Austria,67800.63602,8.095439805
9,United Kingdom,478310.0,7.589507829
10,Italy,393307.951,6.62528434
11,France,405954.3005,6.247496015
12,Portugal,61679.72958,5.833855786
13,Spain,274574.6544,5.88367863
14,Sweden,49721.2462,5.280747337
