taxon,sample_id,abundance,growth_rate
Acidaminococcus,Cancer3,0.0017818959,0.0025416172
Actinomyces,Cancer3,0.0014255167,0.0020329356
Akkermansia,Cancer3,0.0445473984,0.0635285957
Alistipes,Cancer3,0.0165716322,0.0236325086
Anaerostipes,Cancer3,0.0297576622,0.0424366097
Bacteroides,Cancer3,0.0833927299,0.1189241132
Barnesiella,Cancer3,0.0007127584,0.0098897861
Bifidobacterium,Cancer3,0.0197790449,0.0282062882
Blautia,Cancer3,0.3749109052,0.5346443022
Butyricicoccus,Cancer3,0.0074839629,0.0125645711
Collinsella,Cancer3,0.0441910192,0.0630194104
Dorea,Cancer3,0.0286885246,0.0409118848
Erysipelatoclostridium,Cancer3,0.0007127584,0.0010166517
Faecalibacterium,Cancer3,0.0924803991,0.1318830598
Faecalitalea,Cancer3,0.000890948,0.0053170079
Fusobacterium,Cancer3,0.0016037063,0.002287854
Haemophilus,Cancer3,0.0003563792,0.0005083797
Holdemanella,Cancer3,0.0258374911,0.0368468899
Lachnoclostridium,Cancer3,0.0044547398,0.0063530734
Lachnospira,Cancer3,0.0010691376,0.0047883595
Lactobacillus,Cancer3,0.0005345688,0.0007626709
Marvinbryantia,Cancer3,0.0163934426,0.0233799568
Megamonas,Cancer3,0.0073057733,0.0104186735
Megasphaera,Cancer3,0.0299358517,0.0430836791
Mogibacterium,Cancer3,0.0024946543,0.0073030026
Parabacteroides,Cancer3,0.0108695652,0.0155008869
Paraprevotella,Cancer3,0.0406272274,0.0579374745
Phascolarctobacterium,Cancer3,0.0121168924,0.0173429903
Pseudomonas,Cancer3,0.0007127584,0.0010166952
Roseburia,Cancer3,0.0784034212,0.1118082566
Streptococcus,Cancer3,0.0039201711,0.0055904644
Subdoligranulum,Cancer3,0.0153243051,0.0218548097
Sutterella,Cancer3,0.0007127584,0.0010172043
Acidaminococcus,Cancer4,0.0044296788,0.0078965551
Actinomyces,Cancer4,0.0019933555,0.0035782212
Akkermansia,Cancer4,0.0006644518,0.0093825054
Alistipes,Cancer4,0.0529346622,0.0934608136
Anaerostipes,Cancer4,0.0564784053,0.0989484146
Bacteroides,Cancer4,0.0637873754,0.1113506111
Bifidobacterium,Cancer4,0.0228128461,0.0403053815
Bilophila,Cancer4,0.0004429679,0.0054841597
Blautia,Cancer4,0.3105204873,0.5389788703
Butyricicoccus,Cancer4,0.007751938,0.015680867
Collinsella,Cancer4,0.1091915836,0.1895601331
Desulfovibrio,Cancer4,0.0031007752,0.0054829773
Dorea,Cancer4,0.007751938,0.0137639082
Erysipelatoclostridium,Cancer4,0.0057585825,0.0102220351
Eubacterium,Cancer4,0.0008859358,0.0015831123
Faecalibacterium,Cancer4,0.0101882614,0.018072231
Faecalitalea,Cancer4,0.0046511628,0.0123282142
Flavonifractor,Cancer4,0.0022148394,0.0082677317
Intestinibacter,Cancer4,0.011517165,0.0199998044
Lachnoclostridium,Cancer4,0.0084163898,0.0149155176
Lachnospira,Cancer4,0.003765227,0.01085179
Marvinbryantia,Cancer4,0.0044296788,0.0084519325
Methanobrevibacter,Cancer4,0.0939091916,0.1644809826
Odoribacter,Cancer4,0.0017718715,0.0031825628
Parabacteroides,Cancer4,0.0241417497,0.0425707052
Phascolarctobacterium,Cancer4,0.0042081949,0.0094424186
Roseburia,Cancer4,0.1045404208,0.1814530202
Slackia,Cancer4,0.0188261351,0.033384319
Streptococcus,Cancer4,0.0035437431,0.0062739401
Subdoligranulum,Cancer4,0.019047619,0.0332446232
Terrisporobacter,Cancer4,0.0323366556,0.0560106252
Tyzzerella,Cancer4,0.0033222591,0.0094177689
Veillonella,Cancer4,0.0006644518,0.0011850674
Acinetobacter,Cancer1,0.0022417336,0.0017033358
Actinomyces,Cancer1,0.0020549225,0.0015585561
Akkermansia,Cancer1,0.0453951055,0.0370387872
Alistipes,Cancer1,0.0483840837,0.0367001819
Anaerostipes,Cancer1,0.0155053241,0.0117604353
Atopobium,Cancer1,0.0007472445,0.0005677409
Bacillus,Cancer1,0.0016813002,0.0012757386
Bacteroides,Cancer1,0.5538950121,0.4200672325
Bifidobacterium,Cancer1,0.0147580796,0.0111934674
Bilophila,Cancer1,0.0005604334,0.0033865426
Blautia,Cancer1,0.0863067439,0.0654568123
Butyricicoccus,Cancer1,0.0057911452,0.0069667156
Butyricimonas,Cancer1,0.0020549225,0.0015589479
Collinsella,Cancer1,0.0041098449,0.0031204612
Desulfovibrio,Cancer1,0.002802167,0.0021327327
Dorea,Cancer1,0.0147580796,0.0111976157
Enterococcus,Cancer1,0.0016813002,0.0012771511
Erysipelatoclostridium,Cancer1,0.0005604334,0.0004255786
Faecalibacterium,Cancer1,0.0145712684,0.011052761
Gemella,Cancer1,0.0003736223,0.0002835236
Haemophilus,Cancer1,0.005604334,0.0042522058
Lachnoclostridium,Cancer1,0.0033626004,0.0025521751
Lachnospira,Cancer1,0.0039230338,0.0048938423
Listeria,Cancer1,0.0018681113,0.0014237825
Mogibacterium,Cancer1,0.0003736223,0.0048337918
Neisseria,Cancer1,0.0033626004,0.002553745
Odoribacter,Cancer1,0.0076592565,0.0058113373
Parabacteroides,Cancer1,0.0110218569,0.0083598919
Parasutterella,Cancer1,0.0037362227,0.0085518082
Phascolarctobacterium,Cancer1,0.0495049505,0.0375480552
Pseudomonas,Cancer1,0.0014944891,0.0011373499
Roseburia,Cancer1,0.0254063142,0.0192676237
Staphylococcus,Cancer1,0.0042966561,0.0032586055
Streptococcus,Cancer1,0.0127031571,0.0096336257
Subdoligranulum,Cancer1,0.0351204932,0.0266362662
Veillonella,Cancer1,0.0123295348,0.0093507732
Acinetobacter,Cancer2,0.0011189855,0.0041647441
Actinomyces,Cancer2,0.0018649758,0.0060773903
Alistipes,Cancer2,0.0341290563,0.0889147437
Anaerostipes,Cancer2,0.0143603133,0.0246953928
Bacteroides,Cancer2,0.1850055949,0.4671373018
Bilophila,Cancer2,0.0003729952,0.0027709769
Blautia,Cancer2,0.1441626259,0.189620257
Butyricicoccus,Cancer2,0.0041029467,0.0068446642
Collinsella,Cancer2,0.0091383812,0.0170658325
Dorea,Cancer2,0.0296531145,0.0380162813
Enterococcus,Cancer2,0.001305483,0.0034849614
Erysipelatoclostridium,Cancer2,0.0003729952,0.0011578572
Faecalibacterium,Cancer2,0.0885863484,0.1109258495
Haemophilus,Cancer2,0.0236851921,0.0621613622
Lachnoclostridium,Cancer2,0.0054084297,0.0133157439
Lachnospira,Cancer2,0.0035434539,0.0061428924
Lactobacillus,Cancer2,0.0005594927,0.0011947225
Listeria,Cancer2,0.0011189855,0.0033218444
Methanobrevibacter,Cancer2,0.2185751585,0.4405712777
Neisseria,Cancer2,0.0014919806,0.0051034622
Odoribacter,Cancer2,0.0078328982,0.0243019825
Parabacteroides,Cancer2,0.0281611339,0.0568285889
Phascolarctobacterium,Cancer2,0.00615442,0.0093454187
Porphyromonas,Cancer2,0.0186497576,0.0493122652
Pseudomonas,Cancer2,0.0007459903,0.0028191823
Roseburia,Cancer2,0.019768743,0.0289523073
Staphylococcus,Cancer2,0.0039164491,0.0063345899
Streptococcus,Cancer2,0.0417754569,0.0498171607
Subdoligranulum,Cancer2,0.102387169,0.143000671
Veillonella,Cancer2,0.0020514733,0.0060507385
Akkermansia,Cancer7,0.0025272469,0.007434662
Alistipes,Cancer7,0.0006318117,0.0002633092
Anaerostipes,Cancer7,0.0159532459,0.0066485561
Bacteroides,Cancer7,0.0407518559,0.0169834404
Bifidobacterium,Cancer7,0.0107407992,0.0044762556
Bilophila,Cancer7,0.0036329174,0.0044272732
Blautia,Cancer7,0.1018796399,0.042458601
Butyricicoccus,Cancer7,0.0026851998,0.0055697978
Collinsella,Cancer7,0.0364871268,0.0152061036
Dorea,Cancer7,0.0042647291,0.0017773368
Erysipelatoclostridium,Cancer7,0.0006318117,0.0002633092
Faecalitalea,Cancer7,0.002211341,0.0068515342
Fusobacterium,Cancer7,0.7262675723,0.3026738716
Lachnoclostridium,Cancer7,0.0104248934,0.004344601
Parabacteroides,Cancer7,0.0041067762,0.0017115095
Pseudomonas,Cancer7,0.0003159059,0.0001316546
Streptococcus,Cancer7,0.0342757858,0.0142845216
Tyzzerella,Cancer7,0.002211341,0.004152241
Akkermansia,Cancer5,0.0050964187,0.0116780349
Alistipes,Cancer5,0.032231405,0.0484227159
Anaerostipes,Cancer5,0.0341597796,0.051319802
Bacteroides,Cancer5,0.3092286501,0.4645683615
Bifidobacterium,Cancer5,0.0304407713,0.0457325648
Bilophila,Cancer5,0.0038567493,0.0090381026
Blautia,Cancer5,0.1611570248,0.2421135782
Butyricimonas,Cancer5,0.0008264463,0.0012416086
Collinsella,Cancer5,0.0243801653,0.0366274387
Desulfovibrio,Cancer5,0.0097796143,0.0146923624
Faecalibacterium,Cancer5,0.050137741,0.0753242243
Flavonifractor,Cancer5,0.0008264463,0.0069809757
Gemella,Cancer5,0.0002754821,0.0004138693
Holdemania,Cancer5,0.0005509642,0.0036168583
Lachnoclostridium,Cancer5,0.002892562,0.0043456287
Odoribacter,Cancer5,0.0005509642,0.000827739
Parabacteroides,Cancer5,0.0527548209,0.0792559833
Paraprevotella,Cancer5,0.1534435262,0.2305252362
Parasutterella,Cancer5,0.0009641873,0.0077483984
Phascolarctobacterium,Cancer5,0.094077135,0.141336388
Roseburia,Cancer5,0.0269972452,0.0405591978
Slackia,Cancer5,0.0023415978,0.0035178898
Sutterella,Cancer5,0.003030303,0.004552563
Akkermansia,Cancer6,0.2215592681,1.0891239298
Acidaminococcus,Cancer8,0.0051001821,0.0116843762
Actinomyces,Cancer8,0.0016393443,0.0037556923
Akkermansia,Cancer8,0.0036429872,0.0144372744
Alistipes,Cancer8,0.0012750455,0.0029210952
Anaerofustis,Cancer8,0.0007285974,0.0056806941
Anaerostipes,Cancer8,0.0632058288,0.1448027963
Bacteroides,Cancer8,0.0870673953,0.1994689858
Bifidobacterium,Cancer8,0.1759562842,0.4031109539
Blautia,Cancer8,0.1998178506,0.4577771391
Butyricicoccus,Cancer8,0.0016393443,0.0073115261
Catenibacterium,Cancer8,0.0555555556,0.1272762351
Collinsella,Cancer8,0.0985428051,0.2257588286
Desulfovibrio,Cancer8,0.0154826958,0.0354704269
Dialister,Cancer8,0.0225865209,0.0517450935
Dorea,Cancer8,0.0553734062,0.1268589374
Eggerthella,Cancer8,0.0023679417,0.0054248939
Erysipelatoclostridium,Cancer8,0.0012750455,0.0029210951
Faecalibacterium,Cancer8,0.0200364299,0.045902904
Flavonifractor,Cancer8,0.002003643,0.008269299
Fusobacterium,Cancer8,0.0012750455,0.0029210955
Gordonibacter,Cancer8,0.0005464481,0.0041361284
Holdemania,Cancer8,0.0005464481,0.0041539427
Hungatella,Cancer8,0.0014571949,0.0033383927
Intestinibacter,Cancer8,0.0080145719,0.0183611644
Lachnoclostridium,Cancer8,0.0098360656,0.022534155
Lactobacillus,Cancer8,0.0014571949,0.0033383956
Marvinbryantia,Cancer8,0.0010928962,0.005807008
Megasphaera,Cancer8,0.074863388,0.1715099413
Odoribacter,Cancer8,0.0023679417,0.0054248934
Parabacteroides,Cancer8,0.0158469945,0.0363050244
Paraprevotella,Cancer8,0.0003642987,0.0008346009
Roseburia,Cancer8,0.0142076503,0.032549332
Streptococcus,Cancer8,0.0171220401,0.039226118
Subdoligranulum,Cancer8,0.037704918,0.0863809215
Akkermansia,Healthy1,0.252618925,0.2502223332
Anaerostipes,Healthy1,0.0159711489,0.0158196347
Bacteroides,Healthy1,0.4071784304,0.4033155644
Blautia,Healthy1,0.0853511935,0.0845414806
Butyricicoccus,Healthy1,0.0072127769,0.0133157926
Dialister,Healthy1,0.0185471406,0.0183711887
Dorea,Healthy1,0.0089301048,0.008845388
Erysipelatoclostridium,Healthy1,0.0017173278,0.0017010515
Faecalibacterium,Healthy1,0.072299502,0.0716136106
Haemophilus,Healthy1,0.0010303967,0.0010206512
Lachnoclostridium,Healthy1,0.0012021295,0.0011907496
Lachnospira,Healthy1,0.0188906062,0.0203800394
Marvinbryantia,Healthy1,0.0010303967,0.0037467829
Roseburia,Healthy1,0.065945389,0.0653197766
Streptococcus,Healthy1,0.0049802507,0.0049330067
Subdoligranulum,Healthy1,0.0303967027,0.0301506752
Veillonella,Healthy1,0.0066975786,0.0066340418
Akkermansia,Healthy2,0.141928494,0.3441875192
Alistipes,Healthy2,0.002708559,0.0065685521
Anaerostipes,Healthy2,0.0108342362,0.0262739256
Bacteroides,Healthy2,0.0882990249,0.2141321549
Blautia,Healthy2,0.0636511376,0.1543591385
Dorea,Healthy2,0.0089382449,0.0216759931
Enterococcus,Healthy2,0.0687973998,0.166839177
Erysipelatoclostridium,Healthy2,0.0005417118,0.0013143534
Faecalibacterium,Healthy2,0.1484290358,0.3599520482
Flavonifractor,Healthy2,0.0010834236,0.0094639501
Haemophilus,Healthy2,0.0138136511,0.0334992514
Intestinibacter,Healthy2,0.0780065005,0.1891719057
Lachnospira,Healthy2,0.0065005417,0.0175123413
Marvinbryantia,Healthy2,0.0043336945,0.0117942464
Parabacteroides,Healthy2,0.0167930661,0.0407245625
Parasutterella,Healthy2,0.0048754063,0.016322714
Roseburia,Healthy2,0.0763813651,0.185230896
Subdoligranulum,Healthy2,0.0609425785,0.1477906159
