dataset,x,y
away,32.331110226599996,61.411101248
away,53.4214628807,26.1868803879
away,63.92020226,30.8321939163
away,70.2895057187,82.5336485877
away,34.1188302357,45.7345513203
away,67.6707164012,37.110947969
away,53.259129405500005,97.4757710964
away,63.5149808671,25.1000785788
away,67.9805388133,80.9571652197
away,67.3724659005,29.720400203
away,15.5607495229,80.0656402858
away,71.7907676942,71.0654666627
away,70.2425464362,24.1095975542
away,64.93743554439999,81.5542049945
away,62.2135245453,21.475838996900002
away,67.26940047720001,18.7089683725
away,40.5701970446,79.37296347520001
away,74.7411813341,21.1016372041
away,71.7683189223,20.011061842300002
away,76.1669198143,75.9361704048
away,65.6236574431,15.5828033531
away,50.850633639399994,13.9876016304
away,33.0240700249,24.4678303872
away,39.7063261674,84.2752871038
away,45.5964849542,9.76334884943
away,42.9680469104,17.945458396099998
away,52.4944067819,16.0511142003
away,46.0822757831,23.1104578154
away,74.2477082092,20.314187812
away,64.5682641863,83.6396338956
away,74.02169390579999,76.1282745076
away,62.3911805626,5.623070760730001
away,74.189036683,68.13358322229999
away,28.2367819396,56.1395964513
away,75.7719387944,69.8292300322
away,75.8552294691,62.5170442862
away,65.9708570175,72.7448559954
away,21.7780404779,6.6166253072800005
away,67.7597962473,72.4212015285
away,78.6171953363,52.5752573142
away,68.5077081898,15.4569189652
away,74.88502115979999,25.416606323099998
away,66.4549036599,19.836628654200002
away,77.31780209850001,48.398346435200004
away,58.9124603193,75.6677562173
away,57.617447817,8.194800603189998
away,76.0882257967,59.679930023500006
away,57.4660505497,1.50441817488
away,79.4283834934,45.2107942872
away,76.3565221496,10.4182411281
away,64.40507526319999,78.5841760758
away,40.635041809099995,73.3947503698
away,43.9498645857,75.9587156671
away,30.996220579099997,71.694404938
away,68.2307689907,80.87250166279999
away,72.0463894612,12.9180067349
away,46.5927679682,84.9723827774
away,49.2572183396,81.8814032306
away,42.7817612539,12.9911884302
away,65.475952195,14.2745856444
away,71.96508265439999,17.7102359443
away,32.1464623358,43.4817094425
away,31.8384976954,71.8121653901
away,31.005258257199998,40.682503007
away,80.47089431890001,49.502148346700004
away,71.9641671122,41.8742826668
away,78.0794214417,93.13331676520001
away,41.6775957748,30.201264084600002
away,65.953595185,31.147406083499998
away,62.934459373100005,31.9163906992
away,64.3737979844,28.8625834061
away,72.5093283599,39.5401302526
away,30.052289874099998,96.6175423534
away,28.0033242354,46.6721919544
away,75.4012268619,88.6390766207
away,38.9800154218,87.32216069100001
away,65.2199135479,84.6829549336
away,73.0539899616,29.3808085571
away,34.3983616372,59.5444469033
away,43.4904501336,40.782542065
away,55.138737967,30.7257603575
away,43.6843934333,32.8230098696
away,35.9036097344,91.11186308010001
away,45.3780188805,29.1692166544
away,39.7774828713,43.75581895
away,38.6644611569,33.3172384774
away,39.0440366877,84.6760108316
away,91.6399614428,79.4066030605
away,47.4881326771,85.3899333808
away,44.590212576899994,22.0340116412
away,39.089614547800004,70.4661940802
away,42.2293783752,19.9140684075
away,37.0003871448,60.264279248
away,39.0520864793,70.6525028457
away,37.4884147432,60.814404851099994
away,69.3595594592,65.52135459590001
away,43.542775926000004,62.4603112824
away,39.8112302539,65.3348328092
away,70.06892594039999,7.593465608989999
away,70.04054358239999,77.14380660239999
away,39.505789079,74.85162721729999
away,62.5168908529,66.4847322418
away,72.1399254065,0.015119325155200002
away,45.2515760666,70.0034213192
away,42.0633045627,2.33519661206
away,36.3556951539,6.0058486497
away,30.3918276596,42.75961287
away,36.449003854299995,50.5462690659
away,40.467576002,60.0275120878
away,81.72461680020001,6.03754484635
away,48.823197496400006,76.6353305783
away,35.6205617651,57.286015578900006
away,50.58396311479999,71.80661610140001
away,61.8564651063,71.7927431642
away,39.3237560262,59.3008196656
away,42.1856791429,66.0348978235
away,30.8469189898,37.3416401041
away,29.346200428099998,42.1487418312
away,82.1105579783,1.21055166293
away,38.302005808800004,60.0177857932
away,56.584153021800006,70.512514809
away,33.339374286500004,0.5091067352
away,78.7742390407,35.4841012146
away,27.9226442446,25.986878184400002
away,71.6978651182,10.868144511099999
away,74.1383313856,49.1739189791
away,32.579020066,1.80811559665
away,59.83218542,69.1525081443
away,35.030628545700004,12.5366493416
away,74.3001198284,42.4770945921
away,63.2501970628,65.95248619659999
away,34.1730737648,25.693674309200002
away,40.9138319319,38.559019550900004
away,62.833293087399994,62.51089422689999
away,42.476792380300004,56.7312899691
away,52.0334562787,64.5666620298
away,48.9070429644,74.2877488252
away,59.8518383854,72.9583909677
away,48.9604602016,72.6295257275
away,46.8448551673,36.7917136918
away,39.9630215796,42.9449148487
away,66.704943997,32.0150954299
