Alpha-3 code,Country Name,GDP per Capita,Percentage Difference
ZWE,Zimbabwe,2251.455674,2.017460652
ZMB,Zambia,3457.328102,-0.738904627
PSE,Palestine,5698.412057,10.59154427
VNM,Vietnam,10904.45215,-34.85445177
VUT,Vanuatu,3036.116767,-14.36272778
UZB,Uzbekistan,7746.430969,-16.62291544
URY,Uruguay,22728.21533,16.25948384
USA,USA,63027.67953,-29.14110617
ARE,United Arab Emirates,66766.05393,12.210922
UKR,Ukraine,13087.30957,-6.525191374
UGA,Uganda,2294.147984,26.92398937
TCA,Turks and Caicos Islands,22283.97785,20.078125
TUR,Turkiye,27235.42583,6.798722824
TUN,Tunisia,10878.82319,13.87794623
TTO,Trinidad and Tobago,26125.15329,-9.309615624
TON,Tonga,6693.785641,-41.73425697
TGO,Togo,2223.316956,-0.717559413
TLS,Timor-Leste,4140.95507,-13.23744855
THA,Thailand,18197.94241,-32.82764865
TZA,Tanzania,2779.683594,13.91288071
TJK,Tajikistan,3854.190435,12.31702146
CHE,Switzerland,71745.2994,-9.493471812
SWE,Sweden,55064.88501,-31.13263061
SUR,Suriname,16733.38268,-1.577072297
VCT,St. Vincent and the Grenadines,13402.57954,-1.157483749
LCA,St. Lucia,12708.79451,-1.692106953
KNA,St. Kitts and Nevis,25639.2396,-1.28422988
LKA,Sri Lanka,13226.73006,-17.29778855
ESP,Spain,37756.351,-15.50441777
ZAF,South Africa,13359.48433,-8.426937174
SLB,Solomon Islands,2618.323702,-8.104818042
SVN,Slovenia,39725.25919,-11.98341688
SVK,Slovakia,31356.45828,-7.043104466
SGP,Singapore,99681.29415,-8.362279174
SLE,Sierra Leone,1726.964157,8.191774029
SYC,Seychelles,28338.97714,-2.807735218
SRB,Serbia,19093.95531,-5.237071886
SEN,Senegal,3503.595017,20.58829098
WSM,Samoa,6764.559991,-35.53217185
RWA,Rwanda,2213.568598,18.27969755
RUS,Russia,29916.01367,-14.97368456
ROU,Romania,32202.20866,-10.25745182
PRI,Puerto Rico,34333.74725,-21.79981936
PRT,Portugal,34177.08571,-0.560569505
POL,Poland,34286.98508,-6.5800877
PHL,Philippines,8394.242258,-32.71188113
PER,Peru,11908.0607,14.57970606
PRY,Paraguay,13034.71654,-4.888447571
PNG,Papua New Guinea,4285.765475,-51.60685646
PAN,Panama,26780.3006,-2.618641445
NOR,Norway,62644.84574,-26.96480515
MKD,North Macedonia,16719.6901,21.28999418
NGA,Nigeria,5185.988584,-2.019671695
NER,Niger,1288.153512,24.00387802
NIC,Nicaragua,5573.868729,-7.269408254
NZL,New Zealand,44657.77372,-45.28758257
NLD,Netherlands,59266.90858,-19.26748084
NPL,Nepal,3996.66547,-25.91193645
NAM,Namibia,9358.537168,12.3353921
MMR,Myanmar,5123.407709,-50.00839996
MOZ,Mozambique,1297.298716,30.05551694
MAR,Morocco,7368.891602,15.58956589
MNE,Montenegro,19989.65367,7.626661942
MNG,Mongolia,12365.93848,-21.71747578
MDA,Moldova,12941.89278,-23.88884186
MEX,Mexico,18670.8104,1.250022733
MUS,Mauritius,20528.83365,61.01371215
MLT,Malta,43243.17265,-26.29786186
MLI,Mali,2347.796674,11.75704147
MDV,Maldives,13442.38615,6.434569114
MYS,Malaysia,27921.41095,-16.48559461
MWI,Malawi,1591.475591,17.65507482
MDG,Madagascar,1543.952938,42.11663791
LUX,Luxembourg,117846.1365,6.845777749
LTU,Lithuania,38880.54527,-13.53995978
LBR,Liberia,1468.245239,15.21426873
LSO,Lesotho,2569.337741,20.67081213
LBN,Lebanon,11376.79398,14.81212501
LVA,Latvia,31424.90221,-3.830774152
LAO,Laos,8238.494568,-37.535259
KGZ,Kyrgyz Republic,4985.029555,9.110154026
KOR,Korea Republic,45225.84454,-21.23628786
KEN,Kenya,4587.18632,17.50702843
KAZ,Kazakhstan,26750.44623,-5.832218678
JOR,Jordan,10354.16403,-7.63436323
JPN,Japan,42100.25769,-23.30882684
JAM,Jamaica,9240.821869,-11.71222668
ITA,Italy,41987.81596,-9.010654312
ISR,Israel,39489.28078,-3.721654575
IRL,Republic of Ireland,93350.08753,-17.52398647
IRN,IR Iran,15791.15951,12.44097418
IDN,Indonesia,12072.43996,-18.62557521
IND,India,6525.428052,-18.92629208
ISL,Iceland,53616.68471,-35.59339234
HUN,Hungary,33274.34766,-3.469961527
HKG,Hong Kong,58980.01105,-24.18624867
HND,Honduras,5419.792164,11.84820996
HTI,Haiti,3094.941621,-13.91885396
GUY,Guyana,19702.97442,-28.8033941
GNB,Guinea-Bissau,1948.643401,28.34332879
GIN,Guinea,2754.418384,16.70643838
GTM,Guatemala,8852.947743,-8.410788667
GRD,Grenada,15273.54036,12.36635707
GRC,Greece,27948.64973,2.229699261
GHA,Ghana,5749.655385,-1.672084796
DEU,Germany,54844.54597,-24.15911173
GEO,Georgia,14731.20059,13.75823396
GMB,Gambia,2276.650708,1.18069048
GAB,Gabon,15105.13431,17.05048239
FRA,France,46991.18203,-15.45967079
FIN,Finland,50937.16075,-19.36699537
FJI,Fiji,12158.24331,-35.45607377
ETH,Ethiopia,2422.681026,-2.700616575
SWZ,Eswatini,8865.017138,24.55901166
EST,Estonia,37645.22136,-0.249702735
GNQ,Equatorial Guinea,18157.51367,-10.62592053
SLV,El Salvador,8419.799438,13.84347722
EGY,Egypt,12605.97574,17.16409354
ECU,Ecuador,10890.45664,5.869211745
DOM,Dominican Republic,17934.19325,-13.7208536
DMA,Dominica,10818.02494,0.084475211
DNK,Denmark,60229.91477,-11.40939194
CZE,Czechia,41608.02535,-11.46516734
CYP,Cyprus,39593.42578,4.83346322
HRV,Croatia,28780.31674,13.95459976
CIV,Cote d'Ivoire,5465.068781,3.936179844
CRI,Costa Rica,22243.80196,-7.491700332
COG,Congo,3689.111729,4.413664831
COD,Congo DR,1141.726007,13.04282585
COM,Comoros,3147.856597,34.98545377
COL,Colombia,14868.46982,-6.005348894
CHN,China PR,17189.28179,-42.74209615
CHL,Chile,25089.0313,-4.359478764
CYM,Cayman Islands,72481.01386,1.348010904
CAN,Canada,46572.13743,-34.78647325
CMR,Cameroon,3867.203808,4.54628102
KHM,Cambodia,4423.474631,-19.68353767
BDI,Burundi,771.1012372,25.75399996
BFA,Burkina Faso,2273.831365,26.28784265
BGR,Bulgaria,24564.43768,7.196866793
BRA,Brazil,14834.1937,-7.524108056
BWA,Botswana,15471.09481,7.623305696
BIH,Bosnia and Herzegovina,15598.43034,1.337625892
BOL,Bolivia,8283.131195,6.599117654
BTN,Bhutan,11129.30845,15.5835602
BMU,Bermuda,80273.08171,-3.077332297
BEN,Benin,3505.138455,18.88997466
BLZ,Belize,6165.849669,11.67655225
BEL,Belgium,53070.21482,-0.10483446
BLR,Belarus,20237.55113,-18.84961885
BRB,Barbados,14045.77283,1.574923392
BGD,Bangladesh,5995.407429,-15.17018048
BHR,Bahrain,43821.12449,2.724840023
AZE,Azerbaijan,14478.52445,-13.0707879
AUT,Austria,55685.97029,-20.69259286
AUS,Australia,53316.88543,-28.47350933
ABW,Aruba,31182.83388,14.79009084
ARM,Armenia,13311.02814,13.63870511
ARG,Argentina,20769.03238,6.228221275
ATG,Antigua and Barbuda,18240.38041,27.98453013
AGO,Angola,6478.332182,9.326591708
DZA,Algeria,11323.31222,12.98941638
ALB,Albania,13632.18654,1.160220589
