Country,CAF_2022,2022
Indonesia,68.0,Islam
Australia,55.0,Christianity
New Zealand,54.0,Christianity
United States of America,59.0,Christianity
Ireland,49.0,Christianity
United Kingdom of Great Britain and Northern Ireland,47.0,Christianity
Singapore,45.0,Buddhism
Kenya,61.0,Christianity
Myanmar,52.0,Buddhism
Netherlands,46.0,Christianity
United Arab Emirates,47.0,Islam
Norway,45.0,Christianity
Canada,51.0,Christianity
Nigeria,48.0,Islam
Iceland,46.0,Christianity
Malta,45.0,Christianity
Sierra Leone,51.0,Islam
Zambia,50.0,Christianity
Germany,41.0,Christianity
Denmark,46.0,Christianity
Mauritius,37.0,Hinduism
Switzerland,37.0,Christianity
Sri Lanka,44.0,Buddhism
Iran (Islamic Republic of),43.0,Islam
Austria,45.0,Christianity
Iraq,37.0,Islam
Cyprus,40.0,Christianity
Tajikistan,39.0,Islam
Ghana,43.0,Christianity
Israel,37.0,Judaism
South Africa,35.0,Christianity
Sweden,42.0,Christianity
Finland,37.0,Christianity
Mongolia,46.0,Buddhism
Honduras,46.0,Christianity
Slovenia,39.0,Christianity
Dominican Republic,44.0,Christianity
Uganda,46.0,Christianity
Saudi Arabia,36.0,Islam
Nepal,40.0,Hinduism
Uzbekistan,38.0,Islam
Spain,32.0,Christianity
Kyrgyzstan,44.0,Islam
Jamaica,46.0,Christianity
Malawi,39.0,Christianity
Paraguay,44.0,Christianity
Chile,38.0,Christianity
Thailand,48.0,Buddhism
Costa Rica,44.0,Christianity
Cameroon,37.0,Christianity
Nicaragua,40.0,Christianity
Italy,29.0,Christianity
Guinea,47.0,Islam
France,32.0,Christianity
Namibia,35.0,Christianity
Jordan,32.0,Islam
Zimbabwe,31.0,Christianity
Uruguay,40.0,Christianity
Panama,36.0,Christianity
Mozambique,34.0,Christianity
Colombia,42.0,Christianity
Ukraine,49.0,Christianity
Burkina Faso,39.0,Islam
Portugal,26.0,Christianity
Lebanon,24.0,Islam
Bolivia (Plurinational State of),43.0,Christianity
Senegal,40.0,Islam
Slovakia,41.0,Christianity
Philippines,47.0,Christianity
Bosnia and Herzegovina,44.0,Islam
Pakistan,29.0,Islam
Algeria,30.0,Islam
Mali,38.0,Islam
Argentina,47.0,Christianity
Kazakhstan,34.0,Islam
Peru,39.0,Christianity
Romania,30.0,Christianity
Morocco,31.0,Islam
Benin,32.0,Christianity
Egypt,23.0,Islam
Venezuela (Bolivarian Republic of),45.0,Christianity
Albania,34.0,Islam
Estonia,40.0,Christianity
Russian Federation,46.0,Christianity
Poland,47.0,Christianity
Gabon,34.0,Christianity
Mexico,44.0,Christianity
Togo,34.0,Christianity
Georgia,31.0,Christianity
Ecuador,42.0,Christianity
Hungary,40.0,Christianity
Brazil,47.0,Christianity
Armenia,29.0,Christianity
India,40.0,Hinduism
Czechia,48.0,Christianity
Bulgaria,41.0,Christianity
El Salvador,36.0,Christianity
Japan,20.0,Shintoism
Serbia,46.0,Christianity
Croatia,37.0,Christianity
Tunisia,28.0,Islam
Afghanistan,21.0,Islam
Latvia,29.0,Christianity
Lithuania,37.0,Christianity
Cambodia,19.0,Buddhism
China,42.0,Buddhism
Greece,32.0,Christianity
