Unnamed: 0,Country,eng_mean,gdp_mean,Cluster
1,Algeria,3.4842573297059047,2.612195134299101,2
2,Argentina,1.7898344194107163,1.8400373119615945,0
3,Australia,1.5768592173833145,3.0191017445474007,0
4,Austria,0.6563757102394941,1.8492145910800848,0
5,Bangladesh,6.593875345790831,5.212469674223022,1
6,Belgium,0.801577744948113,1.805304822660336,0
7,Brazil,2.8670678306528528,2.138601832298213,2
8,Bulgaria,-0.8601307947319348,1.7870302268403415,0
9,Chile,3.730324726531266,4.1505029887440745,2
10,China,5.592132753720657,9.271803610841822,1
11,Colombia,2.671664370200024,3.3743202260801604,2
12,Cyprus,2.8411191470011325,3.909144867934218,2
13,Denmark,-0.3219419617335612,1.8213319447235208,0
14,Ecuador,4.433475993435717,2.668700239370989,2
15,Egypt,4.054757843259427,4.791716294588673,2
16,Finland,0.5544085160355768,2.035583895682388,0
17,France,0.3491122438239821,1.7060361003426967,0
18,Germany,-0.4243557456466296,1.61215129157795,0
19,Greece,1.072968594622746,0.8310258172535752,0
20,India,5.269272808899367,5.829551237727484,1
21,Indonesia,5.13543528867091,4.824123457420838,1
22,Iran,5.420745241353567,2.984112432155809,2
23,Iraq,5.793146594166851,6.043148614097685,1
24,Ireland,1.4170691789696872,5.265091652450203,2
25,Italy,0.1064321609894485,1.0490173748348377,0
26,Japan,0.4094056768904016,1.6887942041626178,0
27,Luxembourg,0.3992388869366498,3.742846110173806,0
28,Malaysia,5.726179651554164,5.432118414558098,1
29,Mexico,1.882854173716805,2.1321817257975004,0
30,Morocco,3.760509092974506,4.311038746859846,2
31,Netherlands,0.2929259802545604,2.03991976364493,0
32,New Zealand,1.4443364625644566,2.5978841006597,0
33,Norway,1.1743307435469588,2.3351990942129626,0
34,Oman,8.753751031253225,4.854269119400929,1
35,Pakistan,4.90548946038052,4.612309388330335,1
36,Peru,2.9662028335829778,3.1179790836445944,2
37,Philippines,3.390528577134127,3.6496085921613246,2
38,Portugal,1.8856436070588083,1.7945681940214786,0
39,Saudi Arabia,5.033356329134762,1.9302854749213487,2
40,Singapore,5.5487297809461325,6.036983320023615,1
41,South Africa,1.9727658806146824,1.9911051305038392,0
42,South Korea,5.221947562462314,6.082938044173327,1
43,Spain,1.4403321472969015,2.037055460686324,0
44,Sri Lanka,3.916333778073553,4.673738126983465,2
45,Sweden,0.0746073518048754,2.15402921520096,0
46,Switzerland,0.0117794559621394,1.7296034396670856,0
47,Thailand,5.863459603450725,4.748049614403914,1
48,Trinidad & Tobago,3.3636432551208943,2.13479559561781,2
49,Turkey,4.720874166975554,4.766054064475634,1
50,US,0.5693149754176937,2.649624615984004,0
51,United Arab Emirates,6.413563161100631,3.224211102005269,1
52,United Kingdom,-0.3940085532441511,2.0251415733129297,0
