item_id,description,division,spanYears,year,up,down,level,all,up12,down12,level12,all12,up_ch_median,down_ch_median,up_ch12_median,down_ch12_median,up_ch_mean,up_ch12_mean,down_ch_mean,down_ch12_mean,up_sh,down_sh,up_sh12,down_sh12,group,yearMax,rankRise,rankRiseLatest,inflationRank,up_sh12_longRun,up_ch12_longRunMean,division_sh
320122,20 FILTER - OTHER BRAND,2,15,2022,155,29,1167,1351,1114,24,6,1144,0.01923077,-0.0098039303,0.05387754,-0.079527579,0.02091568,0.061048284,-0.022607509,-0.069682665,0.11472983,0.021465581,0.97377622,0.020979021,202,2022,5,5,5,0.97510606,0.067009479,Alcohol & tobacco
320205,5 CIGARS: SPECIFY BRAND,2,35,2022,119,43,996,1158,961,30,5,996,0.01449274,-0.015471186,0.093797259,-0.20625003,0.03385089,0.10286529,-0.040551022,-0.2223096,0.10276338,0.03713299,0.96485943,0.030120483,202,2022,7,7,7,0.95742089,0.065168411,Alcohol & tobacco
430527,A4 PRINTER PAPER (500 REAM),9,15,2022,257,44,1033,1334,901,70,258,1229,0.14306152,-0.2,0.14306152,-0.16666667,0.1689083,0.22514257,-0.17410307,-0.21673825,0.19265367,0.032983508,0.73311633,0.056956876,905,2022,109,109,109,0.3403216,0.20722604,Recreation & culture
630377,ACTION CAMERA,9,5,2022,87,73,696,856,258,216,144,618,0.17073588,-0.18127571,0.64676476,-0.1193063,0.43509221,1.4957666,-0.23924725,-0.20287561,0.10163552,0.085280374,0.41747573,0.34951457,901,2022,436,436,436,0.36375052,0.83905971,Recreation & culture
620318,ADULT BIKE,7,18,2022,227,123,1550,1900,909,240,250,1399,0.11111728,-0.15384616,0.18370371,-0.12403977,0.16286604,0.28190312,-0.14823526,-0.18387042,0.11947368,0.064736843,0.64974982,0.17155111,701,2022,184,184,184,0.48248416,0.24038272,Transport
430505,ALUMIN COOKING FOIL 290-300MM,5,35,2022,264,28,798,1090,686,115,126,927,0.091324218,-0.10497738,0.25000003,-0.16666667,0.1317157,0.32332969,-0.12059791,-0.23213957,0.24220183,0.025688073,0.74002159,0.12405609,506,2022,102,102,102,0.45358619,0.23388189,Household
430617,ANIMAL CAGE (E.G FOR GERBIL),9,21,2022,69,55,774,898,267,89,423,779,0.14289796,-0.15000001,0.16666667,-0.23214285,0.18186742,0.26639235,-0.17462869,-0.22704959,0.076837413,0.061247215,0.34274712,0.11424904,903,2022,509,509,509,0.35437915,0.26167598,Recreation & culture
430621,ANNUAL BOOSTER INJECTION,9,20,2022,155,16,1347,1518,1038,68,181,1287,0.08996594,-0.041095361,0.1,-0.14492753,0.11334227,0.13708533,-0.10562509,-0.16266085,0.10210804,0.010540185,0.80652678,0.052836053,903,2022,58,58,58,0.56347197,0.072496854,Recreation & culture
520245,ANTIHISTAMINE ALLERGY TABLETS,6,13,2022,180,135,1531,1846,453,183,1037,1673,0.375,-0.27272728,0.16666667,-0.18181819,0.29671499,0.38292837,-0.27456209,-0.15478846,0.097508125,0.073131092,0.27077106,0.10938434,601,2022,563,563,563,0.30192384,0.38099256,Health
310221,APPLE CIDER 4 CAN PK 440-500ML,2,6,2022,296,122,1776,2194,788,242,960,1990,0.071428619,-0.074999988,0.071428575,-0.0625,0.081803277,0.092280097,-0.091404021,-0.10249113,0.1349134,0.055606198,0.39597991,0.12160804,201,2022,461,461,461,0.36201373,0.12463707,Alcohol & tobacco
212716,APPLES-COOKING-PER KG,1,35,2022,155,51,1970,2176,1055,61,450,1566,0.13636364,-0.24285711,0.13636364,-0.12531328,0.2253627,0.22642526,-0.23412697,-0.14192222,0.071231619,0.0234375,0.67369092,0.038952745,101,2022,166,166,166,0.4360984,0.19793469,Food & drink
212717,APPLES-DESSERT-PER KG,1,35,2022,249,82,2221,2552,812,167,724,1703,0.12666671,-0.25125629,0.16722408,-0.11834322,0.15929668,0.19973376,-0.21829392,-0.14109188,0.097570531,0.032131661,0.47680563,0.09806224,101,2022,366,366,366,0.46142629,0.20961542,Food & drink
430104,ARMCHAIR -UPHOLSTERED,5,35,2022,339,230,1526,2095,984,274,305,1563,0.12782148,-0.19542149,0.1627907,-0.18998608,0.19343971,0.27318826,-0.18113112,-0.22688985,0.16181384,0.1097852,0.62955856,0.17530391,501,2022,199,199,199,0.48205683,0.25245938,Household
212710,AVOCADO PEAR-EACH,1,34,2022,558,386,2708,3652,1334,842,623,2799,0.16807911,-0.20000005,0.11111114,-0.16666667,0.28157249,0.23564483,-0.23123698,-0.18959591,0.15279299,0.10569551,0.4765988,0.30082172,101,2022,367,367,367,0.39671186,0.30404639,Food & drink
510330,BABY SLEEPSUIT LONG SLEEVE,3,21,2022,294,198,2221,2713,830,663,624,2117,0.2,-0.2,0.11111111,-0.2,0.26012754,0.32211736,-0.23900546,-0.25462234,0.10836712,0.072981939,0.39206424,0.31317902,301,2022,468,468,468,0.31306785,0.42990905,Clothing and footwear
520249,BABY WIPES 50-85,12,11,2022,330,209,1530,2069,1058,516,324,1898,0.22222228,-0.34108523,0.18749997,-0.14999998,0.30199704,0.27373198,-0.28354648,-0.21914656,0.15949734,0.10101499,0.5574289,0.27186513,1201,2022,282,282,282,0.30382255,0.3158403,Misc
210808,BACON-BACK-PER KG,1,27,2022,443,146,1647,2236,1222,179,367,1768,0.073333316,-0.053116947,0.11663066,-0.094339624,0.10983004,0.16299069,-0.094870001,-0.1175691,0.19812165,0.065295167,0.69117647,0.10124435,101,2022,147,147,147,0.40243769,0.14580159,Food & drink
210802,BACON-GAMMON-PER KG,1,35,2022,217,111,1480,1808,752,171,484,1407,0.1,-0.090909109,0.1,-0.17667845,0.12387152,0.14305466,-0.11794113,-0.1815189,0.12002213,0.061393805,0.5344705,0.12153518,101,2022,306,306,306,0.43365341,0.15811139,Food & drink
212603,"BAKED BEANS, 400-425G TIN",1,35,2022,577,133,2768,3478,2761,58,266,3085,0.17647055,-0.14999998,0.32352936,-0.24137929,0.19022724,0.30655897,-0.15725476,-0.28077,0.16589995,0.038240369,0.89497566,0.018800648,101,2022,19,19,19,0.5038293,0.14233308,Food & drink
430424,"BAKEWARE, METAL, TRAY/ROASTING",5,4,2022,416,279,1977,2672,1225,933,242,2400,0.22086956,-0.2,0.20080321,-0.33333334,0.26118773,0.29449975,-0.22910956,-0.36508068,0.15568863,0.10441617,0.51041669,0.38874999,504,2022,332,332,332,0.42189839,0.45474306,Household
430503,BALL POINT,9,35,2022,196,169,1728,2093,772,214,769,1755,0.25641033,-0.29333338,0.22471915,-0.21052627,0.37437344,0.64566392,-0.32413673,-0.32317269,0.093645483,0.080745339,0.43988603,0.12193732,905,2022,413,413,413,0.3556017,0.36069262,Recreation & culture
