L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,CONGESTION
Bahia Blanca,Bahía Blanca,Argentina,487,0.2131,77.6599,2644.8742,5.1337,76.6491,1.032761004,3.672485192,939.2877988,144.0040542,3.411005823,4,0.993,1,0.999269868,-38.58531697,-62.17062492,,6708.96,304207,83.48871677,81.66793972,4.983075896,8.192796325,0,0,0.1046
Buenos Aires,Comuna 12,Argentina,1,0.0642,1557.18,1557.18,1.4735,0.0,1.010627003,102.3765349,18590.83084,99.89160962,3.6191052,3,1.0,4,1.0,-34.56809483,-58.49103681,,1557.18,211320,89.65484021,86.18184105,3.843218757,5.815963037,1,1,0.169
Buenos Aires,Comuna 13,Argentina,13,0.8836,1264.0834,1359.9129,2.5395,60.0462,1.026108492,90.57145277,16060.25921,98.45462925,3.473831124,1,1.0,3,0.995172462,-34.55644565,-58.4547288,,1367.6403,234846,91.67074059,88.32638503,3.319388738,4.70132664,1,1,0.2409
Buenos Aires,Comuna 4,Argentina,8,0.3611,1990.2022,2091.1138,2.2122,67.1673,1.027100945,79.57741792,14502.01455,104.4230942,3.361758475,1,1.0,4,0.580107537,-34.64357554,-58.3881278,,2108.7,234933,83.41532639,81.18503625,4.897125805,8.521994555,1,1,0.1564
Buenos Aires,Comuna 6,Argentina,1,0.146,684.9,684.9,1.2914,0.0,1.00576424,83.14704093,15379.25856,106.14551,3.525963149,1,1.0,4,1.0,-34.61873427,-58.44431907,,684.9,183046,88.96968999,86.14916568,3.375559433,4.759831115,0,1,0.2482
Buenos Aires,Comuna 7,Argentina,7,0.5639,1106.3997,1166.2599,2.145,60.0694,1.016293768,103.8948996,18143.37746,99.46032124,3.454346238,3,1.0,4,0.53068919,-34.63844901,-58.45263971,,1177.7402,236838,85.16095337,81.79457581,4.164075134,6.64045361,1,1,0.219
Buenos Aires,Comuna 14,Argentina,11,0.676,1395.209,1498.1159,2.15,60.0138,1.025876913,74.45866374,12662.18585,97.69207894,3.21570066,1,1.0,3,0.857592511,-34.57540644,-58.42261809,,1515.5096,226489,91.38925622,89.01021832,3.587771751,5.051888458,1,1,0.1405
Buenos Aires,Comuna 2,Argentina,3,0.4756,599.2624,614.5202,2.4513,108.1727,1.035454537,66.47071446,13214.29022,116.6137502,3.407488987,1,1.0,4,0.999987543,-34.58779591,-58.39547225,,615.06,150714,89.82991929,86.64996433,3.800364266,4.843419595,0,1,0.2459
Buenos Aires,Comuna 5,Argentina,1,0.1501,666.36,666.36,1.3815,0.0,1.000975768,74.59208672,15291.61477,115.8814782,3.712031558,1,1.0,4,1.0,-34.61926067,-58.42132165,,666.36,185301,87.40689851,84.91149101,3.862613848,5.040412279,1,1,0.2502
Buenos Aires,Comuna 15,Argentina,1,0.0698,1432.98,1432.98,1.5336,0.0,1.017602551,101.4819464,17379.36768,95.85848626,3.513988289,3,1.0,4,1.0,-34.59377377,-58.46352457,,1432.98,182274,88.71031036,86.44624198,3.857275453,5.685160861,1,1,0.1414
