Unnamed: 0,X,y,y2
0,1.0,262.730011,582.75865585167
1,0.5,148.3500061,578.4134764996641
2,14.6,227.8099976,700.9475342262324
3,0.6,47.02000046,579.2825123700652
4,1.4,250.0099945,586.2347993332749
5,0.0,200.8099976,574.0682971476581
6,13.5,2324.47998,691.3881396518192
7,0.0,110.3499985,574.0682971476581
8,50.7,575.2199707000001,1014.6694834410632
9,1.7,123.0899963,588.8419069444784
10,4.3,641.1699828999999,611.4368395749094
11,0.1,578.8900146,574.9373330180592
12,15.4,101.7799988,707.8998211894419
13,3.3,827.8900146,602.7464808708975
14,39.6,1088.27002,918.2065018265308
15,65.1,492.2099915,1139.810648778835
16,4.6,222.0099945,614.043947186113
17,25.7,804.0599976,797.4105158407649
18,61.9,577.1400146,1112.0015009259969
19,36.6,375.8200073,892.135425714495
20,0.5,232.6900024,578.4134764996641
21,2.1,-978.9699707,592.3180504260831
22,5.4,1183.930054,620.9962341493225
23,18.6,70.62999725,735.7089690422802
24,69.7,2308.399902,1179.78629881729
25,35.4,100.3499985,881.7069952696806
26,1.5,52.49000168,587.103835203676
27,33.4,896.0900269,864.3262778616568
28,24.9,158.2599945,790.4582288775553
29,3.4,160.2700043,603.6155167412986
30,2.6,158.61999509999998,596.6632297780891
31,0.9,3345.830078,581.8896199812689
32,3.4,96.91999817,603.6155167412986
33,36.1,87.19999695,887.790246362489
34,27.0,3453.01001,808.7079821559804
35,0.4,84.26000214,577.5444406292629
36,2.5,104.2699966,595.7941939076879
37,13.4,94.19999695,690.519103781418
38,6.1,554.25,627.0794852421309
39,25.7,1072.23999,797.4105158407649
40,9.5,275.5899963,656.6267048357715
41,24.5,524.25,786.9820853959505
42,66.7,105.2099991,1153.7152227052543
43,29.2,1063.650024,827.8267713048067
44,13.3,587.8699951,689.6500679110169
45,18.7,2880.620117,736.5780049126813
46,9.3,-500.1099854,654.8886330949691
47,0.8,68.45999908,581.0205841108676
48,0.1,1345.339966,574.9373330180592
49,0.0,2736.330078,574.0682971476581
50,0.0,75.0,574.0682971476581
51,29.4,2614.709961,829.564843045609
52,1.7,73.58000183,588.8419069444784
53,1.1,544.8200072999999,583.6276917220712
54,1.0,382.3599854,582.75865585167
55,10.9,454.6199951,668.7932070213882
56,0.0,778.3099976,574.0682971476581
57,32.4,107.4000015,855.6359191576448
58,25.9,726.8099976,799.1485875815672
59,80.7,562.5100097999999,1275.3802445614217
60,65.7,886.75,1145.0248640012423
61,0.0,16.520000460000002,574.0682971476581
62,0.0,21.04999924,574.0682971476581
63,48.2,1171.829956,992.9435866810336
64,0.9,60.0,581.8896199812689
65,6.5,248.5500031,630.5556287237357
66,0.4,40.06999969,577.5444406292629
67,3.7,795.6599731,606.2226243525023
68,16.0,126.5599976,713.114036411849
69,0.0,503.7799988,574.0682971476581
70,0.3,306.480011,576.6754047588616
71,1.6,92.16999817,587.9728710740771
72,1.4,2107.5,586.2347993332749
73,64.6,2014.949951,1135.4654694268293
74,6.2,1313.819946,627.948521112532
75,15.6,235.5,709.6378929302443
76,1.4,19.77000046,586.2347993332749
77,8.2,831.7800292999999,645.3292385205559
78,3.9,395.5100098,607.9606960933046
79,53.6,875.6599731,1039.871523682698
80,32.3,2407.22998,854.7668832872437
81,4.5,196.1499939,613.1749113157118
82,7.4,3514.129883,638.3769515573464
83,2.9,-180.2799988,599.2703373892926
84,39.7,509.6600037,919.075537696932
85,2.4,60.04000092,594.9251580372867
86,4.8,322.4400024,615.7820189269154
87,6.5,640.0,630.5556287237357
88,53.7,1000.099976,1040.740559553099
89,1.2,86.15000153,584.4967275924724
90,15.6,39.38999939,709.6378929302443
91,41.0,1081.130005,930.3730040121476
92,6.9,327.1700134,634.0317722053404
93,1.2,11.32999992,584.4967275924724
94,38.7,847.25,910.38517899292
95,26.6,175.0500031,805.2318386743756
96,70.7,1014.5,1188.476657521302
97,20.5,1092.27002,752.2206505799028
98,67.3,1920.449951,1158.9294379276614
99,2.6,470.0799866,596.6632297780891
100,5.1,18.46999931,618.389126538119
101,15.3,853.0599976,707.0307853190407
102,6.1,325.3599854,627.0794852421309
103,44.7,2557.97998,962.5273312169916
104,0.1,354.2099915,574.9373330180592
105,8.0,231.2700043,643.5911667797536
106,54.7,200.4799957,1049.430918257111
107,1.1,74.33999634,583.6276917220712
108,0.1,796.9299927000001,574.9373330180592
109,0.2,3231.070068,575.8063688884605
110,3.6,31.59000015,605.353588482101
111,37.5,1595.050049,899.9567485481057
112,0.0,1323.400024,574.0682971476581
113,0.2,86.91999817,575.8063688884605
114,14.7,88.70999908,701.8165700966335
115,7.1,41.47000122,635.7698439461428
116,1.9,4130.580078,590.5799786852808
117,0.5,2361.389893,578.4134764996641
118,19.8,1117.849976,746.1373994870944
119,61.4,973.4799805,1107.6563215739911
120,21.6,726.9299927000001,761.780045154316
