Bacteria,Gram Staining,Antibiotic,MIC
Aerobacter aerogenes,negative,Penicilin,870.0
Brucella abortus,negative,Penicilin,1.0
Brucella anthracis,positive,Penicilin,0.001
Diplococcus pneumoniae,positive,Penicilin,0.005
Escherichia coli,negative,Penicilin,100.0
Klebsiella pneumoniae,negative,Penicilin,850.0
Mycobacterium tuberculosis,negative,Penicilin,800.0
Proteus vulgaris,negative,Penicilin,3.0
Pseudomonas aeruginosa ,negative,Penicilin,850.0
Salmonella (Eberthella) typhosa ,negative,Penicilin,1.0
Salmonella schottmuelleri ,negative,Penicilin,10.0
Staphylococcus albus ,positive,Penicilin,0.007
Staphylococcus aureus ,positive,Penicilin,0.03
Streptococcus fecalis ,positive,Penicilin,1.0
Streptococcus hemolyticus ,positive,Penicilin,0.001
Streptococcus viridans,positive,Penicilin,0.005
Aerobacter aerogenes,negative,Streptomycin,1.0
Brucella abortus,negative,Streptomycin,2.0
Brucella anthracis,positive,Streptomycin,0.01
Diplococcus pneumoniae,positive,Streptomycin,11.0
Escherichia coli,negative,Streptomycin,0.4
Klebsiella pneumoniae,negative,Streptomycin,1.2
Mycobacterium tuberculosis,negative,Streptomycin,5.0
Proteus vulgaris,negative,Streptomycin,0.1
Pseudomonas aeruginosa ,negative,Streptomycin,2.0
Salmonella (Eberthella) typhosa ,negative,Streptomycin,0.4
Salmonella schottmuelleri ,negative,Streptomycin,0.8
Staphylococcus albus ,positive,Streptomycin,0.1
Staphylococcus aureus ,positive,Streptomycin,0.03
Streptococcus fecalis ,positive,Streptomycin,1.0
Streptococcus hemolyticus ,positive,Streptomycin,14.0
Streptococcus viridans,positive,Streptomycin,10.0
Aerobacter aerogenes,negative,Neomycin,1.6
Brucella abortus,negative,Neomycin,0.02
Brucella anthracis,positive,Neomycin,0.007
Diplococcus pneumoniae,positive,Neomycin,10.0
Escherichia coli,negative,Neomycin,0.1
Klebsiella pneumoniae,negative,Neomycin,1.0
Mycobacterium tuberculosis,negative,Neomycin,2.0
Proteus vulgaris,negative,Neomycin,0.1
Pseudomonas aeruginosa ,negative,Neomycin,0.4
Salmonella (Eberthella) typhosa ,negative,Neomycin,0.008
Salmonella schottmuelleri ,negative,Neomycin,0.09
Staphylococcus albus ,positive,Neomycin,0.001
Staphylococcus aureus ,positive,Neomycin,0.001
Streptococcus fecalis ,positive,Neomycin,0.1
Streptococcus hemolyticus ,positive,Neomycin,10.0
Streptococcus viridans,positive,Neomycin,40.0
