x,y,z,id,w,h
8,4,a,1,"[2, 10]","[3, 10]"
5,6,d,1,"[2, 10]","[3, 10]"
8,7,a,1,"[2, 10]","[3, 10]"
4,10,b,1,"[2, 10]","[3, 10]"
2,4,c,1,"[2, 10]","[3, 10]"
3,10,d,1,"[2, 10]","[3, 10]"
10,16,c,2,"[2, 10]","[14, 20]"
7,14,a,2,"[2, 10]","[14, 20]"
4,19,b,2,"[2, 10]","[14, 20]"
7,19,a,2,"[2, 10]","[14, 20]"
3,14,d,2,"[2, 10]","[14, 20]"
6,18,d,2,"[2, 10]","[14, 20]"
14,9,b,3,"[11, 20]","[3, 9]"
15,5,a,3,"[11, 20]","[3, 9]"
15,7,a,3,"[11, 20]","[3, 9]"
18,6,d,3,"[11, 20]","[3, 9]"
11,3,c,3,"[11, 20]","[3, 9]"
12,6,c,3,"[11, 20]","[3, 9]"
18,19,c,4,"[11, 20]","[15, 20]"
19,15,c,4,"[11, 20]","[15, 20]"
14,18,b,4,"[11, 20]","[15, 20]"
20,20,a,4,"[11, 20]","[15, 20]"
20,18,d,4,"[11, 20]","[15, 20]"
18,18,d,4,"[11, 20]","[15, 20]"
