Rank,Country,GDP,Happy,Population
12,Australia ,60443.10916,7.162,25688079
11,Austria ,53637.70571,7.163,8955797
21,Bahrain ,26562.96914,6.647,1463265
19,Belgium ,51247.01435,6.805,11592952
38,Brazil ,7507.160971,6.293,214326223
15,Canada ,51987.93905,7.025,38246108
44,Chile ,16265.09598,6.172,19493184
23,Costa Rica ,12472.44373,6.582,5153957
47,Croatia ,17685.0,6.125,3899000
41,Cyprus ,31551.81641,6.221,1244188
18,Czechia ,26821.24523,6.92,10505772
2,Denmark ,68007.75667,7.636,5856733
49,El Salvador ,4551.184661,6.12,6314167
36,Estonia ,27943.70122,6.341,1330932
1,Finland ,53654.7503,7.821,5541017
20,France ,43658.97898,6.687,67749632
14,Germany ,51203.55447,7.034,83196078
39,Guatemala* ,5025.542291,6.262,17109746
51,Hungary ,18728.12189,6.086,9709891
3,Iceland ,68727.63666,7.557,372520
13,Ireland ,100172.0793,7.041,5033165
9,Israel ,52170.71186,7.364,9364000
31,Italy ,35657.49756,6.467,59109668
40,Kazakhstan ,10373.78979,6.234,19000988
32,Kosovo ,5269.783901,6.455,1786038
50,Kuwait* ,24300.0,6.106,4250114
42,Latvia ,21148.16294,6.18,1884490
34,Lithuania ,23723.34025,6.446,2800839
6,Luxembourg* ,133590.147,7.404,640064
33,Malta ,33486.67198,6.447,518536
46,Mexico ,10045.6805,6.128,126705138
5,Netherlands ,57767.87881,7.415,17533044
10,New Zealand ,48781.02663,7.2,5122600
45,Nicaragua ,2045.535402,6.165,6850540
8,Norway ,89154.27609,7.365,5408320
37,Panama ,14617.60448,6.309,4351267
48,Poland ,17999.90995,6.123,37747124
28,Romania ,14858.22943,6.477,19119880
25,Saudi Arabia ,23185.87079,6.523,35950396
43,Serbia ,9230.178316,6.178,6834326
27,Singapore ,72794.00302,6.48,5453566
35,Slovakia ,21391.92533,6.391,5447247
22,Slovenia ,29291.40062,6.63,2108079
29,Spain ,30103.51373,6.476,47415750
7,Sweden ,61028.73806,7.384,10415811
4,Switzerland ,91991.60046,7.512,8703405
26,Taiwan Province of China ,33059.0,6.512,23570000
24,United Arab Emirates ,44315.55418,6.576,9365145
17,United Kingdom ,46510.28278,6.943,67326569
16,United States ,70248.629,6.977,331893745
30,Uruguay ,17313.18835,6.474,3426260
