Country,CAF,Religiosity
Indonesia,68,96
Australia,55,33
New Zealand,54,18
United States of America,59,67
Ireland,49,54
United Kingdom of Great Britain and Northern Ireland,47,25
Singapore,45,70
Kenya,61,94
Myanmar,52,96
Netherlands,46,33
United Arab Emirates,47,76
Norway,45,22
Canada,51,22
Nigeria,48,77
Malta,45,86
Zambia,50,95
Germany,41,40
Denmark,46,19
Switzerland,37,23
Sri Lanka,44,97
Iran (Islamic Republic of),43,78
Hong Kong,37,24
Austria,45,17
Iraq,37,89
Cyprus,40,25
Tajikistan,39,85
Ghana,43,95
Israel,37,51
South Africa,35,85
Sweden,42,16
Finland,37,23
Slovenia,39,47
Dominican Republic,44,87
Uganda,46,93
Saudi Arabia,36,96
Nepal,40,93
Uzbekistan,38,55
Spain,32,49
Kyrgyzstan,44,72
Jamaica,46,70
Malawi,39,97
Paraguay,44,92
Chile,38,60
Thailand,48,98
Costa Rica,44,79
Cameroon,37,96
Nicaragua,40,70
Italy,29,72
Guinea,47,96
France,32,30
Namibia,35,92
Jordan,32,96
Zimbabwe,31,88
Uruguay,40,40
Panama,36,88
Mozambique,34,86
Colombia,42,83
Ukraine,49,46
Burkina Faso,39,88
Portugal,26,72
Lebanon,24,87
Bolivia (Plurinational State of),43,89
Senegal,40,96
Slovakia,41,47
Philippines,47,77
Bosnia and Herzegovina,44,75
Pakistan,29,92
Algeria,30,95
Mali,38,95
Argentina,47,65
Kazakhstan,34,53
Peru,39,84
Romania,30,84
Morocco,31,96
Benin,32,93
Egypt,23,96
Venezuela (Bolivarian Republic of),45,79
Albania,34,50
Estonia,40,16
Russian Federation,46,34
Poland,47,50
Mexico,44,73
Togo,34,80
Georgia,31,81
Ecuador,42,82
Hungary,40,39
Brazil,47,85
Armenia,29,79
India,40,90
Czechia,48,16
Bulgaria,41,34
El Salvador,36,77
Japan,20,14
Serbia,46,54
Croatia,37,70
Tunisia,28,93
Afghanistan,21,97
Latvia,29,29
Lithuania,37,40
Cambodia,19,96
Greece,32,71
