Class Type,Gym Name,Season,Participants,Calories Burned Per Session,Session Length (Minutes)
Yoga,FlexFit,Summer,15,180,60
Pilates,Wellness Works,Summer,10,220,60
Kickboxing,PowerPunch Gym,Summer,25,300,45
Swimming,AquaCenter,Summer,20,250,60
Spin,The Cycling Space,Summer,30,450,40
Zumba,DanceFit,Summer,35,500,50
Yoga,FlexFit,Winter,5,180,60
Pilates,Wellness Works,Winter,4,220,60
Kickboxing,PowerPunch Gym,Winter,10,300,45
Swimming,AquaCenter,Winter,2,250,60
Spin,The Cycling Space,Winter,12,450,40
Zumba,DanceFit,Winter,20,500,50
