Date,Park Name,Visitor Count,Percentage Attending Events,Percentage Using Playground,Percentage Picnicking
2023-01-01,Lakeview Park,500,5%,20%,35%
2023-01-02,Riverbank Park,350,10%,25%,30%
2023-01-03,Greenfield Park,400,15%,30%,25%
2023-01-04,Maplewood Park,450,7%,22%,33%
2023-01-05,Lakeview Park,600,3%,18%,39%
2023-01-06,Riverbank Park,700,12%,28%,40%
2023-01-07,Greenfield Park,750,20%,25%,15%
2023-01-08,Maplewood Park,300,5%,15%,50%
2023-01-09,Lakeview Park,650,4%,21%,40%
2023-01-10,Riverbank Park,310,8%,30%,45%
2023-01-11,Greenfield Park,400,12%,22%,60%
2023-01-12,Maplewood Park,550,6%,25%,38%
