ClassName,Instructor,Difficulty Level,Weekly Attendees,Average Age of Participants,Calories Burned Per Session
Yoga Basics,Sarah E.,Beginner,25,35,180
Cycling Rush,Mike B.,Intermediate,30,29,500
HIIT Explosive,Ali T.,Advanced,20,27,600
Zumba Dance Party,Lucy G.,All Levels,40,33,350
Boot Camp Blitz,Dave P.,Advanced,15,31,550
Aqua Aerobics,Anna S.,Beginner,18,50,400
Pilates Reformer,Emily R.,Intermediate,12,40,250
Kettlebell Challenge,Victor K.,Advanced,10,28,450
Power Yoga,Kate L.,Advanced,22,30,300
Soft Stretching,Linda F.,Beginner,25,45,150
Total Body Circuit,Rick J.,Intermediate,14,32,400
Morning Meditation,Gary D.,All Levels,30,38,50
