Month,Children's Books (borrows),Young Adult (borrows),Adult Fiction (borrows),Adult Non-fiction (borrows),Total Visitors,Location
January,450,350,300,200,2000,Springfield
February,460,360,310,220,2100,Springfield
March,500,400,350,300,2200,Springfield
April,480,380,330,310,2300,Springfield
May,470,370,320,280,2400,Springfield
June,450,300,290,270,2300,Springfield
July,430,310,280,260,2200,Springfield
August,420,320,275,255,2150,Springfield
September,460,330,285,265,2250,Springfield
October,480,340,295,275,2300,Springfield
November,470,350,300,285,2200,Springfield
December,500,370,320,295,2400,Springfield
