Month,Print Books,Audio Books,E-books,Library Visitors,Library Members,Total Checkouts
January,4603,502,1545,4035,14025,6650
February,4210,560,1620,3750,14050,6390
March,4800,625,1702,3900,14075,7127
April,5005,678,1775,4100,14100,7458
May,5150,705,1820,3950,14125,7675
June,5300,750,1890,3800,14145,7940
July,5050,795,1965,3600,14165,7810
August,4822,740,2025,3695,14185,7587
September,4700,690,1780,3890,14200,7170
October,4950,725,1850,4005,14220,7525
November,5133,780,1922,3955,14235,7835
December,5400,820,2045,4200,14250,8265
