Date,Species,Sightings,Photographs Taken,Average Observation Time (min)
2023-03-01,Squirrels,25,18,6
2023-03-02,Birds - Common Sparrow,50,35,3
2023-03-03,Ducks,30,25,8
2023-03-04,Birds - Cardinal,12,9,5
2023-03-05,Birds - Blue Jay,15,12,4
2023-03-06,Butterflies,20,29,2
2023-03-07,Rabbits,8,5,7
2023-03-08,Squirrels,28,22,5
2023-03-09,Birds - Common Sparrow,48,40,4
2023-03-10,Ducks,27,21,9
2023-03-11,Birds - Cardinal,14,11,7
2023-03-12,Birds - Blue Jay,17,15,5
2023-03-13,Butterflies,25,35,3
2023-03-14,Rabbits,9,4,8
2023-03-15,Squirrels,22,20,6
