Date,Time of Day,Location,Beverage Type,Sales, Bubble Size (Customer Rating 1-5)
2023-03-01,Morning,Main St. Café,Espresso,75,4.2
2023-03-01,Afternoon,Main St. Café,Latte,50,4.3
2023-03-01,Morning,Parkside Brew,Americano,60,3.9
2023-03-01,Afternoon,Parkside Brew,Mocha,40,4.0
2023-03-01,Morning,Lakeview Java,Cappuccino,30,4.5
2023-03-01,Afternoon,Lakeview Java,Frappuccino,85,4.7
2023-03-02,Morning,Main St. Café,Espresso,80,4.3
2023-03-02,Afternoon,Main St. Café,Latte,55,4.2
2023-03-02,Morning,Parkside Brew,Americano,65,4.0
2023-03-02,Afternoon,Parkside Brew,Mocha,45,4.1
2023-03-02,Morning,Lakeview Java,Cappuccino,33,4.6
2023-03-02,Afternoon,Lakeview Java,Frappuccino,90,4.8
