""
Date,Stock_A,Stock_B
2023-01-01,102,98
2023-01-02,104,97
2023-01-03,108,95
2023-01-04,107,96
2023-01-05,109,98
2023-01-06,113,100
2023-01-07,115,101
2023-01-08,114,103
2023-01-09,116,105
2023-01-10,118,104
2023-01-11,119,107
2023-01-12,120,108
2023-01-13,122,110
2023-01-14,123,109
2023-01-15,125,112
2023-01-16,126,114
2023-01-17,127,115
2023-01-18,129,117
2023-01-19,130,116
2023-01-20,132,119
2023-01-21,131,118
2023-01-22,134,121
2023-01-23,135,122
2023-01-24,137,123
2023-01-25,138,125
2023-01-26,140,126
2023-01-27,141,127
2023-01-28,142,129
2023-01-29,144,130
2023-01-30,145,132
2023-01-31,146,131
""
