""
Category,Value
Art,23
Art,35
Art,47
Art,56
Art,67
Art,78
Art,89
Art,99
Art,45
Art,63
Art,74
Art,86
Art,92
Design,15
Design,25
Design,38
Design,49
Design,59
Design,69
Design,79
Design,88
Design,95
Design,32
Design,47
Design,57
Design,66
Design,78
Design,87
Design,93
Design,100
Design,46
Design,64
Design,75
Design,83
Design,91
Design,50
Design,58
Design,72
Design,81
Design,90
Design,97
Design,54
Design,62
Design,73
Design,80
Design,89
Design,96
Design,56
Design,69
Design,77
Design,85
Design,93
Design,58
Design,71
Design,78
Design,84
Design,92
Design,99
""
