""
Type,X-Value,Y-Value
Beach,1,95
Beach,2,90
Beach,3,92
Beach,4,85
Beach,5,88
Beach,6,86
Beach,7,83
Beach,8,87
Beach,9,82
Beach,10,80
Mountain,1,65
Mountain,2,70
Mountain,3,75
Mountain,4,72
Mountain,5,78
Mountain,6,71
Mountain,7,69
Mountain,8,73
Mountain,9,68
Mountain,10,66
City,1,55
City,2,60
City,3,58
City,4,62
City,5,59
City,6,57
City,7,56
City,8,61
City,9,54
City,10,53
Countryside,1,45
Countryside,2,47
Countryside,3,49
Countryside,4,46
Countryside,5,44
Countryside,6,48
Countryside,7,42
Countryside,8,43
Countryside,9,41
Countryside,10,40
""
