""
Category,X,Y
Brainstorming,5,120
Brainstorming,10,300
Brainstorming,15,210
Brainstorming,20,450
Brainstorming,25,320
Brainstorming,30,500
Brainstorming,35,470
Brainstorming,40,600
Brainstorming,45,560
Brainstorming,50,630
Planning,5,80
Planning,10,220
Planning,15,130
Planning,20,280
Planning,25,200
Planning,30,400
Planning,35,370
Planning,40,510
Planning,45,470
Planning,50,550
Design,5,140
Design,10,260
Design,15,180
Design,20,360
Design,25,290
Design,30,420
Design,35,390
Design,40,540
Design,45,490
Design,50,610
Implementation,5,100
Implementation,10,240
Implementation,15,160
Implementation,20,310
Implementation,25,230
Implementation,30,440
Implementation,35,410
Implementation,40,570
Implementation,45,530
Implementation,50,590
""
