""
Category,Value1,Value2
Design,20,65
Design,35,70
Design,40,72
Design,50,68
Design,55,75
Design,60,77
Design,70,74
Design,75,80
Design,80,82
Design,85,78
Design,90,85
Design,95,88
Design,100,90
Science,25,50
Science,30,55
Science,35,60
Science,45,65
Science,55,70
Science,60,75
Science,70,80
Science,80,85
Science,85,90
Science,90,95
Science,100,100
Art,15,60
Art,25,65
Art,30,70
Art,40,72
Art,50,74
Art,60,76
Art,70,78
Art,80,80
Art,90,82
Art,100,85
Nature,20,50
Nature,30,55
Nature,40,60
Nature,50,65
Nature,60,70
Nature,70,75
Nature,80,80
Nature,90,85
Nature,100,90
""
