""
Category,X,Y
Art & Design,10,70
Art & Design,15,68
Art & Design,20,65
Art & Design,25,63
Art & Design,30,60
Art & Design,35,58
Art & Design,40,55
Art & Design,45,53
Art & Design,50,50
Art & Design,55,48
Art & Design,60,45
Art & Design,65,43
Art & Design,70,40
Art & Design,75,38
Art & Design,80,35
Art & Design,85,33
Art & Design,90,30
Art & Design,95,28
Art & Design,100,25
Art & Design,105,23
Art & Design,110,20
Art & Design,115,18
Art & Design,120,15
Art & Design,125,13
Art & Design,130,10
Art & Design,135,8
Art & Design,140,5
Art & Design,145,3
Art & Design,150,0
""
