""
ArtPiece,Creativity,Popularity
Mona Lisa,98,95
Starry Night,97,90
The Scream,94,85
The Persistence of Memory,92,88
Girl with a Pearl Earring,95,89
Guernica,91,83
The Last Supper,96,92
American Gothic,90,80
The Birth of Venus,93,84
The Night Watch,89,79
Liberty Leading the People,88,78
The Kiss,87,77
Whistler's Mother,86,75
The Arnolfini Portrait,85,74
Nighthawks,84,73
Las Meninas,83,72
The Creation of Adam,82,70
The Thinker,81,69
The Garden of Earthly Delights,80,68
The Raft of the Medusa,79,67
The Hay Wain,78,66
Bal du moulin de la Galette,77,65
The Great Wave off Kanagawa,76,64
A Sunday Afternoon on the Island of La Grande Jatte,75,63
""
