""
Category,Time_Published,Popularity
Photography,1,85
Photography,2,90
Photography,3,87
Photography,4,88
Photography,5,92
Photography,6,91
Photography,7,94
Photography,8,89
Photography,9,95
Photography,10,97
Photography,11,86
Painting,1,77
Painting,2,75
Painting,3,78
Painting,4,80
Painting,5,82
Painting,6,79
Painting,7,81
Painting,8,85
Painting,9,83
Painting,10,88
Painting,11,84
Sculpture,1,55
Sculpture,2,53
Sculpture,3,56
Sculpture,4,58
Sculpture,5,57
Sculpture,6,59
Sculpture,7,61
Sculpture,8,60
Sculpture,9,62
Sculpture,10,63
Sculpture,11,64
Digital_Art,1,45
Digital_Art,2,48
Digital_Art,3,47
Digital_Art,4,50
Digital_Art,5,51
Digital_Art,6,52
Digital_Art,7,53
Digital_Art,8,54
Digital_Art,9,55
Digital_Art,10,57
Digital_Art,11,58
Graphic_Design,1,67
Graphic_Design,2,65
Graphic_Design,3,70
Graphic_Design,4,68
Graphic_Design,5,72
Graphic_Design,6,73
Graphic_Design,7,71
Graphic_Design,8,74
Graphic_Design,9,75
Graphic_Design,10,76
Graphic_Design,11,77
""
