""
Date,Stock Price,Trading Volume
2023-01-01,150,2000
2023-01-02,152,2100
2023-01-03,148,1900
2023-01-04,155,2300
2023-01-05,160,2500
2023-01-06,158,2400
2023-01-07,162,2600
2023-01-08,159,2200
2023-01-09,165,2700
2023-01-10,170,3000
2023-01-11,172,3100
2023-01-12,168,2900
2023-01-13,174,3200
2023-01-14,178,3300
2023-01-15,180,3400
2023-01-16,182,3500
2023-01-17,181,3450
2023-01-18,185,3600
2023-01-19,183,3550
2023-01-20,190,3800
2023-01-21,195,4000
2023-01-22,192,3700
2023-01-23,198,4100
2023-01-24,200,4200
2023-01-25,202,4300
2023-01-26,205,4400
2023-01-27,210,4500
2023-01-28,212,4600
2023-01-29,215,4700
2023-01-30,218,4800
2023-01-31,220,4900
""
