""
x,y
12.3,45.6
14.1,48.9
15.7,47.2
16.8,49.5
17.3,46.0
19.4,50.1
20.2,51.3
21.8,53.7
22.9,52.4
24.5,54.6
25.1,55.8
26.7,56.9
28.3,58.2
29.4,57.6
30.5,59.3
32.1,60.8
33.9,62.4
35.0,61.7
36.2,63.1
37.5,64.3
38.9,65.2
40.3,66.5
41.2,67.7
42.8,68.9
44.1,69.5
45.6,70.8
46.3,71.2
48.0,72.4
49.5,73.1
51.2,74.3
52.6,75.0
54.3,76.1
55.9,77.3
57.2,78.0
58.8,79.1
60.1,80.2
62.4,81.5
63.8,82.7
65.3,83.4
67.0,84.9
68.1,85.2
69.7,86.5
71.3,87.8
72.4,88.2
73.6,89.4
75.2,90.6
76.8,91.7
78.0,92.3
79.5,93.5
81.0,94.7
""
