""
Category,ValueX,ValueY
Biology,1.2,5.4
Biology,2.3,6.1
Biology,3.5,7.0
Biology,4.6,8.2
Biology,5.8,9.3
Biology,7.0,9.9
Biology,8.1,10.5
Biology,9.4,11.0
Biology,10.5,11.7
Biology,11.7,12.2
Physics,1.1,2.3
Physics,2.2,3.4
Physics,3.3,4.5
Physics,4.4,5.6
Physics,5.5,6.7
Physics,6.6,7.8
Physics,7.7,8.9
Physics,8.8,9.0
Physics,9.9,10.2
Physics,11.0,11.3
Chemistry,1.0,3.1
Chemistry,2.1,4.2
Chemistry,3.2,5.3
Chemistry,4.3,6.4
Chemistry,5.4,7.5
Chemistry,6.5,8.6
Chemistry,7.6,9.7
Chemistry,8.7,10.8
Chemistry,9.8,11.9
Chemistry,10.9,12.0
""
