""
Destination,Latitude,Longitude
Paris,48.8566,2.3522
New York,40.7128,-74.0060
Tokyo,35.6895,139.6917
Sydney,-33.8688,151.2093
Cape Town,-33.9249,18.4241
Rio de Janeiro,-22.9068,-43.1729
Cairo,30.0444,31.2357
Beijing,39.9042,116.4074
Moscow,55.7558,37.6176
Mexico City,19.4326,-99.1332
Rome,41.9028,12.4964
Bangkok,13.7563,100.5018
Dubai,25.2048,55.2708
Singapore,1.3521,103.8198
Los Angeles,34.0522,-118.2437
Istanbul,41.0082,28.9784
Mumbai,19.0760,72.8777
London,51.5074,-0.1278
Hong Kong,22.3193,114.1694
Buenos Aires,-34.6037,-58.3816
""
