""
Location, Erosion Rate (cm/year), Average Tide Height (m)
Coast A, 12.5, 2.4
Coast B, 10.8, 2.1
Coast C, 14.1, 2.7
Coast D, 9.7, 1.9
Coast E, 15.3, 2.8
Coast F, 11.6, 2.3
Coast G, 13.2, 2.5
Coast H, 8.9, 1.8
Coast I, 16.4, 2.9
Coast J, 7.5, 1.6
Coast K, 12.9, 2.4
Coast L, 11.0, 2.2
Coast M, 13.7, 2.6
Coast N, 9.3, 1.7
Coast O, 15.1, 2.7
Coast P, 10.2, 2.0
Coast Q, 14.6, 2.8
Coast R, 11.3, 2.3
Coast S, 13.5, 2.5
Coast T, 8.7, 1.9
Coast U, 16.1, 2.9
Coast V, 7.9, 1.7
Coast W, 13.0, 2.4
Coast X, 10.5, 2.2
Coast Y, 14.0, 2.6
Coast Z, 9.1, 1.8
""
