""
x,y
1.1,2.5
2.2,3.4
3.3,1.2
4.4,4.6
5.5,3.8
6.6,5.0
7.7,2.3
8.8,4.1
9.9,3.9
10.1,5.2
11.2,6.1
12.3,4.3
13.4,2.6
14.5,4.9
15.6,3.5
16.7,5.8
17.8,4.4
18.9,2.1
20.0,4.7
21.1,3.0
22.2,5.4
23.3,2.8
24.4,4.2
25.5,3.6
26.6,5.1
27.7,4.0
28.8,3.2
29.9,2.7
30.0,4.5
31.1,5.3
32.2,3.1
33.3,2.4
34.4,5.6
35.5,4.8
36.6,3.3
37.7,5.9
38.8,2.9
39.9,4.0
40.0,3.7
41.1,5.5
42.2,4.1
43.3,2.2
44.4,5.7
45.5,3.4
46.6,4.6
47.7,2.5
48.8,5.3
49.9,3.8
50.0,4.9
51.1,5.6
52.2,3.5
53.3,2.8
54.4,4.1
55.5,5.7
56.6,3.9
57.7,2.3
58.8,4.8
59.9,5.4
""
