""
x,y,category
10,20,Nature
15,24,Nature
20,22,Nature
25,28,Nature
30,30,Nature
35,33,Nature
40,37,Nature
45,40,Nature
50,42,Nature
55,45,Nature
60,47,Nature
65,50,Nature
70,53,Nature
75,56,Nature
80,59,Nature
85,61,Nature
90,64,Nature
95,66,Nature
100,69,Nature
105,70,Nature
15,15,Science
25,25,Science
35,35,Science
45,45,Science
55,55,Science
65,65,Science
75,75,Science
85,85,Science
95,95,Science
20,10,Health
30,15,Health
40,20,Health
50,25,Health
60,30,Health
70,35,Health
80,40,Health
90,45,Health
100,50,Health
""
