""
Category,Value1,Value2
Urbanization,23.4,75
Urbanization,26.7,78
Urbanization,25.4,74
Urbanization,30.1,80
Urbanization,28.7,82
Urbanization,27.2,79
Urbanization,29.4,83
Urbanization,32.4,85
Urbanization,31.6,84
Urbanization,33.1,88
Urbanization,35.2,90
Urbanization,36.7,92
Urbanization,34.4,86
Urbanization,38.1,95
Urbanization,37.6,93
Urbanization,40.4,97
Urbanization,41.2,98
Urbanization,39.7,96
Urbanization,42.6,100
Urbanization,43.9,102
Urbanization,44.8,104
Urbanization,46.3,105
Urbanization,47.2,106
Urbanization,48.1,107
Urbanization,49.3,108
Urbanization,50.4,110
Urbanization,51.2,111
Urbanization,52.6,113
Urbanization,53.4,115
Urbanization,54.2,116
Urbanization,55.1,118
Urbanization,56.2,119
Urbanization,57.4,121
Urbanization,58.7,123
Urbanization,59.8,125
Urbanization,60.6,126
Urbanization,61.7,128
Urbanization,62.9,130
Urbanization,63.8,132
Urbanization,64.5,133
Urbanization,65.4,134
Urbanization,66.2,136
Urbanization,67.3,137
Urbanization,68.4,139
Urbanization,69.6,141
Urbanization,70.7,143
Urbanization,71.9,144
Urbanization,73.1,146
Urbanization,74.3,148
Urbanization,75.4,149
""
