Year,Type,Value
1965,Total tax revenue,10945.0
1966,Total tax revenue,11946.0
1967,Total tax revenue,13320.0
1968,Total tax revenue,14976.0
1969,Total tax revenue,16934.0
1970,Total tax revenue,19080.0
1971,Total tax revenue,20167.0
1972,Total tax revenue,21474.0
1973,Total tax revenue,23324.0
1974,Total tax revenue,28900.0
1975,Total tax revenue,37343.0
1976,Total tax revenue,43954.0
1977,Total tax revenue,50389.0
1978,Total tax revenue,55380.0
1979,Total tax revenue,63624.0
1980,Total tax revenue,81153.0
1981,Total tax revenue,92880.0
1982,Total tax revenue,108233.0
1983,Total tax revenue,113345.0
1984,Total tax revenue,122092.0
1985,Total tax revenue,133701.0
1986,Total tax revenue,145729.0
1987,Total tax revenue,154902.0
1988,Total tax revenue,173088.0
1989,Total tax revenue,186990.0
1990,Total tax revenue,202368.0
1991,Total tax revenue,205304.0
1992,Total tax revenue,207654.0
1993,Total tax revenue,211438.0
1994,Total tax revenue,228041.0
1995,Total tax revenue,249597.0
1996,Total tax revenue,264778.0
1997,Total tax revenue,284587.0
1998,Total tax revenue,312365.0
1999,Total tax revenue,332778.0
2000,Total tax revenue,359690.0
2001,Total tax revenue,369143.0
2002,Total tax revenue,374624.0
2003,Total tax revenue,392640.353
2004,Total tax revenue,424991.248
2005,Total tax revenue,454975.72
2006,Total tax revenue,483578.379
2007,Total tax revenue,509307.692
2008,Total tax revenue,512205.295
2009,Total tax revenue,481291.952
2010,Total tax revenue,515252.504
2011,Total tax revenue,546130.0
2012,Total tax revenue,550431.0
2013,Total tax revenue,570196.0
2014,Total tax revenue,590196.0
2015,Total tax revenue,611338.455
2016,Total tax revenue,649143.438
2017,Total tax revenue,681496.521
2018,Total tax revenue,704795.349
2019,Total tax revenue,726723.446
2020,Total tax revenue,690450.269
2021,Total tax revenue,775645.502
1965,Income tax,3615.0
1966,Income tax,4446.0
1967,Income tax,4115.0
1968,Income tax,4585.0
1969,Income tax,5157.0
1970,Income tax,5752.0
1971,Income tax,6493.0
1972,Income tax,6687.0
1973,Income tax,7371.0
1974,Income tax,9869.0
1975,Income tax,14448.0
1976,Income tax,16801.0
