Time,Value,Source,Detail
1850,569,Coal,TWh Direct Energy
1860,1061,Coal,Source: Our World in Data
1870,1642,Coal,
1880,2542,Coal,
1890,3856,Coal,
1900,5728,Coal,
1910,8656,Coal,
1920,9833,Coal,
1930,10125,Coal,
1940,11586,Coal,
1950,12603,Coal,
1960,15442,Coal,
1965,16140,Coal,
1966,16324,Coal,
1967,16061,Coal,
1968,16301,Coal,
1969,16799,Coal,
1970,17059,Coal,
1971,16966,Coal,
1972,17154,Coal,
1973,17668,Coal,
1974,17682,Coal,
1975,18025,Coal,
1976,18688,Coal,
1977,19241,Coal,
1978,19458,Coal,
1979,20364,Coal,
1980,20858,Coal,
1981,21150,Coal,
1982,21384,Coal,
1983,22045,Coal,
1984,23000,Coal,
1985,23986,Coal,
1986,24256,Coal,
1987,25210,Coal,
1988,25965,Coal,
1989,26213,Coal,
1990,25895,Coal,
1991,25643,Coal,
1992,25550,Coal,
1993,25675,Coal,
1994,25774,Coal,
1995,25954,Coal,
1996,26572,Coal,
1997,26527,Coal,
1998,26360,Coal,
1999,26522,Coal,
2000,27417,Coal,
2001,27853,Coal,
2002,28945,Coal,
2003,31497,Coal,
2004,33664,Coal,
2005,36171,Coal,
2006,38071,Coal,
2007,40224,Coal,
2008,40770,Coal,
2009,40149,Coal,
2010,41997,Coal,
2011,44018,Coal,
2012,44185,Coal,
2013,44993,Coal,
2014,44954,Coal,
2015,43844,Coal,
2016,43196,Coal,
2017,43360,Coal,
2018,44109,Coal,
2019,43849,Coal,
1850,0,Oil,
1860,0,Oil,
1870,6,Oil,
1880,33,Oil,
1890,89,Oil,
1900,181,Oil,
1910,397,Oil,
1920,889,Oil,
1930,1756,Oil,
1940,2653,Oil,
1950,5444,Oil,
1960,11097,Oil,
1965,18109,Oil,
1966,19496,Oil,
1967,20891,Oil,
1968,22675,Oil,
1969,24577,Oil,
1970,26708,Oil,
1971,28205,Oil,
1972,30378,Oil,
1973,32746,Oil,
1974,32272,Oil,
1975,31948,Oil,
1976,34030,Oil,
1977,35215,Oil,
1978,36426,Oil,
1979,37024,Oil,
1980,35577,Oil,
1981,34296,Oil,
1982,33198,Oil,
1983,32969,Oil,
1984,33739,Oil,
1985,33789,Oil,
1986,34803,Oil,
1987,35499,Oil,
1988,36703,Oil,
1989,37300,Oil,
1990,37691,Oil,
1991,37691,Oil,
1992,38344,Oil,
1993,38099,Oil,
1994,38935,Oil,
1995,39445,Oil,
1996,40380,Oil,
1997,41413,Oil,
1998,41624,Oil,
1999,42371,Oil,
2000,42897,Oil,
2001,43278,Oil,
2002,43639,Oil,
2003,44610,Oil,
2004,46256,Oil,
2005,46824,Oil,
2006,47367,Oil,
2007,47958,Oil,
2008,47566,Oil,
2009,46654,Oil,
2010,48087,Oil,
2011,48550,Oil,
2012,49157,Oil,
2013,49689,Oil,
2014,50014,Oil,
2015,50892,Oil,
2016,51920,Oil,
2017,52568,Oil,
2018,53181,Oil,
2019,53620,Oil,
1850,0,Gas,
1860,0,Gas,
1870,0,Gas,
1880,0,Gas,
1890,33,Gas,
1900,64,Gas,
1910,142,Gas,
1920,233,Gas,
1930,603,Gas,
1940,875,Gas,
1950,2092,Gas,
1960,4472,Gas,
1965,6303,Gas,
1966,6869,Gas,
1967,7375,Gas,
1968,8044,Gas,
1969,8833,Gas,
1970,9614,Gas,
1971,10292,Gas,
1972,10861,Gas,
1973,11378,Gas,
1974,11656,Gas,
1975,11661,Gas,
1976,12356,Gas,
1977,12761,Gas,
1978,13294,Gas,
1979,14119,Gas,
1980,14239,Gas,
1981,14394,Gas,
1982,14469,Gas,
1983,14703,Gas,
1984,15903,Gas,
1985,16261,Gas,
1986,16419,Gas,
1987,17281,Gas,
1988,18089,Gas,
1989,18869,Gas,
1990,19483,Gas,
1991,19975,Gas,
1992,20067,Gas,
1993,20269,Gas,
1994,20394,Gas,
1995,21108,Gas,
1996,22164,Gas,
1997,22033,Gas,
1998,22439,Gas,
1999,23075,Gas,
2000,24000,Gas,
2001,24331,Gas,
2002,25053,Gas,
2003,25753,Gas,
2004,26736,Gas,
2005,27464,Gas,
2006,28175,Gas,
2007,29325,Gas,
2008,30025,Gas,
2009,29411,Gas,
2010,31606,Gas,
2011,32372,Gas,
2012,33219,Gas,
2013,33767,Gas,
2014,33994,Gas,
2015,34781,Gas,
2016,35589,Gas,
2017,36586,Gas,
2018,38517,Gas,
2019,39292,Gas,
