month,major_release,num_downloads
2023-05-01T00:00:00,0,40467.0
2023-05-01T00:00:00,1,3348.0
2023-05-01T00:00:00,2,14760.0
2023-05-01T00:00:00,3,348684.0
2023-04-01T00:00:00,0,39670.0
2023-04-01T00:00:00,2,14353.0
2023-04-01T00:00:00,3,413184.0
2023-04-01T00:00:00,1,1832.0
2023-03-01T00:00:00,0,45512.0
2023-03-01T00:00:00,1,3043.0
2023-03-01T00:00:00,2,11346.0
2023-03-01T00:00:00,3,316265.0
2023-02-01T00:00:00,0,40546.0
2023-02-01T00:00:00,1,2456.0
2023-02-01T00:00:00,2,23636.0
2023-02-01T00:00:00,3,228409.0
2023-01-01T00:00:00,0,37934.0
2023-01-01T00:00:00,1,2354.0
2023-01-01T00:00:00,2,27524.0
2023-01-01T00:00:00,3,243201.0
2022-12-01T00:00:00,0,33425.0
2022-12-01T00:00:00,1,3110.0
2022-12-01T00:00:00,2,13371.0
2022-12-01T00:00:00,3,205161.0
2022-11-01T00:00:00,0,38086.0
2022-11-01T00:00:00,1,2784.0
2022-11-01T00:00:00,2,36358.0
2022-11-01T00:00:00,3,196258.0
2022-10-01T00:00:00,0,38622.0
2022-10-01T00:00:00,1,3149.0
2022-10-01T00:00:00,2,46867.0
2022-10-01T00:00:00,3,203867.0
2022-09-01T00:00:00,0,37898.0
2022-09-01T00:00:00,1,3003.0
2022-09-01T00:00:00,2,30328.0
2022-09-01T00:00:00,3,170576.0
2022-08-01T00:00:00,0,36234.0
2022-08-01T00:00:00,1,2915.0
2022-08-01T00:00:00,2,43731.0
2022-08-01T00:00:00,3,184717.0
2022-07-01T00:00:00,0,39489.0
2022-07-01T00:00:00,1,3019.0
2022-07-01T00:00:00,2,103193.0
2022-07-01T00:00:00,3,112448.0
2022-06-01T00:00:00,0,43227.0
2022-06-01T00:00:00,1,4996.0
2022-06-01T00:00:00,2,201770.0
2022-06-01T00:00:00,3,3559.0
2022-05-01T00:00:00,0,43098.0
2022-05-01T00:00:00,1,6145.0
2022-05-01T00:00:00,2,216397.0
2022-05-01T00:00:00,3,2272.0
2022-04-01T00:00:00,0,41542.0
2022-04-01T00:00:00,1,7194.0
2022-04-01T00:00:00,2,214207.0
2022-04-01T00:00:00,3,2633.0
2022-03-01T00:00:00,0,43098.0
2022-03-01T00:00:00,1,8268.0
2022-03-01T00:00:00,2,205676.0
2022-03-01T00:00:00,3,931.0
2022-02-01T00:00:00,0,41028.0
2022-02-01T00:00:00,1,6961.0
2022-02-01T00:00:00,2,122689.0
2022-01-01T00:00:00,0,50397.0
2022-01-01T00:00:00,1,8309.0
2022-01-01T00:00:00,2,123767.0
2021-12-01T00:00:00,0,48110.0
2021-12-01T00:00:00,1,7133.0
2021-12-01T00:00:00,2,126401.0
2021-11-01T00:00:00,0,46457.0
2021-11-01T00:00:00,1,45486.0
2021-11-01T00:00:00,2,110128.0
2021-10-01T00:00:00,1,207556.0
2021-10-01T00:00:00,0,46091.0
2021-09-01T00:00:00,0,27861.0
2021-09-01T00:00:00,1,112215.0
2021-08-01T00:00:00,0,38237.0
2021-08-01T00:00:00,1,44516.0
2021-07-01T00:00:00,0,23346.0
2021-07-01T00:00:00,1,39386.0
2021-06-01T00:00:00,0,34807.0
2021-06-01T00:00:00,1,34642.0
2021-05-01T00:00:00,0,36923.0
2021-05-01T00:00:00,1,31632.0
2021-04-01T00:00:00,0,37719.0
2021-04-01T00:00:00,1,28759.0
2021-03-01T00:00:00,0,35029.0
2021-03-01T00:00:00,1,47808.0
2021-02-01T00:00:00,0,32970.0
2021-02-01T00:00:00,1,24140.0
2021-01-01T00:00:00,0,42054.0
2021-01-01T00:00:00,1,3775.0
2020-12-01T00:00:00,0,44004.0
2020-11-01T00:00:00,0,42302.0
2020-10-01T00:00:00,0,36470.0
2020-09-01T00:00:00,0,32410.0
2020-08-01T00:00:00,0,34286.0
2020-07-01T00:00:00,0,12977.0
2020-06-01T00:00:00,0,5683.0
2020-05-01T00:00:00,0,2360.0
2020-04-01T00:00:00,0,533.0
2020-03-01T00:00:00,0,1763.0
