year,hh,nfc,gov,nGDP,hh_bn,bfc_bn,gov_bn,Notes
1950,0.248,0.503,0.782,301.8,74.8499982,37.68236259,29.46747377,Source: IMF Global Debt Monitor
1951,0.239,0.482,0.682,349.0,83.44999903,40.20146206,27.41817261,
1952,0.26,0.485,0.663,368.0,95.60000108,46.3191135,30.72877106,
1953,0.278,0.474,0.646,389.1,108.1599997,51.2708943,33.12212875,
1954,0.309,0.492,0.65,390.3,120.4499998,59.23728942,38.47800489,
1955,0.333,0.516,0.595,424.9,141.560001,73.06493178,43.4886551,
1956,0.349,0.525,0.554,448.4,156.4000033,82.15538587,45.48968691,
1957,0.357,0.525,0.522,471.7,168.5799989,88.50081089,46.2412896,
1958,0.377,0.548,0.537,478.2,180.3699982,98.84749194,53.04149202,
1959,0.389,0.548,0.509,519.5,202.3199982,110.7919525,56.3945297,
1960,0.407,0.556,0.488,539.9,219.8600011,122.2664617,59.71876807,
1961,0.426,0.571,0.487,558.6,237.8999976,135.8604635,66.17862356,
1962,0.433,0.569,0.467,600.5,259.7500045,147.8320604,69.01336469,
1963,0.455,0.583,0.451,633.4,288.210002,168.1371643,75.83197122,
1964,0.466,0.587,0.431,680.2,317.1300015,186.2270552,80.23752829,
1965,0.469,0.602,0.403,737.2,345.8599971,208.1136098,83.83692567,
1966,0.456,0.601,0.376,808.0,368.3900009,221.5859777,83.31109374,
1967,0.471,0.614,0.374,853.9,402.3199993,246.9497205,92.46980423,
1968,0.457,0.624,0.358,933.1,426.6899978,266.1264407,95.30192227,
1969,0.449,0.647,0.33,"1,008.8",453.2699881,293.1294293,96.61270156,
1970,0.439,0.663,0.326,"1,064.4",467.1599962,309.9289186,101.001728,
1971,0.443,0.674,0.324,"1,155.4",511.3099868,344.5441382,111.7898229,
1972,0.45,0.693,0.311,"1,269.9",571.269993,395.6368783,122.9209242,
1973,0.449,0.731,0.286,"1,418.5",636.6800206,465.2082496,132.9201943,
1974,0.45,0.708,0.275,"1,536.6",691.4699958,489.4438848,134.6543479,
1975,0.447,0.858,0.311,"1,674.0",747.4799942,641.0961972,199.278297,
1976,0.448,0.842,0.322,"1,867.2",836.2599921,704.5022128,226.9647929,
1977,0.465,0.849,0.321,"2,079.6",966.5099823,820.9483985,263.7348696,
1978,0.48,0.864,0.312,"2,350.4",1128.020006,974.1162724,303.9661153,
1979,0.494,0.905,0.298,"2,627.3",1296.909993,1174.225731,349.842908,
1980,0.497,0.938,0.306,"2,857.3",1420.199989,1331.632739,407.3866701,
1981,0.476,0.945,0.303,"3,207.0",1526.570005,1442.105223,437.3434437,
1982,0.478,0.982,0.345,"3,343.8",1597.909999,1568.42335,540.7795884,
1983,0.484,0.97,0.374,"3,634.0",1759.609986,1706.272002,638.0061216,
1984,0.49,0.984,0.392,"4,037.7",1977.680014,1945.595518,762.7694387,
1985,0.537,1.026,0.429,"4,339.0",2329.780013,2391.387318,1025.848938,
1986,0.566,1.028,0.464,"4,579.6",2592.289999,2663.874273,1235.44202,
1987,0.58,1.039,0.476,"4,855.3",2817.49002,2927.46229,1392.425921,
1988,0.592,1.065,0.48,"5,236.4",3100.559976,3301.177059,1583.133301,
1989,0.6,1.062,0.48,"5,641.6",3383.949984,3595.150086,1725.538841,
1990,0.611,1.037,0.501,"5,963.1",3644.390022,3780.922356,1893.463722,
1991,0.626,1.017,0.536,"6,158.1",3853.200024,3919.486624,2099.035321,
1992,0.622,1.003,0.558,"6,520.3",4053.869991,4065.222854,2268.301218,
1993,0.627,0.992,0.574,"6,858.6",4303.289998,4268.217066,2449.511805,
1994,0.635,0.972,0.567,"7,287.3",4627.259973,4496.570233,2549.477127,
1995,0.648,0.987,0.564,"7,639.8",4950.230026,4883.88635,2752.252713,
1996,0.658,0.996,0.557,"8,073.1",5313.290002,5293.630563,2949.74652,
1997,0.66,0.99,0.531,"8,577.6",5661.210019,5603.581166,2975.250727,
1998,0.675,1.062,0.501,"9,062.8",6116.429993,6498.001643,3253.382034,
1999,0.694,1.131,0.469,"9,631.2",6687.930008,7563.665621,3543.688454,
2000,0.711,1.213,0.414,"10,251.0",7287.820029,8837.913842,3657.482176,
2001,0.748,1.214,0.407,"10,581.9",7916.37005,9611.43508,3908.318607,
2002,0.795,1.205,0.421,"10,929.1",8693.84003,10471.74944,4411.148428,
2003,0.854,1.15,0.447,"11,456.5",9782.790051,11254.42201,5028.124164,
