Event,Ages 0-10,Ages 11-20,Ages 21-30,Ages 31-40,Ages 41-50,Ages 51-60,Ages 61+
Spring Fest,120,200,250,200,150,100,80
Summer Parade,95,150,300,220,180,130,90
Fall Carnival,80,180,320,250,190,120,70
Winter Concert,50,100,200,300,220,160,100
Farmers Market,180,220,260,210,160,140,150
Library Book Sale,20,60,100,120,180,200,180
Outdoor Play,40,80,150,170,160,90,50
Food Truck Rally,70,150,250,220,160,130,90
Art Walk,30,70,150,200,160,100,70
Craft Fair,40,60,100,140,200,180,120
New Year's Gala,10,40,80,120,150,170,130
Charity Run,120,160,220,210,180,160,100
Halloween Haunt,150,300,250,200,150,100,50
School Fair,200,350,150,100,75,50,25
Community Theater,30,50,100,150,180,210,240
