""
City,Population
Tokyo,37400068
Delhi,28514000
Shanghai,25582000
São Paulo,21650000
Mexico City,21581000
Cairo,20076000
Dhaka,19578000
Mumbai,19430000
Beijing,19618000
Osaka,19281000
Karachi,14910000
Chongqing,16382376
Istanbul,15029231
Buenos Aires,14967000
Kolkata,14680000
Lagos,14368000
Kinshasa,14256000
Manila,14010000
Tianjin,13714500
Rio de Janeiro,13635000
Guangzhou,13500000
Lahore,13290000
Shenzhen,12810000
Bangalore,12764000
Moscow,12506468
Paris,11020000
Jakarta,10560000
London,9304016
Lima,10300000
Bangkok,10310000
""
