""
Category,Number of Articles Written,Hours Spent Researching,Expenditure on Writing Materials (in $),Interest in Writing (%)
Philosophy,21,130,260,94
Ethics,17,115,245,90
Logic,15,100,220,88
Metaphysics,19,120,230,92
Epistemology,13,85,200,87
Aesthetics,18,105,240,89
Existentialism,16,110,225,91
Utilitarianism,14,95,210,86
Deontology,20,125,250,93
Phenomenology,22,140,270,95
Nihilism,12,80,190,84
Pragmatism,11,75,180,83
Stoicism,10,70,170,82
Hedonism,23,145,275,96
Absurdism,9,65,160,81
Objectivism,8,60,150,80
Transcendentalism,24,150,280,97
Determinism,25,155,285,98
""
